scenario_id,ego_id,rule,replanability,total_time
DEU_LocationALower-11_102_T-1,16,R_G3,yes,1.1364104747772217
DEU_LocationALower-11_110_T-1,16,R_G3,yes,1.540405511856079
DEU_LocationALower-11_131_T-1,18,R_G3,yes,1.5498590469360352
DEU_LocationALower-11_4_T-1,18,R_G3,yes,2.376150131225586
DEU_LocationALower-11_43_T-1,17,R_G3,yes,1.3433895111083984
DEU_LocationALower-11_56_T-1,15,R_G3,yes,5.326968669891357
DEU_LocationALower-11_64_T-1,18,R_G3,yes,1.3217368125915527
DEU_LocationALower-12_109_T-1,20,R_G3,yes,2.062772750854492
DEU_LocationALower-12_167_T-1,12,R_G3,yes,2.1908681392669678
DEU_LocationALower-12_217_T-1,14,R_G3,yes,1.1388940811157227
DEU_LocationALower-12_52_T-1,26,R_G3,yes,0.5695374011993408
DEU_LocationALower-13_162_T-1,21,R_G3,yes,1.2728946208953857
DEU_LocationALower-13_167_T-1,17,R_G3,yes,1.789372205734253
DEU_LocationALower-13_168_T-1,12,R_G3,yes,1.3331031799316406
DEU_LocationALower-13_214_T-1,21,R_G3,yes,0.24104952812194824
DEU_LocationALower-13_239_T-1,18,R_G3,yes,1.8176233768463135
DEU_LocationALower-13_241_T-1,20,R_G3,yes,0.5229156017303467
DEU_LocationALower-13_56_T-1,10,R_G3,yes,3.209792137145996
DEU_LocationALower-14_161_T-1,21,R_G3,yes,1.5999598503112793
DEU_LocationALower-14_219_T-1,12,R_G3,yes,0.5915243625640869
DEU_LocationALower-14_247_T-1,16,R_G3,yes,1.0490844249725342
DEU_LocationALower-14_252_T-1,12,R_G3,yes,1.0386767387390137
DEU_LocationALower-14_39_T-1,15,R_G3,yes,3.0588245391845703
DEU_LocationALower-14_96_T-1,15,R_G3,yes,1.7718229293823242
DEU_LocationALower-25_155_T-1,15,R_G3,yes,1.4606266021728516
DEU_LocationALower-27_140_T-1,14,R_G3,yes,2.1691863536834717
DEU_LocationALower-27_184_T-1,13,R_G3,yes,0.4821608066558838
DEU_LocationALower-28_109_T-1,13,R_G3,yes,1.2768497467041016
DEU_LocationALower-28_109_T-1,18,R_G3,yes,0.7578368186950684
DEU_LocationALower-28_228_T-1,11,R_G3,yes,0.6969113349914551
DEU_LocationALower-28_252_T-1,18,R_G3,no,0.3884422779083252
DEU_LocationALower-29_123_T-1,16,R_G3,yes,1.690042495727539
DEU_LocationALower-29_134_T-1,9,R_G3,yes,0.5507190227508545
DEU_LocationALower-29_192_T-1,9,R_G3,yes,0.7786900997161865
DEU_LocationALower-29_245_T-1,12,R_G3,yes,0.8582518100738525
DEU_LocationALower-29_249_T-1,23,R_G3,yes,1.1040875911712646
DEU_LocationALower-29_250_T-1,12,R_G3,yes,1.2860829830169678
DEU_LocationALower-29_65_T-1,8,R_G3,yes,1.3339247703552246
DEU_LocationALower-30_218_T-1,16,R_G3,yes,0.8651268482208252
DEU_LocationALower-31_239_T-1,16,R_G3,yes,1.7665648460388184
DEU_LocationALower-31_31_T-1,15,R_G3,yes,0.7789840698242188
DEU_LocationALower-32_186_T-1,12,R_G3,yes,1.68642258644104
DEU_LocationALower-32_84_T-1,13,R_G3,yes,0.5686724185943604
DEU_LocationALower-33_219_T-1,8,R_G3,yes,0.763026237487793
DEU_LocationALower-33_228_T-1,14,R_G3,yes,0.6947100162506104
DEU_LocationALower-33_233_T-1,14,R_G3,yes,0.14460492134094238
DEU_LocationALower-33_265_T-1,22,R_G3,yes,1.490799903869629
DEU_LocationALower-33_96_T-1,9,R_G3,yes,1.0544888973236084
DEU_LocationALower-34_146_T-1,14,R_G3,yes,1.4850997924804688
DEU_LocationALower-34_147_T-1,16,R_G3,yes,0.5986347198486328
DEU_LocationALower-34_37_T-1,9,R_G3,yes,1.1049015522003174
DEU_LocationALower-34_49_T-1,10,R_G3,yes,1.258213996887207
DEU_LocationALower-34_96_T-1,14,R_G3,yes,0.8792397975921631
DEU_LocationALower-35_126_T-1,20,R_G3,yes,1.298818588256836
DEU_LocationALower-35_263_T-1,12,R_G3,yes,1.8109161853790283
DEU_LocationALower-35_34_T-1,19,R_G3,yes,0.1326291561126709
DEU_LocationALower-36_113_T-1,14,R_G3,yes,0.78249192237854
DEU_LocationALower-36_208_T-1,8,R_G3,yes,0.6110794544219971
DEU_LocationALower-36_269_T-1,18,R_G3,yes,0.8800554275512695
DEU_LocationALower-36_291_T-1,13,R_G3,yes,0.6870677471160889
DEU_LocationALower-36_61_T-1,9,R_G3,yes,0.8450844287872314
DEU_LocationALower-37_1_T-1,11,R_G3,yes,1.7021641731262207
DEU_LocationALower-37_205_T-1,15,R_G3,yes,0.8826518058776855
DEU_LocationALower-37_231_T-1,23,R_G3,yes,0.6994831562042236
DEU_LocationALower-37_4_T-1,22,R_G3,yes,1.1699368953704834
