scenario_id,ego_id,rule,replanability,total_time
scenario_id,ego_id,rule,replanability,total_time
DEU_AachenBendplatz-1_155320_T-5339,10335,R_IN1,yes,0.555870532989502
DEU_AachenBendplatz-1_75140_T-5159,10203,R_IN1,yes,0.5318713188171387
DEU_AachenBendplatz-1_171600_T-1619,10125,R_IN1,yes,0.5064785480499268
DEU_AachenBendplatz-1_124700_T-4719,10320,R_IN1,no,0.4078836441040039
DEU_AachenBendplatz-1_12700_T-719,10035,R_IN1,yes,0.42928385734558105
DEU_AachenFrankenburg-1_184060_T-4079,10290,R_IN4,no,0.6207785606384277
DEU_AachenBendplatz-1_162800_T-2819,10214,R_IN1,yes,0.43140602111816406
DEU_AachenBendplatz-1_16640_T-659,10046,R_IN4,initialization fails with 'MultiLineString' object is not iterable,N/A
DEU_AachenBendplatz-1_134900_T-4919,10351,R_IN1,yes,0.48891448974609375
DEU_AachenBendplatz-1_145000_T-5019,10367,R_IN4,no,0.49327921867370605
DEU_AachenBendplatz-1_172260_T-2279,10176,R_IN1,yes,0.4690115451812744
DEU_AachenBendplatz-1_102160_T-2179,10126,R_IN4,no,0.5645537376403809
DEU_AachenBendplatz-1_165100_T-5119,10371,R_IN4,no,0.4822089672088623
DEU_AachenBendplatz-1_121080_T-1099,10056,R_IN1,yes,0.5811569690704346
DEU_AachenBendplatz-1_123940_T-3959,10258,R_IN1,yes,0.518118143081665
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN1,yes,0.5124514102935791
DEU_AachenBendplatz-1_85160_T-5179,10405,R_IN1,yes,0.42424726486206055
DEU_AachenBendplatz-1_141540_T-1559,10095,R_IN1,yes,0.5462067127227783
DEU_AachenBendplatz-1_91260_T-1279,10075,R_IN1,yes,0.5518991947174072
DEU_AachenBendplatz-1_91280_T-1299,10079,R_IN1,yes,0.5685832500457764
DEU_AachenBendplatz-1_85140_T-5159,10407,R_IN1,yes,0.47772812843322754
DEU_AachenBendplatz-1_13540_T-559,10040,R_IN1,yes,0.5176970958709717
DEU_AachenBendplatz-1_154520_T-4539,10285,R_IN1,yes,0.4274928569793701
DEU_AachenBendplatz-1_93520_T-3539,10208,R_IN1,yes,0.4428994655609131
DEU_AachenBendplatz-1_143020_T-3039,10228,R_IN1,yes,0.43283963203430176
DEU_AachenBendplatz-1_132600_T-2619,10185,R_IN1,yes,0.5345017910003662
DEU_AachenBendplatz-1_11500_T-519,10043,R_IN1,yes,0.486600399017334
DEU_AachenBendplatz-1_124040_T-4059,10264,R_IN1,yes,0.5092456340789795
DEU_AachenBendplatz-1_113780_T-3799,10256,R_IN1,yes,0.5126538276672363
DEU_AachenBendplatz-1_16700_T-719,10046,R_IN4,initialization fails with 'MultiLineString' object is not iterable,N/A
DEU_AachenBendplatz-1_122140_T-2159,10119,R_IN4,no,0.4477729797363281
DEU_AachenBendplatz-1_172740_T-2759,10202,R_IN4,no,0.3460812568664551
DEU_AachenBendplatz-1_1240_T-59,10007,R_IN1,yes,0.48461484909057617
DEU_AachenBendplatz-1_103440_T-3459,10202,R_IN1,yes,0.45978283882141113
DEU_AachenBendplatz-1_71760_T-1779,10074,R_IN1,yes,0.4265918731689453
DEU_AachenBendplatz-1_73920_T-3939,10153,R_IN1,yes,0.4395759105682373
DEU_AachenBendplatz-1_161380_T-1399,10106,R_IN1,yes,0.5897510051727295
DEU_AachenBendplatz-1_10700_T-719,10051,R_IN1,yes,0.4288907051086426
DEU_AachenBendplatz-1_83540_T-3559,10269,R_IN1,yes,0.5268471240997314
DEU_AachenBendplatz-1_113760_T-3779,10254,R_IN1,yes,0.5396935939788818
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN4,no,0.47960996627807617
DEU_AachenBendplatz-1_93760_T-3779,10229,R_IN1,yes,0.4551422595977783
DEU_AachenBendplatz-1_15220_T-239,10018,R_IN1,no,0.5092282295227051
DEU_AachenBendplatz-1_141960_T-1979,10140,R_IN1,yes,0.4562368392944336
DEU_AachenBendplatz-1_81000_T-1019,10078,R_IN1,yes,0.495790958404541
DEU_AachenBendplatz-1_113840_T-3859,10258,R_IN1,no,0.4930562973022461
DEU_AachenBendplatz-1_122260_T-2279,10128,R_IN1,yes,0.5116455554962158
DEU_AachenBendplatz-1_163720_T-3739,10270,R_IN1,yes,0.5485367774963379
DEU_AachenBendplatz-1_13840_T-859,10063,R_IN1,yes,0.44083094596862793
DEU_AachenBendplatz-1_81940_T-1959,10157,R_IN1,yes,0.4897270202636719
DEU_AachenBendplatz-1_163680_T-3699,10267,R_IN4,no,0.4765331745147705
DEU_AachenFrankenburg-1_225620_T-5639,10507,R_IN4,no,0.47666287422180176
DEU_AachenBendplatz-1_171180_T-1199,10090,R_IN1,yes,0.5104982852935791
DEU_AachenBendplatz-1_171380_T-1399,10107,R_IN1,yes,0.48767638206481934
DEU_AachenBendplatz-1_14360_T-379,10028,R_IN1,yes,0.4792008399963379
DEU_AachenBendplatz-1_132180_T-2199,10158,R_IN1,yes,0.5348865985870361
DEU_AachenBendplatz-1_151880_T-1899,10123,R_IN4,no,0.4743533134460449
DEU_AachenBendplatz-1_162280_T-2299,10179,R_IN4,yes,0.5162191390991211
DEU_AachenBendplatz-1_141640_T-1659,10098,R_IN4,no,0.5513935089111328
DEU_AachenBendplatz-1_134380_T-4399,10309,R_IN1,yes,0.5374860763549805
DEU_AachenBendplatz-1_125580_T-5599,10402,R_IN1,yes,0.5705235004425049
