,,R_IN1,R_IN3,R_IN4,R_IN5
,,violation_bool,violation_bool,violation_bool,violation_bool
scenario_id,ego_id,,,,
DEU_AAH1-2_76900_T-7049,10065,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_109450_T-9599,10108,1.0,1.0,-1.0,1.0
DEU_AAH1-2_9300_T-449,10010,1.0,1.0,-1.0,1.0
DEU_AAH1-2_135400_T-5549,10082,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_89150_T-9299,10123,1.0,1.0,-1.0,1.0
DEU_AAH1-2_132850_T-2999,10037,1.0,1.0,-1.0,1.0
DEU_AAH1-2_87650_T-7799,10112,1.0,1.0,-1.0,1.0
DEU_AAH1-2_12450_T-599,10007,1.0,1.0,-1.0,1.0
DEU_AAH1-2_129450_T-9599,10102,1.0,1.0,-1.0,1.0
DEU_AAH1-2_126150_T-6299,10057,1.0,1.0,-1.0,1.0
DEU_AAH1-2_118700_T-8849,10108,1.0,1.0,-1.0,1.0
DEU_AAH1-2_109300_T-9449,10108,1.0,1.0,-1.0,1.0
DEU_AAH1-2_97200_T-7349,10080,1.0,1.0,-1.0,1.0
DEU_AAH1-2_96450_T-6599,10075,1.0,1.0,-1.0,1.0
DEU_AAH1-2_7900_T-1049,10020,1.0,1.0,-1.0,-1.0
DEU_AAH1-2_134650_T-4799,10069,1.0,1.0,-1.0,1.0
DEU_AAH1-2_17150_T-299,10003,1.0,1.0,-1.0,1.0
DEU_AAH1-2_112400_T-2549,10039,1.0,1.0,-1.0,1.0
DEU_AAH1-2_89000_T-9149,10123,1.0,1.0,-1.0,1.0
DEU_AAH1-2_89000_T-9149,10134,1.0,1.0,-1.0,1.0
DEU_AAH1-2_97350_T-7499,10080,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_81650_T-1799,10030,1.0,1.0,-1.0,1.0
DEU_AAH1-2_125400_T-5549,10056,1.0,1.0,-1.0,1.0
DEU_AAH1-2_88850_T-8999,10123,1.0,1.0,-1.0,1.0
DEU_AAH1-2_83750_T-3899,10051,1.0,1.0,-1.0,1.0
DEU_AAH1-2_88250_T-8399,10123,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_109150_T-9299,10108,1.0,1.0,-1.0,1.0
DEU_AAH1-2_116600_T-6749,10087,1.0,1.0,-1.0,1.0
DEU_AAH1-2_17300_T-449,10004,1.0,1.0,-1.0,1.0
DEU_AAH1-2_96600_T-6749,10080,1.0,1.0,-1.0,1.0
DEU_AAH1-2_132700_T-2849,10037,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_114050_T-4199,10060,1.0,1.0,-1.0,1.0
DEU_AAH1-2_106300_T-6449,10083,1.0,1.0,-1.0,1.0
DEU_AAH1-2_126300_T-6449,10057,1.0,1.0,-1.0,1.0
DEU_AAH1-2_9450_T-599,10010,1.0,1.0,-1.0,1.0
DEU_AAH1-2_125550_T-5699,10056,1.0,1.0,-1.0,1.0
DEU_AAH1-2_132250_T-2399,10038,1.0,1.0,-1.0,1.0
DEU_AAH1-2_128100_T-8249,10090,1.0,1.0,-1.0,1.0
DEU_AAH1-2_7600_T-749,10020,1.0,1.0,-1.0,1.0
DEU_AAH1-2_88700_T-8849,10123,1.0,1.0,-1.0,1.0
DEU_AAH1-2_112550_T-2699,10042,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_129600_T-9749,10102,1.0,1.0,-1.0,1.0
DEU_AAH1-2_12300_T-449,10007,1.0,1.0,-1.0,1.0
