scenario_name,ego_id,violated_rules,rule_to_tv,lanelet_assigned_steps,raw_violated_rules,raw_rule_to_tv
DEU_MONAMerge-2_10001000_T-1019.xml,11010,R_G1,R_G1:14,20,R_G1,R_G1:14
DEU_MONAMerge-2_10001020_T-1039.xml,11055,R_G1,R_G1:19,20,R_G1,R_G1:19
DEU_MONAMerge-2_10001040_T-1059.xml,11071,R_G1,R_G1:16,20,R_G1,R_G1:16
DEU_MONAMerge-2_10001040_T-1059.xml,11081,R_G1,R_G1:16,20,R_G1,R_G1:16
DEU_MONAMerge-2_1000120_T-139.xml,10115,R_G1,R_G1:15,20,R_G1,R_G1:15
DEU_MONAMerge-2_10001220_T-1239.xml,11262,R_G1,R_G1:15,20,R_G1,R_G1:15
DEU_MONAMerge-2_10001220_T-1239.xml,11266,R_G1,R_G1:14,20,R_G1,R_G1:14
DEU_MONAMerge-2_10001320_T-1339.xml,11342,R_G1,R_G1:15,20,R_G1,R_G1:15
DEU_MONAMerge-2_10001320_T-1339.xml,11352,R_G1,R_G1:15,20,R_G1,R_G1:15
DEU_MONAMerge-2_10001480_T-1499.xml,11568,R_G1,R_G1:19,20,R_G1,R_G1:19
DEU_MONAMerge-2_10001500_T-1519.xml,11592,R_G1,R_G1:13,20,R_G1,R_G1:13
DEU_MONAMerge-2_10001500_T-1519.xml,11597,R_G1,R_G1:9,20,R_G1,R_G1:9
DEU_MONAMerge-2_10001600_T-1619.xml,11668,R_G1,R_G1:8,20,R_G1,R_G1:8
DEU_MONAMerge-2_1000160_T-179.xml,10161,R_G1,R_G1:16,20,R_G1,R_G1:16
DEU_MONAMerge-2_10001720_T-1739.xml,11767,R_G1,R_G1:18,20,R_G1,R_G1:18
DEU_MONAMerge-2_10001900_T-1919.xml,11934,R_G1,R_G1:14,20,R_G1,R_G1:14
DEU_MONAMerge-2_10001920_T-1939.xml,11957,R_G1,R_G1:8,20,R_G1,R_G1:8
DEU_MONAMerge-2_10002000_T-2019.xml,12012,R_G1,R_G1:19,20,R_G1,R_G1:19
DEU_MONAMerge-2_10002000_T-2019.xml,12023,R_G1,R_G1:13,20,R_G1,R_G1:13
DEU_MONAMerge-2_10002060_T-2079.xml,12057,R_G1,R_G1:12,20,R_G1,R_G1:12
DEU_MONAMerge-2_10002120_T-2139.xml,12117,R_G1,R_G1:10,20,R_G1,R_G1:10
DEU_MONAMerge-2_10002140_T-2159.xml,12152,R_G1,R_G1:14,20,R_G1,R_G1:14
DEU_MONAMerge-2_10002180_T-2199.xml,12184,R_G1,R_G1:12,20,R_G1,R_G1:12
DEU_MONAMerge-2_10002200_T-2219.xml,12214,R_G1,R_G1:9,20,R_G1,R_G1:9
DEU_MONAMerge-2_10002200_T-2219.xml,12232,R_G1,R_G1:12,20,R_G1,R_G1:12
DEU_MONAMerge-2_10002380_T-2399.xml,12372,R_G1,R_G1:19,20,R_G1,R_G1:19
DEU_MONAMerge-2_10002440_T-2459.xml,12409,R_G1,R_G1:15,20,R_G1,R_G1:15
DEU_MONAMerge-2_10002480_T-2499.xml,12445,R_G1,R_G1:11,20,R_G1,R_G1:11
DEU_MONAMerge-2_10002580_T-2599.xml,12493,R_G1,R_G1:10,20,R_G1,R_G1:10
DEU_MONAMerge-2_10002780_T-2799.xml,12602,R_G1,R_G1:18,20,R_G1,R_G1:18
DEU_MONAMerge-2_10002780_T-2799.xml,12603,R_G1,R_G1:18,20,R_G1,R_G1:18
DEU_MONAMerge-2_10002820_T-2839.xml,12625,R_G1,R_G1:17,20,R_G1,R_G1:17
DEU_MONAMerge-2_10002920_T-2939.xml,12731,R_G1,R_G1:19,20,R_G1,R_G1:19
DEU_MONAMerge-2_1000340_T-359.xml,10361,R_G1,R_G1:18,20,R_G1,R_G1:18
DEU_MONAMerge-2_10003680_T-3699.xml,13262,R_G1,R_G1:8,20,R_G1,R_G1:8
DEU_MONAMerge-2_10003840_T-3859.xml,13361,R_G1,R_G1:18,20,R_G1,R_G1:18
DEU_MONAMerge-2_10003880_T-3899.xml,13408,R_G1,R_G1:16,20,R_G1,R_G1:16
DEU_MONAMerge-2_10003960_T-3979.xml,13454,R_G1,R_G1:16,20,R_G1,R_G1:16
DEU_MONAMerge-2_10004120_T-4139.xml,13541,R_G1,R_G1:11,20,R_G1,R_G1:11
DEU_MONAMerge-2_10004160_T-4179.xml,13563,R_G1,R_G1:10,20,R_G1,R_G1:10
DEU_MONAMerge-2_10004160_T-4179.xml,13568,R_G1,R_G1:10,20,R_G1,R_G1:10
DEU_MONAMerge-2_10004300_T-4319.xml,13694,R_G1,R_G1:17,20,R_G1,R_G1:17
DEU_MONAMerge-2_10004400_T-4419.xml,13727,R_G1,R_G1:10,20,R_G1,R_G1:10
DEU_MONAMerge-2_10004460_T-4479.xml,13754,R_G1,R_G1:16,20,R_G1,R_G1:16
DEU_MONAMerge-2_10004480_T-4499.xml,13771,R_G1,R_G1:11,20,R_G1,R_G1:11
DEU_MONAMerge-2_10004500_T-4519.xml,13778,R_G1,R_G1:13,20,R_G1,R_G1:13
DEU_MONAMerge-2_10004500_T-4519.xml,13780,R_G1,R_G1:13,20,R_G1,R_G1:13
DEU_MONAMerge-2_10004520_T-4539.xml,13808,R_G1,R_G1:14,20,R_G1,R_G1:14
DEU_MONAMerge-2_10004960_T-4979.xml,14036,R_G1,R_G1:9,20,R_G1,R_G1:9
DEU_MONAMerge-2_10004960_T-4979.xml,14040,R_G1,R_G1:18,20,R_G1,R_G1:18
DEU_MONAMerge-2_10005000_T-5019.xml,14067,R_G1,R_G1:13,20,R_G1,R_G1:13
DEU_MONAMerge-2_10005080_T-5099.xml,14116,R_G1,R_G1:14,20,R_G1,R_G1:14
