scenario_id,ego_id,rule_STL
DEU_LocationALower-46_41_T-1,13,R_G2
DEU_LocationAUpper-26_29_T-1,14,R_G2
DEU_LocationAUpper-26_29_T-1,19,R_G2
DEU_LocationAUpper-36_8_T-1,5,R_G2
DEU_LocationAUpper-36_8_T-1,7,R_G2
DEU_LocationAUpper-36_8_T-1,10,R_G2
DEU_LocationAUpper-36_8_T-1,11,R_G2
DEU_LocationAUpper-36_8_T-1,12,R_G2
DEU_LocationAUpper-36_8_T-1,14,R_G2
DEU_LocationAUpper-36_8_T-1,17,R_G2
DEU_LocationAUpper-36_8_T-1,18,R_G2
DEU_LocationAUpper-36_8_T-1,19,R_G2
DEU_LocationAUpper-36_8_T-1,21,R_G2
DEU_LocationALower-33_39_T-1,25,R_G2
DEU_LocationELower-15_33_T-1,8,R_G2
DEU_LocationEUpper-23_33_T-1,7,R_G2
DEU_LocationELower-21_34_T-1,5,R_G2
DEU_LocationELower-16_20_T-1,8,R_G2
DEU_LocationALower-26_48_T-1,20,R_G2
DEU_LocationAUpper-11_11_T-1,21,R_G2
DEU_LocationAUpper-11_11_T-1,24,R_G2
DEU_LocationALower-37_18_T-1,9,R_G2
DEU_LocationAUpper-26_1_T-1,36,R_G2
DEU_LocationAUpper-36_38_T-1,17,R_G2
DEU_LocationELower-15_8_T-1,16,R_G2
DEU_LocationALower-26_50_T-1,28,R_G2
DEU_LocationAUpper-26_50_T-1,8,R_G2
DEU_LocationALower-12_26_T-1,16,R_G2
DEU_LocationAUpper-36_54_T-1,20,R_G2
DEU_LocationAUpper-36_54_T-1,25,R_G2
DEU_LocationALower-49_35_T-1,16,R_G2
DEU_LocationEUpper-22_16_T-1,10,R_G2
DEU_LocationAUpper-26_42_T-1,21,R_G2
DEU_LocationELower-16_38_T-1,10,R_G2
DEU_LocationALower-34_17_T-1,10,R_G2
DEU_LocationALower-25_56_T-1,6,R_G2
DEU_LocationALower-25_56_T-1,8,R_G2
DEU_LocationALower-25_56_T-1,17,R_G2
DEU_LocationAUpper-26_43_T-1,18,R_G2
DEU_LocationELower-18_22_T-1,5,R_G2
DEU_LocationALower-34_13_T-1,15,R_G2
DEU_LocationALower-49_30_T-1,14,R_G2
DEU_LocationALower-49_30_T-1,16,R_G2
DEU_LocationAUpper-26_9_T-1,35,R_G2
DEU_LocationAUpper-26_9_T-1,45,R_G2
DEU_LocationALower-50_26_T-1,9,R_G2
DEU_LocationALower-50_26_T-1,13,R_G2
DEU_LocationAUpper-26_41_T-1,21,R_G2
DEU_LocationAUpper-26_30_T-1,10,R_G2
DEU_LocationAUpper-26_30_T-1,21,R_G2
DEU_LocationEUpper-24_5_T-1,9,R_G2
DEU_LocationALower-35_29_T-1,10,R_G2
DEU_LocationALower-39_3_T-1,9,R_G2
DEU_LocationALower-27_6_T-1,22,R_G2
DEU_LocationELower-22_5_T-1,6,R_G2
DEU_LocationAUpper-25_23_T-1,24,R_G2
DEU_LocationALower-26_29_T-1,24,R_G2
DEU_LocationAUpper-36_53_T-1,21,R_G2
DEU_LocationALower-35_39_T-1,14,R_G2
DEU_LocationBUpper-2_35_T-1,8,R_G2
DEU_LocationALower-53_23_T-1,8,R_G2
DEU_LocationAUpper-36_9_T-1,11,R_G2
DEU_LocationAUpper-36_9_T-1,16,R_G2
DEU_LocationAUpper-36_9_T-1,20,R_G2
DEU_LocationAUpper-36_37_T-1,10,R_G2
DEU_LocationAUpper-36_28_T-1,7,R_G2
DEU_LocationAUpper-33_21_T-1,19,R_G2
DEU_LocationAUpper-26_44_T-1,24,R_G2
DEU_LocationAUpper-12_19_T-1,32,R_G2
DEU_LocationALower-28_43_T-1,11,R_G2
DEU_LocationAUpper-25_6_T-1,12,R_G2
DEU_LocationAUpper-36_60_T-1,13,R_G2
DEU_LocationAUpper-36_60_T-1,16,R_G2
DEU_LocationAUpper-36_60_T-1,20,R_G2
DEU_LocationAUpper-36_60_T-1,24,R_G2
DEU_LocationAUpper-36_60_T-1,25,R_G2
DEU_LocationELower-18_15_T-1,5,R_G2
DEU_LocationAUpper-36_46_T-1,20,R_G2
DEU_LocationAUpper-26_37_T-1,22,R_G2
DEU_LocationEUpper-15_24_T-1,7,R_G2
DEU_LocationALower-38_10_T-1,21,R_G2
DEU_LocationALower-26_49_T-1,35,R_G2
DEU_LocationAUpper-36_48_T-1,16,R_G2
DEU_LocationALower-47_6_T-1,10,R_G2
DEU_LocationAUpper-36_30_T-1,5,R_G2
DEU_LocationAUpper-36_30_T-1,10,R_G2
DEU_LocationAUpper-36_30_T-1,16,R_G2
DEU_LocationAUpper-36_10_T-1,9,R_G2
DEU_LocationAUpper-36_10_T-1,12,R_G2
DEU_LocationEUpper-17_9_T-1,13,R_G2
DEU_LocationALower-28_10_T-1,5,R_G2
DEU_LocationALower-28_10_T-1,16,R_G2
DEU_LocationALower-27_24_T-1,23,R_G2
DEU_LocationALower-27_24_T-1,26,R_G2
DEU_LocationALower-34_1_T-1,12,R_G2
DEU_LocationAUpper-36_49_T-1,7,R_G2
DEU_LocationAUpper-36_49_T-1,8,R_G2
DEU_LocationAUpper-36_7_T-1,15,R_G2
DEU_LocationAUpper-36_7_T-1,18,R_G2
DEU_LocationAUpper-36_7_T-1,20,R_G2
DEU_LocationAUpper-36_7_T-1,22,R_G2
DEU_LocationAUpper-36_7_T-1,24,R_G2
DEU_LocationAUpper-26_32_T-1,19,R_G2
DEU_LocationAUpper-26_32_T-1,20,R_G2
DEU_LocationAUpper-13_10_T-1,12,R_G2
DEU_LocationAUpper-13_10_T-1,14,R_G2
DEU_LocationAUpper-13_10_T-1,25,R_G2
DEU_LocationAUpper-36_61_T-1,19,R_G2
DEU_LocationAUpper-36_61_T-1,24,R_G2
DEU_LocationAUpper-36_61_T-1,26,R_G2
DEU_LocationAUpper-36_61_T-1,33,R_G2
DEU_LocationAUpper-12_21_T-1,32,R_G2
DEU_LocationELower-16_22_T-1,9,R_G2
DEU_LocationAUpper-36_62_T-1,38,R_G2
DEU_LocationAUpper-36_6_T-1,7,R_G2
DEU_LocationEUpper-16_19_T-1,3,R_G2
DEU_LocationALower-51_31_T-1,17,R_G2
DEU_LocationALower-51_31_T-1,21,R_G2
DEU_LocationEUpper-23_23_T-1,4,R_G2
DEU_LocationAUpper-36_8_T-1,6,R_G2
DEU_LocationAUpper-36_8_T-1,8,R_G2
DEU_LocationAUpper-36_8_T-1,9,R_G2
DEU_LocationAUpper-36_8_T-1,16,R_G2
DEU_LocationELower-21_34_T-1,6,R_G2
DEU_LocationALower-26_48_T-1,13,R_G2
DEU_LocationALower-26_48_T-1,25,R_G2
DEU_LocationCUpper-5_38_T-1,14,R_G2
DEU_LocationALower-49_35_T-1,10,R_G2
DEU_LocationALower-49_35_T-1,12,R_G2
DEU_LocationALower-49_35_T-1,13,R_G2
DEU_LocationALower-40_29_T-1,11,R_G2
DEU_LocationALower-56_28_T-1,11,R_G2
DEU_LocationELower-22_16_T-1,7,R_G2
DEU_LocationALower-53_32_T-1,26,R_G2
DEU_LocationDUpper-9_23_T-1,12,R_G2
DEU_LocationAUpper-40_29_T-1,18,R_G2
DEU_LocationALower-27_55_T-1,28,R_G2
DEU_LocationAUpper-36_9_T-1,13,R_G2
DEU_LocationAUpper-36_46_T-1,18,R_G2
DEU_LocationAUpper-36_56_T-1,14,R_G2
DEU_LocationALower-38_10_T-1,18,R_G2
DEU_LocationALower-38_10_T-1,19,R_G2
DEU_LocationAUpper-48_37_T-1,16,R_G2
DEU_LocationALower-52_33_T-1,15,R_G2
DEU_LocationAUpper-36_49_T-1,10,R_G2
DEU_LocationALower-31_20_T-1,18,R_G2
DEU_LocationELower-16_36_T-1,9,R_G2
DEU_LocationALower-27_27_T-1,11,R_G2
DEU_LocationEUpper-19_33_T-1,6,R_G2
DEU_LocationAUpper-36_2_T-1,23,R_G2
DEU_LocationAUpper-36_52_T-1,13,R_G2
DEU_LocationALower-51_31_T-1,16,R_G2
DEU_LocationALower-51_31_T-1,18,R_G2
