scenario_id,ego_id,rule,repairer_type,planner,sat_solver_mode,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,compliance_check_time,core_total_time,wall_time,error
DEU_AachenBendplatz-1_155320_T-5339,10335,R_IN1,vp,2,domain_dpll,True,1,4,0,0.8,3,3.9577484130859375e-05,2.5987625122070312e-05,0.00017523765563964844,0.0004096031188964844,0.0023996829986572266,0.00028014183044433594,0.0,0.003330230712890625,0.9538276195526123,
DEU_AachenBendplatz-1_155320_T-5339,10335,R_IN1,smt,2,dpll,True,3,4,2,inf,0,0.0,5.507469177246094e-05,0.0,0.0,0.0,0.0,0.0,0.11046648025512695,1.206350326538086,
DEU_AachenBendplatz-1_75140_T-5159,10203,R_IN1,vp,2,domain_dpll,True,1,2,0,0.4,3,3.600120544433594e-05,2.9325485229492188e-05,0.00015997886657714844,0.0003731250762939453,0.0025222301483154297,0.00022077560424804688,0.0,0.0033414363861083984,0.9558262825012207,
DEU_AachenBendplatz-1_75140_T-5159,10203,R_IN1,smt,1,dpll,True,2,2,1,0.4,0,0.0,3.504753112792969e-05,0.0,0.0,0.0,0.0,0.0,1.3500821590423584,2.749697208404541,
DEU_AachenBendplatz-1_171600_T-1619,10125,R_IN1,vp,2,domain_dpll,True,1,2,0,0.4,3,4.2438507080078125e-05,2.5272369384765625e-05,0.0001480579376220703,0.00036334991455078125,0.0025763511657714844,0.0004630088806152344,0.0,0.003618478775024414,0.9538958072662354,
DEU_AachenBendplatz-1_171600_T-1619,10125,R_IN1,smt,2,dpll,True,3,2,1,0.4,0,0.0,4.482269287109375e-05,0.0,0.0,0.0,0.0,0.0,1.0528900623321533,2.3877766132354736,
DEU_AachenBendplatz-1_124700_T-4719,10320,R_IN1,vp,2,domain_dpll,True,1,2,0,0.4,3,4.2438507080078125e-05,2.5033950805664062e-05,0.0001544952392578125,0.00035381317138671875,0.004078388214111328,0.0004627704620361328,0.0,0.005116939544677734,0.9258921146392822,
DEU_AachenBendplatz-1_124700_T-4719,10320,R_IN1,smt,1,dpll,True,3,2,0,0.4,0,0.0,4.792213439941406e-05,0.0,0.0,0.0,0.0,0.0,0.36043715476989746,1.673401117324829,
DEU_AachenBendplatz-1_12700_T-719,10035,R_IN1,vp,2,domain_dpll,True,1,4,0,inf,3,4.315376281738281e-05,2.574920654296875e-05,0.00018787384033203125,0.00030303001403808594,0.002196788787841797,0.00026607513427734375,0.0,0.0030226707458496094,1.0340113639831543,
DEU_AachenBendplatz-1_12700_T-719,10035,R_IN1,smt,1,dpll,True,2,4,0,1.0,0,0.0,3.0994415283203125e-05,0.0,0.0,0.0,0.0,0.0,0.9636063575744629,2.171967029571533,
DEU_AachenBendplatz-1_162800_T-2819,10214,R_IN1,vp,2,domain_dpll,True,1,4,0,inf,3,3.6716461181640625e-05,2.6702880859375e-05,0.00017261505126953125,0.0003829002380371094,0.0020558834075927734,0.0002810955047607422,0.0,0.002955913543701172,0.9345903396606445,
DEU_AachenBendplatz-1_162800_T-2819,10214,R_IN1,smt,2,dpll,False,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8690595626831055,ValueError: x and/or y coordinate outside of projection domain
DEU_AachenBendplatz-1_134900_T-4919,10351,R_IN1,vp,2,domain_dpll,True,1,5,0,inf,3,3.647804260253906e-05,2.6464462280273438e-05,0.00017976760864257812,0.0003154277801513672,0.0019145011901855469,0.00026869773864746094,0.0,0.0027413368225097656,1.107867956161499,
DEU_AachenBendplatz-1_134900_T-4919,10351,R_IN1,smt,1,dpll,True,2,5,0,inf,0,0.0,2.765655517578125e-05,0.0,0.0,0.0,0.0,0.0,1.5452101230621338,3.296786069869995,
DEU_AachenBendplatz-1_172260_T-2279,10176,R_IN1,vp,2,domain_dpll,True,1,4,0,inf,3,4.363059997558594e-05,2.5510787963867188e-05,0.00016927719116210938,0.00037026405334472656,0.0026302337646484375,0.00026917457580566406,0.0,0.0035080909729003906,1.2699270248413086,
DEU_AachenBendplatz-1_172260_T-2279,10176,R_IN1,smt,2,dpll,False,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232410192489624,ValueError: x and/or y coordinate outside of projection domain
DEU_AachenBendplatz-1_123940_T-3959,10258,R_IN1,vp,2,domain_dpll,True,1,4,0,inf,3,4.076957702636719e-05,2.6226043701171875e-05,0.00017881393432617188,0.00030875205993652344,0.002763986587524414,0.0002665519714355469,0.0,0.0035851001739501953,1.213536262512207,
DEU_AachenBendplatz-1_123940_T-3959,10258,R_IN1,smt,1,dpll,True,2,4,1,0.8,0,0.0,3.981590270996094e-05,0.0,0.0,0.0,0.0,0.0,0.888864278793335,2.6319894790649414,
DEU_AachenBendplatz-1_85160_T-5179,10405,R_IN1,vp,2,domain_dpll,True,1,5,0,0.8,3,4.315376281738281e-05,2.5987625122070312e-05,0.00017547607421875,0.00045943260192871094,0.0032656192779541016,0.0004780292510986328,0.0,0.0044476985931396484,0.9560608863830566,
DEU_AachenBendplatz-1_85160_T-5179,10405,R_IN1,smt,1,dpll,True,3,5,3,1.0,0,0.0,4.649162292480469e-05,0.0,0.0,0.0,0.0,0.0,0.2755739688873291,1.8740878105163574,
DEU_AachenBendplatz-1_141540_T-1559,10095,R_IN1,vp,2,domain_dpll,True,1,5,0,inf,3,3.62396240234375e-05,2.4318695068359375e-05,0.00017642974853515625,0.00030684471130371094,0.0026426315307617188,0.0002048015594482422,0.0,0.003391265869140625,0.9751667976379395,
DEU_AachenBendplatz-1_141540_T-1559,10095,R_IN1,smt,2,dpll,True,2,5,1,inf,0,0.0,3.0279159545898438e-05,0.0,0.0,0.0,0.0,0.0,0.34023594856262207,1.665609359741211,
DEU_AachenBendplatz-1_91260_T-1279,10075,R_IN1,vp,2,domain_dpll,True,1,5,0,inf,3,4.458427429199219e-05,2.6464462280273438e-05,0.00017380714416503906,0.0002942085266113281,0.0021517276763916016,0.00026988983154296875,0.0,0.002960681915283203,0.9750974178314209,
DEU_AachenBendplatz-1_91260_T-1279,10075,R_IN1,smt,1,dpll,True,2,5,1,1.4000000000000001,0,0.0,3.552436828613281e-05,0.0,0.0,0.0,0.0,0.0,1.1871857643127441,2.5380008220672607,
DEU_AachenBendplatz-1_91280_T-1299,10079,R_IN1,vp,2,domain_dpll,True,1,5,0,inf,3,4.1961669921875e-05,2.6941299438476562e-05,0.00017976760864257812,0.000301361083984375,0.002705812454223633,0.0004622936248779297,0.0,0.003718137741088867,1.0417540073394775,
DEU_AachenBendplatz-1_91280_T-1299,10079,R_IN1,smt,2,dpll,True,2,5,2,inf,0,0.0,4.410743713378906e-05,0.0,0.0,0.0,0.0,0.0,0.509990930557251,1.8244826793670654,
DEU_AachenBendplatz-1_85140_T-5159,10407,R_IN1,vp,2,domain_dpll,True,1,5,0,inf,3,4.315376281738281e-05,2.6941299438476562e-05,0.0001838207244873047,0.0003056526184082031,0.002766132354736328,0.0004508495330810547,0.0,0.00377655029296875,0.9497711658477783,
DEU_AachenBendplatz-1_85140_T-5159,10407,R_IN1,smt,1,dpll,True,2,5,1,1.2000000000000002,0,0.0,3.886222839355469e-05,0.0,0.0,0.0,0.0,0.0,1.2001733779907227,2.5890438556671143,
DEU_AachenBendplatz-1_13540_T-559,10040,R_IN1,vp,2,domain_dpll,True,1,5,0,inf,3,4.291534423828125e-05,2.5987625122070312e-05,0.00018715858459472656,0.00032019615173339844,0.002095937728881836,0.0002682209014892578,0.0,0.0029404163360595703,0.9965126514434814,
