scenario_id,ego_id,rule,planner,sat_solver_mode,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,compliance_check_time,core_total_time,wall_time,error
DEU_AachenFrankenburg-1_184060_T-4079,10290,R_IN4,1,domain_dpll,True,1,1,0,1.2,9,0.000110626220703125,4.86373901367188E-05,0.00183391571044922,0.000476837158203125,0.0027012825012207,0.000465631484985352,0,0.00563693046569824,5.70242762565613,
DEU_AachenBendplatz-1_172740_T-2759,10202,R_IN4,1,domain_dpll,True,1,4,0,1.8,7,8.91685485839844E-05,5.7220458984375E-05,0.0052485466003418,0.000511407852172852,0.00240802764892578,0.000210762023925781,0,0.00852513313293457,6.35190677642822,
DEU_AachenFrankenburg-1_225620_T-5639,10507,R_IN4,1,domain_dpll,True,1,11,0,3,8,9.48905944824219E-05,3.83853912353516E-05,0.00157308578491211,0.000448942184448242,0.00200200080871582,0.000263452529907227,0,0.00442075729370117,5.50787377357483,
DEU_AachenBendplatz-1_101260_T-1279,10083,R_IN4,1,dpll,False,27,11,0,,0,0,0.00123691558837891,0,0,0,0,0,0.00123691558837891,16.3974668979645,repair returned None
DEU_AachenFrankenburg-1_265260_T-5279,10453,R_IN4,1,domain_dpll,True,1,9,0,inf,0,0.000107049942016602,4.22000885009766E-05,0.0144317150115967,0.000463008880615234,0.00233554840087891,0.000486135482788086,0,0.0178656578063965,5.93523836135864,
DEU_AachenFrankenburg-1_206020_T-6039,10462,R_IN4,1,domain_dpll,True,1,5,0,1.6,8,0.000102043151855469,3.83853912353516E-05,0.00162720680236816,0.000451326370239258,0.00204801559448242,0.000277996063232422,0,0.00454497337341309,5.69512438774109,
DEU_AachenBendplatz-1_13720_T-739,10057,R_IN4,1,domain_dpll,True,1,3,0,1,6,0.000100374221801758,3.98159027099609E-05,0.00182795524597168,0.00068211555480957,0.00193262100219727,0.000211477279663086,0,0.00479435920715332,6.80983710289002,
DEU_AachenFrankenburg-1_2120_T-39,10023,R_IN4,1,domain_dpll,True,1,3,0,1.6,7,0.000102519989013672,3.814697265625E-05,0.00263166427612305,0.000403881072998047,0.00208592414855957,0.000225543975830078,0,0.00548768043518066,5.86699175834656,
DEU_AachenBendplatz-1_83000_T-3019,10226,R_IN4,1,domain_dpll,True,1,4,0,1.4,7,8.74996185302734E-05,4.05311584472656E-05,0.00240302085876465,0.000495195388793945,0.00283527374267578,0.000482559204101563,0,0.00634407997131348,6.47359752655029,
DEU_AachenFrankenburg-1_232260_T-2279,10208,R_IN4,1,domain_dpll,True,1,5,0,1.4,7,0.0001068115234375,5.14984130859375E-05,0.00249648094177246,0.000482559204101563,0.00222516059875488,0.00030970573425293,0,0.00567221641540527,5.46567249298096,
DEU_AachenBendplatz-1_92340_T-2359,10140,R_IN4,1,domain_dpll,True,1,5,0,inf,6,0.000158548355102539,7.48634338378906E-05,0.00712132453918457,0.000461101531982422,0.00214242935180664,0.000281095504760742,0,0.0102393627166748,6.46680307388306,
DEU_AachenFrankenburg-1_264440_T-4459,10391,R_IN4,1,domain_dpll,True,1,8,0,inf,8,0.000102519989013672,4.55379486083984E-05,0.00178265571594238,0.000484466552734375,0.00216507911682129,0.000220537185668945,0,0.00480079650878906,5.76303744316101,
DEU_AachenBendplatz-1_1740_T-59,10003,R_IN4,1,domain_dpll,True,1,9,0,inf,7,9.79900360107422E-05,4.07695770263672E-05,0.00239920616149902,0.000680685043334961,0.00211143493652344,0.000284671783447266,0,0.0056147575378418,7.0397469997406,
DEU_AachenBendplatz-1_15160_T-179,10016,R_IN4,1,domain_dpll,True,1,9,0,inf,4,0.000154018402099609,4.41074371337891E-05,0.00191569328308105,0.00072479248046875,0.00287556648254395,0.000486612319946289,0,0.00620079040527344,6.45802021026611,
DEU_AachenBendplatz-1_152620_T-2639,10164,R_IN4,1,domain_dpll,True,1,12,0,inf,8,0.000102043151855469,5.53131103515625E-05,0.00174713134765625,0.000658273696899414,0.00271987915039063,0.000241756439208984,0,0.00552439689636231,8.52844190597534,
DEU_AachenBendplatz-1_8340_T-359,10030,R_IN4,1,domain_dpll,True,1,12,0,inf,3,9.84668731689453E-05,4.05311584472656E-05,0.00324153900146484,0.000460147857666016,0.00208401679992676,0.000249862670898438,0,0.00617456436157227,6.54085302352905,
DEU_AachenBendplatz-1_93620_T-3639,10217,R_IN4,1,domain_dpll,True,1,13,0,inf,3,0.000106096267700195,3.52859497070313E-05,0.00577712059020996,0.000735759735107422,0.00202584266662598,0.00021672248840332,0,0.00889682769775391,6.74211978912354,
DEU_AachenBendplatz-1_172740_T-2759,10202,R_IN4,1,domain_dpll,True,1,4,0,1.8,7,0.000109434127807617,4.88758087158203E-05,0.00514030456542969,0.000593662261962891,0.00293874740600586,0.00021052360534668,0,0.00904154777526856,6.59036922454834,
DEU_AachenBendplatz-1_163680_T-3699,10267,R_IN4,1,dpll,False,31,12,0,,0,0,0.00111818313598633,0,0,0,0,0,0.00111818313598633,15.5057215690613,repair returned None
DEU_AachenFrankenburg-1_225620_T-5639,10507,R_IN4,1,domain_dpll,True,1,11,0,3,8,0.000107049942016602,4.29153442382813E-05,0.00180649757385254,0.000494718551635742,0.00232458114624023,0.000245332717895508,0,0.00502109527587891,5.80090546607971,
DEU_AachenFrankenburg-1_265260_T-5279,10453,R_IN4,1,domain_dpll,True,1,9,0,inf,0,0.000101089477539063,4.33921813964844E-05,0.0151324272155762,0.000451564788818359,0.00281524658203125,0.000227928161621094,0,0.0187716484069824,6.08124685287476,
