,,R_IN1,R_IN3,R_IN4,R_IN5
,,violation_bool,violation_bool,violation_bool,violation_bool
scenario_id,ego_id,,,,
DEU_AAH1-2_119000_T-9149,10111,-1.0,1.0,1.0,1.0
DEU_AAH1-2_76900_T-7049,10065,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_72250_T-2399,10035,-1.0,1.0,1.0,1.0
DEU_AAH1-2_128250_T-8399,10091,-1.0,1.0,1.0,1.0
DEU_AAH1-2_128400_T-8549,10093,-1.0,1.0,1.0,1.0
DEU_AAH1-2_9900_T-1049,10011,-1.0,1.0,1.0,1.0
DEU_AAH1-2_78850_T-8999,10075,-1.0,1.0,1.0,1.0
DEU_AAH1-2_86300_T-6449,10100,-1.0,1.0,1.0,1.0
DEU_AAH1-2_124650_T-4799,10047,-1.0,1.0,1.0,1.0
DEU_AAH1-2_85550_T-5699,10066,-1.0,1.0,1.0,1.0
DEU_AAH1-2_135400_T-5549,10082,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_101200_T-1349,10019,-1.0,1.0,1.0,1.0
DEU_AAH1-2_93750_T-3899,10050,-1.0,1.0,1.0,1.0
DEU_AAH1-2_132850_T-2999,10043,-1.0,1.0,1.0,1.0
DEU_AAH1-2_86000_T-6149,10097,-1.0,1.0,1.0,1.0
DEU_AAH1-2_85100_T-5249,10078,-1.0,1.0,1.0,1.0
DEU_AAH1-2_12450_T-599,10011,-1.0,1.0,1.0,1.0
DEU_AAH1-2_87800_T-7949,10112,-1.0,1.0,1.0,1.0
DEU_AAH1-2_13150_T-299,10008,-1.0,1.0,1.0,1.0
DEU_AAH1-2_122550_T-2699,10026,-1.0,1.0,1.0,1.0
DEU_AAH1-2_73750_T-3899,10046,-1.0,1.0,1.0,1.0
DEU_AAH1-2_126900_T-7049,10076,-1.0,1.0,1.0,1.0
DEU_AAH1-2_127350_T-7499,10085,-1.0,1.0,1.0,1.0
DEU_AAH1-2_117650_T-7799,10097,-1.0,1.0,1.0,1.0
DEU_AAH1-2_93900_T-4049,10054,-1.0,1.0,1.0,1.0
DEU_AAH1-2_12150_T-299,10007,-1.0,1.0,1.0,1.0
DEU_AAH1-2_78700_T-8849,10074,-1.0,1.0,1.0,1.0
DEU_AAH1-2_125250_T-5399,10056,-1.0,1.0,1.0,1.0
DEU_AAH1-2_127950_T-8099,10090,-1.0,1.0,1.0,1.0
DEU_AAH1-2_117500_T-7649,10097,-1.0,1.0,1.0,1.0
DEU_AAH1-2_127800_T-7949,10088,-1.0,1.0,1.0,1.0
DEU_AAH1-2_86150_T-6299,10097,-1.0,1.0,1.0,1.0
DEU_AAH1-2_105850_T-5999,10080,-1.0,1.0,1.0,1.0
DEU_AAH1-2_133450_T-3599,10057,-1.0,1.0,1.0,1.0
DEU_AAH1-2_97350_T-7499,10080,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_129750_T-9899,10111,-1.0,1.0,1.0,1.0
DEU_AAH1-2_88250_T-8399,10123,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_99750_T-9899,10116,-1.0,1.0,1.0,1.0
DEU_AAH1-2_122850_T-2999,10030,-1.0,1.0,1.0,1.0
DEU_AAH1-2_132700_T-2849,10037,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_85700_T-5849,10093,-1.0,1.0,1.0,1.0
DEU_AAH1-2_97500_T-7649,10076,-1.0,1.0,1.0,1.0
DEU_AAH1-2_116750_T-6899,10090,-1.0,1.0,1.0,1.0
