scenario_id,ego_id,rule_STL,
DEU_LocationALower-11_102_T-1,16,R_G1,
DEU_LocationALower-11_110_T-1,16,R_G1,
DEU_LocationALower-11_131_T-1,18,R_G1,
DEU_LocationALower-11_4_T-1,18,R_G1,
DEU_LocationALower-11_43_T-1,17,R_G1,
DEU_LocationALower-11_56_T-1,15,R_G1,
DEU_LocationALower-11_64_T-1,18,R_G1,
DEU_LocationALower-12_109_T-1,20,R_G1,
DEU_LocationALower-12_167_T-1,12,R_G1,
DEU_LocationALower-12_217_T-1,14,R_G1,
DEU_LocationALower-12_52_T-1,26,R_G1,
DEU_LocationALower-13_162_T-1,21,R_G1,
DEU_LocationALower-13_167_T-1,17,R_G1,
DEU_LocationALower-13_168_T-1,12,R_G1,
DEU_LocationALower-13_214_T-1,21,R_G1,
DEU_LocationALower-13_239_T-1,18,R_G1,
DEU_LocationALower-13_241_T-1,20,R_G1,
DEU_LocationALower-13_247_T-1,15,R_G1,
DEU_LocationALower-13_29_T-1,18,R_G1,
DEU_LocationALower-13_56_T-1,10,R_G1,
DEU_LocationALower-13_82_T-1,17,R_G1,
DEU_LocationALower-14_14_T-1,13,R_G1,
DEU_LocationALower-14_161_T-1,21,R_G1,
DEU_LocationALower-14_219_T-1,12,R_G1,
DEU_LocationALower-14_247_T-1,16,R_G1,
DEU_LocationALower-14_252_T-1,12,R_G1,
DEU_LocationALower-14_39_T-1,15,R_G1,
DEU_LocationALower-14_96_T-1,15,R_G1,
DEU_LocationALower-25_155_T-1,15,R_G1,
DEU_LocationALower-27_140_T-1,14,R_G1,
DEU_LocationALower-27_184_T-1,13,R_G1,
DEU_LocationALower-28_109_T-1,13,R_G1,
DEU_LocationALower-28_109_T-1,18,R_G1,
DEU_LocationALower-28_228_T-1,11,R_G1,
DEU_LocationALower-28_252_T-1,12,R_G1,
DEU_LocationALower-28_252_T-1,18,R_G1,
DEU_LocationALower-29_123_T-1,16,R_G1,
DEU_LocationALower-29_134_T-1,9,R_G1,
DEU_LocationALower-29_192_T-1,9,R_G1,
DEU_LocationALower-29_245_T-1,12,R_G1,
DEU_LocationALower-29_249_T-1,23,R_G1,
DEU_LocationALower-29_250_T-1,12,R_G1,
DEU_LocationALower-29_65_T-1,8,R_G1,
DEU_LocationALower-29_70_T-1,11,R_G1,
DEU_LocationALower-30_218_T-1,16,R_G1,
DEU_LocationALower-30_46_T-1,16,R_G1,
DEU_LocationALower-31_154_T-1,9,R_G1,
DEU_LocationALower-31_239_T-1,16,R_G1,
DEU_LocationALower-31_24_T-1,13,R_G1,
DEU_LocationALower-31_31_T-1,15,R_G1,
DEU_LocationALower-31_47_T-1,13,R_G1,
DEU_LocationALower-32_117_T-1,17,R_G1,
DEU_LocationALower-32_136_T-1,16,R_G1,
DEU_LocationALower-32_186_T-1,12,R_G1,
DEU_LocationALower-32_70_T-1,14,R_G1,
DEU_LocationALower-32_84_T-1,13,R_G1,
DEU_LocationALower-33_142_T-1,10,R_G1,
DEU_LocationALower-33_16_T-1,12,R_G1,
DEU_LocationALower-33_219_T-1,8,R_G1,
DEU_LocationALower-33_228_T-1,14,R_G1,
DEU_LocationALower-33_233_T-1,14,R_G1,
DEU_LocationALower-33_261_T-1,13,R_G1,
DEU_LocationALower-33_265_T-1,22,R_G1,
DEU_LocationALower-33_96_T-1,9,R_G1,
DEU_LocationALower-34_120_T-1,17,R_G1,
DEU_LocationALower-34_146_T-1,14,R_G1,
DEU_LocationALower-34_147_T-1,16,R_G1,
DEU_LocationALower-34_163_T-1,15,R_G1,
DEU_LocationALower-34_179_T-1,15,R_G1,
DEU_LocationALower-34_37_T-1,9,R_G1,
DEU_LocationALower-34_49_T-1,10,R_G1,
DEU_LocationALower-34_96_T-1,14,R_G1,
DEU_LocationALower-35_126_T-1,20,R_G1,
DEU_LocationALower-35_263_T-1,12,R_G1,
DEU_LocationALower-35_34_T-1,19,R_G1,
DEU_LocationALower-36_113_T-1,14,R_G1,
DEU_LocationALower-36_123_T-1,15,R_G1,
DEU_LocationALower-36_208_T-1,8,R_G1,
DEU_LocationALower-36_236_T-1,6,R_G1,
DEU_LocationALower-36_269_T-1,18,R_G1,
DEU_LocationALower-36_291_T-1,13,R_G1,
DEU_LocationALower-36_61_T-1,9,R_G1,
DEU_LocationALower-37_1_T-1,11,R_G1,
DEU_LocationALower-37_205_T-1,15,R_G1,
DEU_LocationALower-37_231_T-1,23,R_G1,
DEU_LocationALower-37_240_T-1,8,R_G1,
DEU_LocationALower-37_4_T-1,22,R_G1,
DEU_LocationALower-11_102_T-1,16,R_G1,
DEU_LocationALower-11_110_T-1,16,R_G1,
DEU_LocationALower-11_131_T-1,18,R_G1,
DEU_LocationALower-11_4_T-1,18,R_G1,
DEU_LocationALower-11_43_T-1,17,R_G1,
DEU_LocationALower-11_56_T-1,15,R_G1,
DEU_LocationALower-11_64_T-1,18,R_G1,
DEU_LocationALower-12_109_T-1,20,R_G1,
DEU_LocationALower-12_167_T-1,12,R_G1,
DEU_LocationALower-12_217_T-1,14,R_G1,
DEU_LocationALower-12_52_T-1,26,R_G1,
DEU_LocationALower-13_162_T-1,21,R_G1,
DEU_LocationALower-13_167_T-1,17,R_G1,
DEU_LocationALower-13_168_T-1,12,R_G1,
DEU_LocationALower-13_214_T-1,21,R_G1,
DEU_LocationALower-13_239_T-1,18,R_G1,
DEU_LocationALower-13_241_T-1,20,R_G1,
DEU_LocationALower-13_247_T-1,15,R_G1,
DEU_LocationALower-13_29_T-1,18,R_G1,
DEU_LocationALower-13_56_T-1,10,R_G1,
DEU_LocationALower-13_82_T-1,17,R_G1,
DEU_LocationALower-14_14_T-1,13,R_G1,
DEU_LocationALower-14_161_T-1,21,R_G1,
DEU_LocationALower-14_219_T-1,12,R_G1,
DEU_LocationALower-14_247_T-1,16,R_G1,
DEU_LocationALower-14_252_T-1,12,R_G1,
DEU_LocationALower-14_39_T-1,15,R_G1,
DEU_LocationALower-14_96_T-1,15,R_G1,
DEU_LocationALower-25_155_T-1,15,R_G1,
DEU_LocationALower-27_140_T-1,14,R_G1,
DEU_LocationALower-27_184_T-1,13,R_G1,
DEU_LocationALower-28_109_T-1,13,R_G1,
DEU_LocationALower-28_109_T-1,18,R_G1,
DEU_LocationALower-28_228_T-1,11,R_G1,
DEU_LocationALower-28_252_T-1,12,R_G1,
DEU_LocationALower-28_252_T-1,18,R_G1,
DEU_LocationALower-29_123_T-1,16,R_G1,
DEU_LocationALower-29_134_T-1,9,R_G1,
DEU_LocationALower-29_192_T-1,9,R_G1,
DEU_LocationALower-29_245_T-1,12,R_G1,
DEU_LocationALower-29_249_T-1,23,R_G1,
DEU_LocationALower-29_250_T-1,12,R_G1,
DEU_LocationALower-29_65_T-1,8,R_G1,
DEU_LocationALower-29_70_T-1,11,R_G1,
DEU_LocationALower-30_218_T-1,16,R_G1,
DEU_LocationALower-30_46_T-1,16,R_G1,
DEU_LocationALower-31_154_T-1,9,R_G1,
DEU_LocationALower-31_239_T-1,16,R_G1,
DEU_LocationALower-31_24_T-1,13,R_G1,
DEU_LocationALower-31_31_T-1,15,R_G1,
DEU_LocationALower-31_47_T-1,13,R_G1,
DEU_LocationALower-32_117_T-1,17,R_G1,
DEU_LocationALower-32_136_T-1,16,R_G1,
DEU_LocationALower-32_186_T-1,12,R_G1,
DEU_LocationALower-32_70_T-1,14,R_G1,
DEU_LocationALower-32_84_T-1,13,R_G1,
DEU_LocationALower-33_142_T-1,10,R_G1,
DEU_LocationALower-33_16_T-1,12,R_G1,
