scenario_id,scenario_path,ego_id,rule_STL,first_violation_index,min_value,num_steps
DEU_LocationALower-46_201_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-46_201_T-1.xml,5,R_G2,7,-1,10
DEU_LocationALower-47_251_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-47_251_T-1.xml,13,R_G2,4,-1,21
DEU_LocationALower-47_25_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-47_25_T-1.xml,14,R_G2,10,-1,21
DEU_LocationALower-47_25_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-47_25_T-1.xml,15,R_G2,17,-1,21
DEU_LocationALower-47_26_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-47_26_T-1.xml,10,R_G2,0,-1,21
DEU_LocationALower-47_28_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-47_28_T-1.xml,24,R_G2,19,-1,21
DEU_LocationALower-47_29_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-47_29_T-1.xml,19,R_G2,0,-1,21
DEU_LocationALower-47_29_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-47_29_T-1.xml,25,R_G2,19,-1,21
DEU_LocationALower-47_30_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-47_30_T-1.xml,18,R_G2,0,-1,21
DEU_LocationALower-47_31_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-47_31_T-1.xml,14,R_G2,3,-1,21
DEU_LocationALower-47_67_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-47_67_T-1.xml,26,R_G2,9,-1,21
DEU_LocationALower-47_68_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-47_68_T-1.xml,22,R_G2,4,-1,21
DEU_LocationALower-47_69_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-47_69_T-1.xml,27,R_G2,0,-1,21
DEU_LocationALower-48_122_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-48_122_T-1.xml,26,R_G2,7,-1,21
DEU_LocationALower-49_145_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-49_145_T-1.xml,14,R_G2,16,-1,21
DEU_LocationALower-49_146_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-49_146_T-1.xml,9,R_G2,0,-1,21
DEU_LocationALower-49_146_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-49_146_T-1.xml,11,R_G2,13,-1,21
DEU_LocationALower-49_169_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-49_169_T-1.xml,15,R_G2,18,-1,21
DEU_LocationALower-49_170_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-49_170_T-1.xml,9,R_G2,0,-1,7
DEU_LocationALower-49_170_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-49_170_T-1.xml,10,R_G2,7,-1,11
DEU_LocationALower-49_170_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-49_170_T-1.xml,13,R_G2,11,-1,19
DEU_LocationALower-49_4_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-49_4_T-1.xml,10,R_G2,5,-1,11
DEU_LocationALower-50_124_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-50_124_T-1.xml,17,R_G2,14,-1,21
DEU_LocationALower-50_125_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-50_125_T-1.xml,9,R_G2,0,-1,9
DEU_LocationALower-50_128_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-50_128_T-1.xml,10,R_G2,11,-1,21
DEU_LocationALower-50_129_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-50_129_T-1.xml,5,R_G2,0,-1,4
DEU_LocationALower-50_129_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-50_129_T-1.xml,6,R_G2,4,-1,11
DEU_LocationALower-50_129_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-50_129_T-1.xml,8,R_G2,11,-1,13
DEU_LocationALower-50_277_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-50_277_T-1.xml,11,R_G2,11,-1,13
DEU_LocationALower-50_277_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-50_277_T-1.xml,13,R_G2,15,-1,18
DEU_LocationALower-50_58_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-50_58_T-1.xml,13,R_G2,14,-1,21
DEU_LocationALower-50_59_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-50_59_T-1.xml,7,R_G2,0,-1,4
DEU_LocationALower-50_59_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-50_59_T-1.xml,10,R_G2,4,-1,9
DEU_LocationALower-51_150_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-51_150_T-1.xml,17,R_G2,17,-1,21
DEU_LocationALower-51_151_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-51_151_T-1.xml,9,R_G2,0,-1,10
DEU_LocationALower-51_151_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-51_151_T-1.xml,10,R_G2,12,-1,16
DEU_LocationALower-51_151_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-51_151_T-1.xml,13,R_G2,16,-1,21
DEU_LocationALower-51_152_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-51_152_T-1.xml,6,R_G2,0,-1,5
