scenario_id,ego_id,rule_STL
DEU_AachenBendplatz-1_155320_T-5339,10335,R_IN1
DEU_AachenBendplatz-1_75140_T-5159,10203,R_IN1
DEU_AachenBendplatz-1_171600_T-1619,10125,R_IN1
DEU_AachenBendplatz-1_124700_T-4719,10320,R_IN1
DEU_AachenBendplatz-1_12700_T-719,10035,R_IN1
DEU_AachenBendplatz-1_162800_T-2819,10214,R_IN1
DEU_AachenBendplatz-1_134900_T-4919,10351,R_IN1
DEU_AachenBendplatz-1_172260_T-2279,10176,R_IN1
DEU_AachenBendplatz-1_123940_T-3959,10258,R_IN1
DEU_AachenBendplatz-1_85160_T-5179,10405,R_IN1
DEU_AachenBendplatz-1_141540_T-1559,10095,R_IN1
DEU_AachenBendplatz-1_91260_T-1279,10075,R_IN1
DEU_AachenBendplatz-1_91280_T-1299,10079,R_IN1
DEU_AachenBendplatz-1_85140_T-5159,10407,R_IN1
DEU_AachenBendplatz-1_13540_T-559,10040,R_IN1
DEU_AachenBendplatz-1_154520_T-4539,10285,R_IN1
DEU_AachenBendplatz-1_93520_T-3539,10208,R_IN1
DEU_AachenBendplatz-1_143020_T-3039,10228,R_IN1
DEU_AachenBendplatz-1_132600_T-2619,10185,R_IN1
DEU_AachenBendplatz-1_11500_T-519,10043,R_IN1
DEU_AachenBendplatz-1_124040_T-4059,10264,R_IN1
DEU_AachenBendplatz-1_113780_T-3799,10256,R_IN1
DEU_AachenBendplatz-1_71760_T-1779,10074,R_IN1
DEU_AachenBendplatz-1_73920_T-3939,10153,R_IN1
DEU_AachenBendplatz-1_161380_T-1399,10106,R_IN1
DEU_AachenBendplatz-1_10700_T-719,10051,R_IN1
DEU_AachenBendplatz-1_83540_T-3559,10269,R_IN1
DEU_AachenBendplatz-1_113760_T-3779,10254,R_IN1
DEU_AachenBendplatz-1_93760_T-3779,10229,R_IN1
DEU_AachenBendplatz-1_141960_T-1979,10140,R_IN1
DEU_AachenBendplatz-1_81000_T-1019,10078,R_IN1
DEU_AachenBendplatz-1_122260_T-2279,10128,R_IN1
DEU_AachenBendplatz-1_163720_T-3739,10270,R_IN1
DEU_AachenBendplatz-1_13840_T-859,10063,R_IN1
DEU_AachenBendplatz-1_81940_T-1959,10157,R_IN1
DEU_AachenBendplatz-1_171180_T-1199,10090,R_IN1
DEU_AachenBendplatz-1_171380_T-1399,10107,R_IN1
DEU_AachenBendplatz-1_14360_T-379,10028,R_IN1
DEU_AachenBendplatz-1_132180_T-2199,10158,R_IN1
DEU_AachenBendplatz-1_134380_T-4399,10309,R_IN1
DEU_AachenBendplatz-1_125580_T-5599,10402,R_IN1
DEU_AachenBendplatz-1_102320_T-2339,10147,R_IN1
DEU_AachenBendplatz-1_102160_T-2179,10130,R_IN1
DEU_AachenBendplatz-1_144920_T-4939,10367,R_IN1
DEU_AachenBendplatz-1_83420_T-3439,10262,R_IN1
DEU_AachenBendplatz-1_124320_T-4339,10290,R_IN1
DEU_AachenBendplatz-1_132580_T-2599,10183,R_IN1
DEU_AachenBendplatz-1_71480_T-1499,10069,R_IN1
DEU_AachenBendplatz-1_143920_T-3939,10304,R_IN1
DEU_AachenBendplatz-1_83340_T-3359,10255,R_IN1
DEU_AachenBendplatz-1_102260_T-2279,10142,R_IN1
DEU_AachenBendplatz-1_102720_T-2739,10169,R_IN1
DEU_AachenBendplatz-1_111320_T-1339,10087,R_IN1
DEU_AachenBendplatz-1_113180_T-3199,10211,R_IN1
DEU_AachenBendplatz-1_113620_T-3639,10245,R_IN1
DEU_AachenBendplatz-1_12640_T-659,10034,R_IN1
DEU_AachenBendplatz-1_133320_T-3339,10229,R_IN1
DEU_AachenBendplatz-1_134560_T-4579,10319,R_IN1
DEU_AachenBendplatz-1_143120_T-3139,10231,R_IN1
DEU_AachenBendplatz-1_143500_T-3519,10266,R_IN1
DEU_AachenBendplatz-1_151840_T-1859,10125,R_IN1
DEU_AachenBendplatz-1_153320_T-3339,10220,R_IN1
DEU_AachenBendplatz-1_153880_T-3899,10242,R_IN1
DEU_AachenBendplatz-1_154400_T-4419,10278,R_IN1
DEU_AachenBendplatz-1_163620_T-3639,10262,R_IN1
DEU_AachenBendplatz-1_172060_T-2079,10157,R_IN1
DEU_AachenBendplatz-1_173000_T-3019,10220,R_IN1
DEU_AachenBendplatz-1_174820_T-4839,10347,R_IN1
DEU_AachenBendplatz-1_1760_T-79,10004,R_IN1
DEU_AachenBendplatz-1_7140_T-159,10021,R_IN1
DEU_AachenBendplatz-1_7180_T-199,10023,R_IN1
DEU_AachenBendplatz-1_73340_T-3359,10133,R_IN1
DEU_AachenBendplatz-1_74540_T-4559,10176,R_IN1
DEU_AachenBendplatz-1_83880_T-3899,10296,R_IN1
DEU_AachenBendplatz-1_84360_T-4379,10337,R_IN1
DEU_AachenBendplatz-1_8620_T-639,10044,R_IN1
DEU_AachenBendplatz-1_91680_T-1699,10108,R_IN1
