scenario_id,ego_id,rule_STL,iterations,tv,tc,updated_tv,core_total_time,wall_time
DEU_LocationALower-46_41_T-2,13,R_G2,2,1,0,0.4,0.11065053939819336,1.3541314601898193
DEU_LocationAUpper-36_8_T-2,10,R_G2,2,1,0,0.4,0.11437630653381348,1.3544211387634277
DEU_LocationAUpper-36_8_T-2,12,R_G2,2,1,0,0.4,0.12392258644104004,1.365779161453247
DEU_LocationAUpper-36_8_T-2,14,R_G2,1,2,0,-inf,0.14020586013793945,1.3883423805236816
DEU_LocationAUpper-36_8_T-2,17,R_G2,2,5,4,1.2000000000000002,0.1055612564086914,1.3807077407836914
DEU_LocationAUpper-36_8_T-2,19,R_G2,2,1,0,0.4,0.17731022834777832,1.4282052516937256
DEU_LocationAUpper-36_8_T-2,21,R_G2,2,1,0,0.4,0.1269209384918213,1.343541145324707
DEU_LocationAUpper-36_8_T-2,6,R_G2,1,1,0,0.4,0.06427669525146484,1.2173194885253906
DEU_LocationAUpper-36_8_T-2,8,R_G2,2,2,1,0.6000000000000001,0.10364818572998047,1.3016891479492188
DEU_LocationAUpper-36_8_T-2,9,R_G2,1,1,0,0.4,0.08053874969482422,1.278339147567749
DEU_LocationAUpper-36_8_T-2,16,R_G2,2,2,1,0.6000000000000001,0.11305999755859375,1.4077532291412354
DEU_LocationELower-15_33_T-2,8,R_G2,1,1,0,0.4,0.17050528526306152,1.1325962543487549
DEU_LocationEUpper-23_33_T-2,7,R_G2,1,1,0,0.4,0.12848830223083496,1.0225536823272705
DEU_LocationELower-21_34_T-2,5,R_G2,1,1,0,0.4,0.0951235294342041,0.9579520225524902
DEU_LocationELower-21_34_T-2,6,R_G2,2,1,0,0.4,0.150648832321167,1.0765786170959473
DEU_LocationELower-16_20_T-2,8,R_G2,2,1,0,0.4,0.1370396614074707,1.1989593505859375
DEU_LocationAUpper-11_11_T-2,21,R_G2,2,1,0,0.4,0.1742405891418457,1.5000126361846924
DEU_LocationAUpper-11_11_T-2,24,R_G2,2,4,3,1.0,0.11935067176818848,1.5252625942230225
DEU_LocationALower-37_18_T-2,9,R_G2,1,1,0,0.4,0.12636566162109375,1.3589577674865723
DEU_LocationAUpper-36_38_T-2,17,R_G2,2,1,0,0.4,0.18075156211853027,1.5476171970367432
DEU_LocationALower-12_26_T-2,16,R_G2,1,1,0,0.4,0.13502073287963867,1.406719446182251
DEU_LocationALower-49_35_T-2,16,R_G2,2,1,0,0.4,0.18387389183044434,1.4358723163604736
DEU_LocationALower-49_35_T-2,10,R_G2,2,1,0,0.4,0.16185617446899414,1.3239367008209229
DEU_LocationALower-49_35_T-2,12,R_G2,1,1,0,0.4,0.12156152725219727,1.5440654754638672
DEU_LocationALower-49_35_T-2,13,R_G2,2,2,1,0.6000000000000001,0.11891722679138184,1.374218225479126
DEU_LocationALower-34_17_T-2,10,R_G2,1,1,0,0.4,0.09817886352539062,1.2471542358398438
DEU_LocationALower-25_56_T-2,6,R_G2,1,1,0,0.4,0.05539560317993164,1.2253048419952393
DEU_LocationALower-25_56_T-2,8,R_G2,2,2,1,0.6000000000000001,0.10735893249511719,1.511678695678711
DEU_LocationALower-25_56_T-2,17,R_G2,2,1,0,0.4,0.12791776657104492,1.5026845932006836
DEU_LocationELower-18_22_T-2,5,R_G2,1,1,0,0.4,0.09689092636108398,1.2430782318115234
DEU_LocationALower-49_30_T-2,14,R_G2,1,1,0,0.4,0.14997076988220215,1.3179876804351807
DEU_LocationALower-49_30_T-2,16,R_G2,2,1,0,0.4,0.14425396919250488,1.325443983078003
DEU_LocationALower-50_26_T-2,9,R_G2,1,1,0,0.4,0.11045408248901367,1.293104887008667
DEU_LocationALower-50_26_T-2,13,R_G2,2,2,1,0.6000000000000001,0.12274646759033203,1.4385461807250977
DEU_LocationALower-35_29_T-2,10,R_G2,1,4,3,1.2000000000000002,0.030245304107666016,1.1151626110076904
DEU_LocationALower-39_3_T-2,9,R_G2,2,1,0,0.4,0.12706804275512695,1.109206199645996
DEU_LocationALower-27_6_T-2,22,R_G2,2,1,0,0.4,0.1294870376586914,1.5698966979980469
DEU_LocationELower-22_5_T-2,6,R_G2,2,1,0,0.4,0.12382864952087402,1.0136504173278809
DEU_LocationALower-35_39_T-2,14,R_G2,1,1,0,0.4,0.13539838790893555,1.376129388809204
DEU_LocationBUpper-2_35_T-2,8,R_G2,2,1,0,0.4,0.12891769409179688,0.9872651100158691
DEU_LocationALower-53_23_T-2,8,R_G2,1,1,0,0.4,0.07883524894714355,1.1238892078399658
DEU_LocationAUpper-36_9_T-2,11,R_G2,2,1,0,0.4,0.11808586120605469,1.4780817031860352
DEU_LocationAUpper-36_9_T-2,16,R_G2,2,2,1,0.6000000000000001,0.11116313934326172,1.4578742980957031
DEU_LocationAUpper-36_9_T-2,20,R_G2,2,1,0,0.4,0.12836003303527832,1.4965870380401611
DEU_LocationAUpper-36_9_T-2,13,R_G2,2,5,4,1.2000000000000002,0.10493850708007812,1.3429887294769287
DEU_LocationAUpper-36_37_T-2,10,R_G2,2,1,0,0.4,0.0830080509185791,1.2293870449066162
DEU_LocationAUpper-36_28_T-2,7,R_G2,1,1,0,0.4,0.041295766830444336,1.1230404376983643
