scenario_id,ego_id,rule_STL
DEU_LocationAUpper-57_2_T-1,11,R_G3
DEU_LocationAUpper-56_15_T-1,7,R_G3
DEU_LocationAUpper-56_15_T-1,9,R_G3
DEU_LocationAUpper-56_15_T-1,11,R_G3
DEU_LocationALower-36_19_T-1,18,R_G3
DEU_LocationAUpper-27_56_T-1,23,R_G3
DEU_LocationAUpper-28_37_T-1,23,R_G3
DEU_LocationAUpper-11_27_T-1,37,R_G3
DEU_LocationAUpper-40_41_T-1,12,R_G3
DEU_LocationAUpper-40_41_T-1,13,R_G3
DEU_LocationALower-34_6_T-1,23,R_G3
DEU_LocationALower-39_39_T-1,11,R_G3
DEU_LocationAUpper-54_53_T-1,15,R_G3
DEU_LocationAUpper-41_26_T-1,13,R_G3
DEU_LocationALower-32_5_T-1,11,R_G3
DEU_LocationALower-32_5_T-1,13,R_G3
DEU_LocationALower-32_5_T-1,17,R_G3
DEU_LocationAUpper-47_31_T-1,15,R_G3
DEU_LocationAUpper-47_31_T-1,24,R_G3
DEU_LocationAUpper-51_16_T-1,13,R_G3
DEU_LocationAUpper-51_16_T-1,15,R_G3
DEU_LocationAUpper-51_23_T-1,11,R_G3
DEU_LocationAUpper-26_55_T-1,17,R_G3
DEU_LocationALower-51_13_T-1,13,R_G3
DEU_LocationALower-51_13_T-1,19,R_G3
DEU_LocationALower-41_37_T-1,9,R_G3
DEU_LocationALower-41_37_T-1,12,R_G3
DEU_LocationAUpper-51_28_T-1,18,R_G3
DEU_LocationALower-30_16_T-1,27,R_G3
DEU_LocationAUpper-39_58_T-1,11,R_G3
DEU_LocationAUpper-56_23_T-1,12,R_G3
DEU_LocationALower-27_18_T-1,23,R_G3
DEU_LocationALower-37_33_T-1,13,R_G3
DEU_LocationAUpper-41_29_T-1,16,R_G3
DEU_LocationEUpper-24_19_T-1,17,R_G3
DEU_LocationAUpper-50_38_T-1,6,R_G3
DEU_LocationALower-45_9_T-1,12,R_G3
DEU_LocationALower-45_9_T-1,14,R_G3
DEU_LocationAUpper-48_36_T-1,19,R_G3
DEU_LocationAUpper-45_19_T-1,8,R_G3
DEU_LocationAUpper-45_19_T-1,13,R_G3
DEU_LocationAUpper-45_19_T-1,14,R_G3
DEU_LocationALower-31_24_T-1,10,R_G3
DEU_LocationALower-34_25_T-1,17,R_G3
DEU_LocationAUpper-28_3_T-1,25,R_G3
DEU_LocationALower-36_56_T-1,17,R_G3
DEU_LocationFLower-58_5_T-1,16,R_G3
DEU_LocationFLower-58_5_T-1,17,R_G3
DEU_LocationCLower-6_57_T-1,9,R_G3
DEU_LocationALower-47_50_T-1,24,R_G3
DEU_LocationALower-47_50_T-1,25,R_G3
DEU_LocationAUpper-48_20_T-1,20,R_G3
DEU_LocationALower-35_29_T-1,10,R_G3
DEU_LocationALower-36_30_T-1,6,R_G3
DEU_LocationALower-36_30_T-1,10,R_G3
DEU_LocationALower-38_27_T-1,20,R_G3
DEU_LocationAUpper-44_55_T-1,21,R_G3
DEU_LocationAUpper-40_40_T-1,7,R_G3
DEU_LocationEUpper-22_2_T-1,6,R_G3
DEU_LocationALower-43_41_T-1,16,R_G3
DEU_LocationALower-50_7_T-1,11,R_G3
DEU_LocationAUpper-57_42_T-1,8,R_G3
DEU_LocationALower-28_32_T-1,16,R_G3
DEU_LocationALower-55_37_T-1,21,R_G3
DEU_LocationALower-55_37_T-1,24,R_G3
