scenario_id,ego_id,rule
DEU_LocationELower-24_14_T-1,7,R_G1
DEU_LocationALower-39_60_T-1,13,R_G1
DEU_LocationELower-19_43_T-1,5,R_G1
DEU_LocationFUpper-58_19_T-1,11,R_G1
DEU_LocationFUpper-58_19_T-1,12,R_G1
DEU_LocationAUpper-37_22_T-1,12,R_G1
DEU_LocationALower-13_5_T-1,18,R_G1
DEU_LocationDLower-9_30_T-1,6,R_G1
DEU_LocationFLower-59_18_T-1,8,R_G1
DEU_LocationFUpper-58_9_T-1,7,R_G1
DEU_LocationALower-12_34_T-1,11,R_G1
DEU_LocationALower-12_34_T-1,12,R_G1
DEU_LocationALower-12_34_T-1,14,R_G1
DEU_LocationALower-36_3_T-1,11,R_G1
DEU_LocationCUpper-6_22_T-1,8,R_G1
DEU_LocationALower-43_18_T-1,15,R_G1
DEU_LocationALower-47_20_T-1,18,R_G1
DEU_LocationBLower-3_49_T-1,5,R_G1
DEU_LocationBLower-3_49_T-1,11,R_G1
DEU_LocationALower-57_45_T-1,14,R_G1
DEU_LocationFLower-60_11_T-1,16,R_G1
DEU_LocationAUpper-36_4_T-1,15,R_G1
DEU_LocationCLower-5_2_T-1,13,R_G1
DEU_LocationCLower-5_2_T-1,15,R_G1
DEU_LocationCLower-5_2_T-1,16,R_G1
DEU_LocationALower-27_38_T-1,12,R_G1
DEU_LocationALower-27_38_T-1,17,R_G1
DEU_LocationDLower-10_14_T-1,10,R_G1
DEU_LocationDLower-10_14_T-1,11,R_G1
DEU_LocationAUpper-43_31_T-1,10,R_G1
DEU_LocationAUpper-43_31_T-1,13,R_G1
DEU_LocationAUpper-39_11_T-1,10,R_G1
DEU_LocationAUpper-42_23_T-1,8,R_G1
DEU_LocationALower-11_16_T-1,15,R_G1
DEU_LocationALower-11_16_T-1,16,R_G1
DEU_LocationALower-11_16_T-1,17,R_G1
DEU_LocationALower-11_16_T-1,20,R_G1
DEU_LocationALower-11_16_T-1,24,R_G1
DEU_LocationALower-11_16_T-1,27,R_G1
DEU_LocationALower-11_16_T-1,28,R_G1
DEU_LocationALower-11_16_T-1,30,R_G1
DEU_LocationAUpper-33_4_T-1,7,R_G1
DEU_LocationAUpper-43_27_T-1,13,R_G1
DEU_LocationAUpper-43_27_T-1,16,R_G1
DEU_LocationAUpper-53_27_T-1,12,R_G1
DEU_LocationALower-39_59_T-1,14,R_G1
DEU_LocationALower-39_59_T-1,16,R_G1
DEU_LocationAUpper-35_6_T-1,7,R_G1
DEU_LocationAUpper-49_35_T-1,14,R_G1
DEU_LocationAUpper-49_35_T-1,16,R_G1
DEU_LocationAUpper-36_49_T-1,10,R_G1
DEU_LocationAUpper-36_49_T-1,11,R_G1
DEU_LocationALower-52_45_T-1,17,R_G1
DEU_LocationAUpper-52_39_T-1,21,R_G1
DEU_LocationAUpper-56_32_T-1,11,R_G1
DEU_LocationAUpper-56_28_T-1,9,R_G1
DEU_LocationAUpper-56_28_T-1,13,R_G1
DEU_LocationALower-38_30_T-1,20,R_G1
DEU_LocationALower-54_49_T-1,10,R_G1
DEU_LocationALower-54_49_T-1,11,R_G1
