scenario_id,scenario_path,ego_id,rule,repairer_type,planner,constraint_mode,sat_solver_mode,extend_acceleration_reference_path,attempted_smt_configurations,success,iterations,successful_repair_mode,deceleration_iterations,acceleration_iterations,tv,tc,updated_tv,domain_dict_size,predicate_value_estimate_time,vp_planning_time,constraint_extract_time,sat_solve_time,domain_dict_time,sat_time,clcs_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,tc_search_time,reach_set_time,optimization_time,core_total_time,wall_time,error
DEU_AachenBendplatz-1_155320_T-5339,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_155320_T-5339.xml,10335,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,4,0,inf,0,0.0,0.0041165351867675,0.0013027191162109,4.7206878662109375e-05,0.0,4.7206878662109375e-05,0.0014188289642333,0.0009071826934814,0.0003955364227294,0.0035006999969482,0.0006158351898193,0.0,0.0,0.0,0.0054664611816406,0.8653688430786133,
DEU_AachenBendplatz-1_75140_T-5159,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_75140_T-5159.xml,10203,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,2,0,inf,0,0.0,0.0044543743133544,0.0007028579711914,4.553794860839844e-05,0.0,4.553794860839844e-05,0.0009627342224121,0.0002980232238769,0.0004048347473144,0.0040936470031738,0.0003607273101806,0.0,0.0,0.0,0.0052027702331542,0.8763582706451416,
DEU_AachenBendplatz-1_171600_T-1619,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_171600_T-1619.xml,10125,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,2,0,inf,0,0.0,0.0035555362701416,0.0009586811065673,6.103515625e-05,0.0,6.103515625e-05,0.0013306140899658,0.0005919933319091,0.0003666877746582,0.0032281875610351,0.0003273487091064,0.0,0.0,0.0,0.0045752525329589,0.8764111995697021,
DEU_AachenBendplatz-1_124700_T-4719,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_124700_T-4719.xml,10320,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,2,0,inf,0,0.0,0.0038530826568603,0.001143455505371,4.887580871582031e-05,0.0,4.887580871582031e-05,0.0014107227325439,0.0007455348968505,0.0003979206085205,0.0035834312438964,0.0002696514129638,0.0,0.0,0.0,0.0050454139709472,0.8766191005706787,
DEU_AachenBendplatz-1_12700_T-719,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_12700_T-719.xml,10035,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,4,0,inf,0,0.0,0.0064084529876708,0.0023784637451171,4.887580871582031e-05,0.0,4.887580871582031e-05,0.0022194385528564,0.0019912719726562,0.0003871917724609,0.0057756900787353,0.0006327629089355,0.0,0.0,0.0,0.0088357925415039,0.8616712093353271,
DEU_AachenBendplatz-1_162800_T-2819,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_162800_T-2819.xml,10214,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,4,0,inf,0,0.0,0.0042774677276611,0.0020596981048583,5.1021575927734375e-05,0.0,5.1021575927734375e-05,0.0020394325256347,0.0016090869903564,0.0004506111145019,0.0040016174316406,0.0002758502960205,0.0,0.0,0.0,0.0063881874084472,0.891566276550293,
DEU_AachenBendplatz-1_134900_T-4919,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_134900_T-4919.xml,10351,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,5,0,inf,0,0.0,0.0035076141357421,0.0011613368988037,4.792213439941406e-05,0.0,4.792213439941406e-05,0.0016071796417236,0.0008819103240966,0.000279426574707,0.0032515525817871,0.000256061553955,0.0,0.0,0.0,0.0047168731689453,0.9709908962249756,
DEU_AachenBendplatz-1_172260_T-2279,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_172260_T-2279.xml,10176,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,4,0,inf,0,0.0,0.0043833255767822,0.0019922256469726,5.0067901611328125e-05,0.0,5.0067901611328125e-05,0.0020947456359863,0.0015227794647216,0.0004694461822509,0.0041244029998779,0.0002589225769042,0.0,0.0,0.0,0.0064256191253662,1.1437828540802002,
DEU_AachenBendplatz-1_123940_T-3959,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_123940_T-3959.xml,10258,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,4,0,inf,0,0.0,0.0050673484802246,0.0018284320831298,6.079673767089844e-05,0.0,6.079673767089844e-05,0.0021071434020996,0.0014793872833251,0.0003490447998046,0.0047764778137207,0.0002908706665039,0.0,0.0,0.0,0.0069565773010253,1.0945000648498535,
DEU_AachenBendplatz-1_85160_T-5179,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_85160_T-5179.xml,10405,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,5,0,inf,0,0.0,0.0044517517089843,0.0011637210845947,4.3392181396484375e-05,0.0,4.3392181396484375e-05,0.0014569759368896,0.0007791519165039,0.0003845691680908,0.0040245056152343,0.00042724609375,0.0,0.0,0.0,0.0056588649749755,0.8736722469329834,
DEU_AachenBendplatz-1_141540_T-1559,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_141540_T-1559.xml,10095,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,5,0,inf,0,0.0,0.0037636756896972,0.0013549327850341,4.76837158203125e-05,0.0,4.76837158203125e-05,0.0015828609466552,0.001039981842041,0.0003149509429931,0.0034890174865722,0.000274658203125,0.0,0.0,0.0,0.0051662921905517,0.8613104820251465,
DEU_AachenBendplatz-1_91260_T-1279,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_91260_T-1279.xml,10075,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,5,0,inf,0,0.0,0.0034930706024169,0.0010435581207275,4.6253204345703125e-05,0.0,4.6253204345703125e-05,0.0014460086822509,0.0007643699645996,0.0002791881561279,0.0032324790954589,0.000260591506958,0.0,0.0,0.0,0.0045828819274902,0.8875381946563721,
DEU_AachenBendplatz-1_91280_T-1299,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_91280_T-1299.xml,10079,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,5,0,inf,0,0.0,0.003788948059082,0.0013725757598876,5.245208740234375e-05,0.0,5.245208740234375e-05,0.0017352104187011,0.0010631084442138,0.0003094673156738,0.0035362243652343,0.0002527236938476,0.0,0.0,0.0,0.005213975906372,0.9416916370391846,
DEU_AachenBendplatz-1_85140_T-5159,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_85140_T-5159.xml,10407,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,5,0,inf,0,0.0,0.0056908130645751,0.0019280910491943,4.601478576660156e-05,0.0,4.601478576660156e-05,0.0019991397857666,0.0015769004821777,0.0003511905670166,0.0050301551818847,0.0006606578826904,0.0,0.0,0.0,0.0076649188995361,0.8610110282897949,
DEU_AachenBendplatz-1_13540_T-559,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_13540_T-559.xml,10040,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,5,0,inf,0,0.0,0.0040569305419921,0.0015749931335449,4.410743713378906e-05,0.0,4.410743713378906e-05,0.0017850399017333,0.001258373260498,0.0003166198730468,0.0037729740142822,0.0002839565277099,0.0,0.0,0.0,0.0056760311126708,0.8935394287109375,
DEU_AachenBendplatz-1_154520_T-4539,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_154520_T-4539.xml,10285,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,5,0,inf,0,0.0,0.0047552585601806,0.0018146038055419,4.935264587402344e-05,0.0,4.935264587402344e-05,0.0018925666809082,0.0014619827270507,0.0003526210784912,0.004462718963623,0.0002925395965576,0.0,0.0,0.0,0.0066192150115966,0.8660485744476318,
DEU_AachenBendplatz-1_93520_T-3539,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_93520_T-3539.xml,10208,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,6,0,inf,0,0.0,0.0052814483642578,0.002199649810791,4.911422729492188e-05,0.0,4.911422729492188e-05,0.002152681350708,0.0017330646514892,0.0004665851593017,0.0046563148498535,0.0006251335144042,0.0,0.0,0.0,0.0075302124023437,0.8509871959686279,
DEU_AachenBendplatz-1_143020_T-3039,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_143020_T-3039.xml,10228,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,4,0,inf,0,0.0,0.0037815570831298,0.0011358261108398,4.839897155761719e-05,0.0,4.839897155761719e-05,0.0014967918395996,0.0007660388946533,0.0003697872161865,0.0035285949707031,0.0002529621124267,0.0,0.0,0.0,0.0049657821655273,0.8342306613922119,
DEU_AachenBendplatz-1_132600_T-2619,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_132600_T-2619.xml,10185,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,7,0,inf,0,0.0,0.0037834644317626,0.0012648105621337,4.744529724121094e-05,0.0,4.744529724121094e-05,0.0016396045684814,0.0009646415710449,0.0003001689910888,0.0035111904144287,0.0002722740173339,0.0,0.0,0.0,0.0050957202911376,1.1185956001281738,
DEU_AachenBendplatz-1_11500_T-519,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_11500_T-519.xml,10043,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,6,0,inf,0,0.0,0.0035614967346191,0.0008833408355712,4.744529724121094e-05,0.0,4.744529724121094e-05,0.0012884140014648,0.0006163120269775,0.0002670288085937,0.0033085346221923,0.0002529621124267,0.0,0.0,0.0,0.0044922828674316,0.8415360450744629,
DEU_AachenBendplatz-1_124040_T-4059,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_124040_T-4059.xml,10264,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,6,0,inf,0,0.0,0.0036675930023193,0.0013060569763183,4.506111145019531e-05,0.0,4.506111145019531e-05,0.0016026496887207,0.0010044574737548,0.0003015995025634,0.0033979415893554,0.0002696514129638,0.0,0.0,0.0,0.0050187110900878,0.8493471145629883,
DEU_AachenBendplatz-1_113780_T-3799,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_113780_T-3799.xml,10256,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,7,0,inf,0,0.0,0.0038387775421142,0.0015251636505126,4.220008850097656e-05,0.0,4.220008850097656e-05,0.0016815662384033,0.0011234283447265,0.0004017353057861,0.0035696029663085,0.0002691745758056,0.0,0.0,0.0,0.0054061412811279,0.8588743209838867,
DEU_AachenBendplatz-1_71760_T-1779,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_71760_T-1779.xml,10074,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,4,0,inf,0,0.0,0.0034630298614501,0.0010309219360351,5.1021575927734375e-05,0.0,5.1021575927734375e-05,0.0013723373413085,0.0006520748138427,0.0003788471221923,0.0031986236572265,0.0002644062042236,0.0,0.0,0.0,0.004544973373413,0.8177437782287598,
DEU_AachenBendplatz-1_73920_T-3939,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_73920_T-3939.xml,10153,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,6,0,inf,0,0.0,0.0056073665618896,0.0021548271179199,4.911422729492188e-05,0.0,4.911422729492188e-05,0.0020654201507568,0.0016906261444091,0.0004642009735107,0.0050392150878906,0.000568151473999,0.0,0.0,0.0,0.0078113079071044,0.8278560638427734,
DEU_AachenBendplatz-1_161380_T-1399,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_161380_T-1399.xml,10106,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,3,0,inf,0,0.0,0.0032236576080322,0.0008327960968017,4.38690185546875e-05,0.0,4.38690185546875e-05,0.001061201095581,0.000455617904663,0.0003771781921386,0.0027282238006591,0.000495433807373,0.0,0.0,0.0,0.0041003227233886,0.9144611358642578,
DEU_AachenBendplatz-1_10700_T-719,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_10700_T-719.xml,10051,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,7,0,inf,0,0.0,0.0048937797546386,0.0021696090698242,4.744529724121094e-05,0.0,4.744529724121094e-05,0.0020692348480224,0.0017948150634765,0.0003747940063476,0.0045862197875976,0.000307559967041,0.0,0.0,0.0,0.0071108341217041,0.846036434173584,
DEU_AachenBendplatz-1_83540_T-3559,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_83540_T-3559.xml,10269,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,13,0,inf,0,0.0,0.003127098083496,0.0006065368652343,4.7206878662109375e-05,0.0,4.7206878662109375e-05,0.0010831356048583,0.0003812313079833,0.0002253055572509,0.0028994083404541,0.0002276897430419,0.0,0.0,0.0,0.0037808418273925,0.8546667098999023,
DEU_AachenBendplatz-1_113760_T-3779,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_113760_T-3779.xml,10254,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,8,0,inf,0,0.0,0.0037441253662109,0.0011441707611083,4.696846008300781e-05,0.0,4.696846008300781e-05,0.0014796257019042,0.0008578300476074,0.0002863407135009,0.0034694671630859,0.000274658203125,0.0,0.0,0.0,0.0049352645874023,0.843332052230835,
DEU_AachenBendplatz-1_93760_T-3779,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_93760_T-3779.xml,10229,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,6,0,inf,0,0.0,0.0037682056427001,0.0012733936309814,4.6253204345703125e-05,0.0,4.6253204345703125e-05,0.0015695095062255,0.0008883476257324,0.000385046005249,0.0035030841827392,0.0002651214599609,0.0,0.0,0.0,0.0050878524780273,0.8346431255340576,
DEU_AachenBendplatz-1_141960_T-1979,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_141960_T-1979.xml,10140,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,8,0,inf,0,0.0,0.005202293395996,0.0027961730957031,4.601478576660156e-05,0.0,4.601478576660156e-05,0.0024640560150146,0.0023877620697021,0.0004084110260009,0.0048933029174804,0.0003089904785156,0.0,0.0,0.0,0.0080444812774658,0.8767008781433105,
DEU_AachenBendplatz-1_81000_T-1019,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_81000_T-1019.xml,10078,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,9,0,inf,0,0.0,0.003718614578247,0.0009913444519042,4.863739013671875e-05,0.0,4.863739013671875e-05,0.0013806819915771,0.0007169246673583,0.0002744197845458,0.0034565925598144,0.0002620220184326,0.0,0.0,0.0,0.004758596420288,0.8446662425994873,
DEU_AachenBendplatz-1_122260_T-2279,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_122260_T-2279.xml,10128,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,11,0,inf,0,0.0,0.0033988952636718,0.0009157657623291,5.292892456054688e-05,0.0,5.292892456054688e-05,0.0013785362243652,0.000655174255371,0.000260591506958,0.0031244754791259,0.0002744197845458,0.0,0.0,0.0,0.0043675899505615,0.910111665725708,
DEU_AachenBendplatz-1_163720_T-3739,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_163720_T-3739.xml,10270,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,8,0,inf,0,0.0,0.0038316249847412,0.0010981559753417,4.482269287109375e-05,0.0,4.482269287109375e-05,0.0014374256134033,0.0008158683776855,0.0002822875976562,0.0035693645477294,0.0002622604370117,0.0,0.0,0.0,0.0049746036529541,0.8870244026184082,
DEU_AachenBendplatz-1_13840_T-859,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_13840_T-859.xml,10063,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,8,0,inf,0,0.0,0.0063502788543701,0.0024051666259765,4.76837158203125e-05,0.0,4.76837158203125e-05,0.0022337436676025,0.001946210861206,0.0004589557647705,0.005728006362915,0.000622272491455,0.0,0.0,0.0,0.0088031291961669,0.8322908878326416,
DEU_AachenBendplatz-1_81940_T-1959,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_81940_T-1959.xml,10157,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,8,0,inf,0,0.0,0.0042366981506347,0.0017697811126708,6.270408630371094e-05,0.0,6.270408630371094e-05,0.0022282600402832,0.001441478729248,0.0003283023834228,0.0039911270141601,0.0002455711364746,0.0,0.0,0.0,0.0060691833496093,0.9964334964752196,
DEU_AachenBendplatz-1_171180_T-1199,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_171180_T-1199.xml,10090,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,8,0,inf,0,0.0,0.0041108131408691,0.0020155906677246,4.792213439941406e-05,0.0,4.792213439941406e-05,0.0020241737365722,0.0015723705291748,0.0004432201385498,0.0038578510284423,0.0002529621124267,0.0,0.0,0.0,0.0061743259429931,1.50300931930542,
DEU_AachenBendplatz-1_171380_T-1399,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_171380_T-1399.xml,10107,R_IN1,vp,2,1,dpll,False,,True,1,deceleration,1,0,8,0,inf,0,0.0,0.0039210319519042,0.0009126663208007,5.054473876953125e-05,0.0,5.054473876953125e-05,0.0011610984802246,0.0005261898040771,0.0003864765167236,0.0035176277160644,0.0004034042358398,0.0,0.0,0.0,0.0048842430114746,0.9159486293792723,
