scenario_id,scenario_path,ego_id,rule,repairer_type,planner,sat_solver_mode,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,compliance_check_time,core_total_time,wall_time,error
DEU_AachenFrankenburg-1_201920_T-1939_in3_safe_variant_00,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_201920_T-1939_in3_safe_variant_00.xml,10185,R_IN3_hand_draft,vp,2,domain_dpll,True,1,3,0,1,0,6.91413879394531E-06,1.40666961669922E-05,3.26633453369141E-05,0.000279664993286133,0.00197291374206543,0.000252008438110352,0,0.00255823135375977,0.970169067382813,
DEU_AachenFrankenburg-1_201920_T-1939_in3_safe_variant_00,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_201920_T-1939_in3_safe_variant_00.xml,10185,R_IN3_hand_draft,smt,2,dpll,False,42,3,-inf,,0,0,0.000905275344848633,0,0,0,0,0,0.130493879318237,16.7675437927246,repair returned None
DEU_AachenFrankenburg-1_201920_T-1939_in3_safe_variant_01,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_201920_T-1939_in3_safe_variant_01.xml,10185,R_IN3_hand_draft,vp,2,domain_dpll,True,1,3,0,1,0,6.43730163574219E-06,1.35898590087891E-05,3.09944152832031E-05,0.000252485275268555,0.00235986709594727,0.00023341178894043,0,0.00289678573608398,0.96986722946167,
DEU_AachenFrankenburg-1_201920_T-1939_in3_safe_variant_01,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_201920_T-1939_in3_safe_variant_01.xml,10185,R_IN3_hand_draft,smt,2,dpll,False,43,3,-inf,,0,0,0.000930070877075195,0,0,0,0,0,0.132845878601074,16.362580537796,repair returned None
DEU_AachenFrankenburg-1_212980_T-2999_in3_safe_variant_02,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_212980_T-2999_in3_safe_variant_02.xml,10277,R_IN3_hand_draft,vp,2,domain_dpll,True,1,6,0,inf,0,6.19888305664063E-06,1.43051147460938E-05,0.00225448608398438,0.000269174575805664,0.00205397605895996,0.000567436218261719,0,0.00516557693481445,1.04271960258484,
DEU_AachenFrankenburg-1_212980_T-2999_in3_safe_variant_02,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_212980_T-2999_in3_safe_variant_02.xml,10277,R_IN3_hand_draft,smt,2,dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.523441553115845,ValueError: x and/or y coordinate outside of projection domain
DEU_AachenFrankenburg-1_212980_T-2999_in3_safe_variant_03,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_212980_T-2999_in3_safe_variant_03.xml,10277,R_IN3_hand_draft,vp,2,domain_dpll,True,1,6,0,inf,0,5.96046447753906E-06,1.47819519042969E-05,0.00218772888183594,0.000271320343017578,0.00162887573242188,0.000219106674194336,0,0.00432777404785156,1.0259907245636,
DEU_AachenFrankenburg-1_212980_T-2999_in3_safe_variant_03,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_212980_T-2999_in3_safe_variant_03.xml,10277,R_IN3_hand_draft,smt,2,dpll,True,1,6,3,inf,0,0,1.83582305908203E-05,0,0,0,0,0,0.251387119293213,16.8295352458954,
DEU_AachenFrankenburg-1_214320_T-4339_in3_safe_variant_04,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_214320_T-4339_in3_safe_variant_04.xml,10381,R_IN3_hand_draft,vp,2,domain_dpll,True,1,4,0,1.2,0,6.43730163574219E-06,1.21593475341797E-05,3.12328338623047E-05,0.000242710113525391,0.00175571441650391,0.00023341178894043,0,0.00228166580200195,1.02143239974976,
DEU_AachenFrankenburg-1_214320_T-4339_in3_safe_variant_04,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_214320_T-4339_in3_safe_variant_04.xml,10381,R_IN3_hand_draft,smt,1,dpll,True,2,4,2,1.2,0,0,3.17096710205078E-05,0,0,0,0,0,0.351205587387085,17.0015993118286,
