scenario_id,scenario_path,ego_id,rule,repairer_type,planner,sat_solver_mode,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,compliance_check_time,core_total_time,wall_time,error
DEU_AachenFrankenburg-1_201920_T-1939,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_201920_T-1939.xml,10185,R_IN3_hand_draft,vp,2,domain_dpll,True,1,1,0,inf,0,1.31130218505859E-05,2.288818359375E-05,0.00218939781188965,0.000294685363769531,0.00187182426452637,0.000241994857788086,0,0.00463390350341797,1.07050156593323,
DEU_AachenFrankenburg-1_201920_T-1939,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_201920_T-1939.xml,10185,R_IN3_hand_draft,smt,2,dpll,False,46,1,-inf,,0,0,0.00115132331848145,0,0,0,0,0,0.179403305053711,17.9171471595764,repair returned None
DEU_AachenFrankenburg-1_212980_T-2999,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_212980_T-2999.xml,10277,R_IN3_hand_draft,vp,2,domain_dpll,True,1,4,0,inf,0,8.58306884765625E-06,1.76429748535156E-05,0.0024867057800293,0.00029301643371582,0.00201678276062012,0.000258684158325195,0,0.0050814151763916,1.13088178634644,
DEU_AachenFrankenburg-1_212980_T-2999,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_212980_T-2999.xml,10277,R_IN3_hand_draft,smt,2,dpll,True,1,4,1,inf,0,0,2.02655792236328E-05,0,0,0,0,0,0.463743925094605,18.3218243122101,
DEU_AachenFrankenburg-1_214320_T-4339,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_214320_T-4339.xml,10381,R_IN3_hand_draft,vp,2,domain_dpll,True,1,2,0,inf,0,7.86781311035156E-06,2.40802764892578E-05,0.00222682952880859,0.000302314758300781,0.00189948081970215,0.000244855880737305,0,0.00470542907714844,1.16074252128601,
DEU_AachenFrankenburg-1_214320_T-4339,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_214320_T-4339.xml,10381,R_IN3_hand_draft,smt,1,dpll,True,2,2,0,1,0,0,5.86509704589844E-05,0,0,0,0,0,0.451616525650024,18.4557781219482,
DEU_AachenFrankenburg-1_231880_T-1899,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_231880_T-1899.xml,10184,R_IN3_hand_draft,vp,2,domain_dpll,True,1,3,0,inf,0,8.34465026855469E-06,1.88350677490234E-05,0.00156164169311523,0.000304698944091797,0.00255036354064941,0.00109338760375977,0,0.00553727149963379,1.12243103981018,
DEU_AachenFrankenburg-1_231880_T-1899,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_231880_T-1899.xml,10184,R_IN3_hand_draft,smt,1,dpll,True,2,3,1,1,0,0,3.38554382324219E-05,0,0,0,0,0,1.62864661216736,20.1889433860779,
DEU_AachenFrankenburg-1_232220_T-2239,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_232220_T-2239.xml,10218,R_IN3_hand_draft,vp,2,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,4.11967921257019,RecursionError: maximum recursion depth exceeded in comparison
DEU_AachenFrankenburg-1_232220_T-2239,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_232220_T-2239.xml,10218,R_IN3_hand_draft,smt,2,dpll,False,48,1,-inf,,0,0,0.00113344192504883,0,0,0,0,0,0.177448987960815,25.0200300216675,repair returned None
DEU_AachenFrankenburg-1_26540_T-559,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_26540_T-559.xml,10066,R_IN3_hand_draft,vp,2,domain_dpll,True,1,1,0,inf,0,1.21593475341797E-05,3.71932983398438E-05,0.00648641586303711,0.000419139862060547,0.00274419784545898,0.000736713409423828,0,0.0104358196258545,1.36411190032959,
DEU_AachenFrankenburg-1_26540_T-559,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_26540_T-559.xml,10066,R_IN3_hand_draft,smt,2,dpll,False,46,1,-inf,,0,0,0.00113701820373535,0,0,0,0,0,0.247036695480347,25.0935003757477,repair returned None
DEU_AachenFrankenburg-1_266160_T-6179,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_266160_T-6179.xml,10510,R_IN3_hand_draft,vp,2,domain_dpll,True,1,1,0,1.2,0,8.10623168945313E-06,1.74045562744141E-05,0.00173759460449219,0.000350713729858398,0.00197291374206543,0.000280618667602539,0,0.00436735153198242,1.06722331047058,
DEU_AachenFrankenburg-1_266160_T-6179,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_266160_T-6179.xml,10510,R_IN3_hand_draft,smt,2,dpll,False,20,1,-inf,,0,0,0.000432491302490234,0,0,0,0,0,0.0381906032562256,2.42389893531799,repair returned None
DEU_AachenFrankenburg-1_281480_T-1499,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_281480_T-1499.xml,10138,R_IN3_hand_draft,vp,2,domain_dpll,True,1,7,0,1.8,0,6.67572021484375E-06,2.21729278564453E-05,3.69548797607422E-05,0.000279903411865234,0.00175952911376953,0.000245571136474609,0,0.00235080718994141,1.11030769348145,
DEU_AachenFrankenburg-1_281480_T-1499,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_281480_T-1499.xml,10138,R_IN3_hand_draft,smt,1,dpll,True,2,7,4,2,0,0,5.05447387695313E-05,0,0,0,0,0,0.440192937850952,19.0114090442657,
DEU_AachenFrankenburg-1_291080_T-1099,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_291080_T-1099.xml,10131,R_IN3_hand_draft,vp,2,domain_dpll,True,1,4,0,inf,0,6.67572021484375E-06,2.19345092773438E-05,0.00218439102172852,0.000291824340820313,0.00322413444519043,0.000325918197631836,0,0.00605487823486328,1.14301586151123,
