scenario_id,scenario_path,ego_id,rule,repairer_type,planner,constraint_mode,sat_solver_mode,extend_acceleration_reference_path,attempted_smt_configurations,success,iterations,successful_repair_mode,deceleration_iterations,acceleration_iterations,tv,tc,updated_tv,domain_dict_size,predicate_value_estimate_time,vp_planning_time,constraint_extract_time,sat_solve_time,domain_dict_time,sat_time,clcs_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,tc_search_time,reach_set_time,optimization_time,core_total_time,wall_time,error,timing_run_success,timing_run_error,timing_run_updated_tv,timing_run_valid,timing_run_invalid_reason
DEU_AachenBendplatz-1_155320_T-5339,scenarios/experiment_scenarios/ind_2024/DEU_AachenBendplatz-1_155320_T-5339.xml,10335,R_IN1,vp,2,1,domain_dpll,True,,True,1,deceleration,1,0,4,0,inf,6,0.0050737857818603516,0.0052738189697265625,0.0021986961364746094,0.0005333423614501953,0.0050737857818603516,0.0005333423614501953,0.0016956329345703125,0.0012178421020507812,0.0009808540344238281,0.0041615962982177734,0.001112222671508789,0.0,0.0,0.0,0.013079643249511719,0.8000702857971191,,,,,,
DEU_AachenBendplatz-1_155320_T-5339,scenarios/experiment_scenarios/ind_2024/DEU_AachenBendplatz-1_155320_T-5339.xml,10335,R_IN1,vp,2,1,dpll,True,,True,1,deceleration,1,0,4,0,inf,0,0.0020322799682617188,0.004493236541748047,0.0037050247192382812,0.0006105899810791016,0.0020322799682617188,0.0006105899810791016,0.002161741256713867,0.0027523040771484375,0.0009527206420898438,0.0039370059967041016,0.0005562305450439453,0.0,0.0,0.0,0.010841131210327148,0.8845932483673096,,,,,,
DEU_AachenBendplatz-1_155320_T-5339,scenarios/experiment_scenarios/ind_2024/DEU_AachenBendplatz-1_155320_T-5339.xml,10335,R_IN1,smt,1,1,dpll,,p1_c1:ok,True,1,,0,0,4,0,inf,0,0.0,0.0,0.0,0.0,0.0,0.00014339099999460814,0.0,0.0,0.0,0.0,0.0,4.982948303222656e-05,0.0032958984375,0.10634303092956543,0.10983214985009226,1.1885952949523926,,True,,inf,True,
DEU_AachenBendplatz-1_75140_T-5159,scenarios/experiment_scenarios/ind_2024/DEU_AachenBendplatz-1_75140_T-5159.xml,10203,R_IN1,vp,2,1,domain_dpll,True,,True,1,deceleration,1,0,2,0,inf,6,0.0030701160430908203,0.002501249313354492,0.0015397071838378906,0.0005323886871337891,0.0030701160430908203,0.0005323886871337891,0.001010894775390625,0.0006849765777587891,0.0008547306060791016,0.0022661685943603516,0.00023508071899414062,0.0,0.0,0.0,0.007643461227416992,0.6865847110748291,,,,,,
DEU_AachenBendplatz-1_75140_T-5159,scenarios/experiment_scenarios/ind_2024/DEU_AachenBendplatz-1_75140_T-5159.xml,10203,R_IN1,vp,2,1,dpll,True,,True,1,deceleration,1,0,2,0,inf,0,0.0013852119445800781,0.0024118423461914062,0.0017135143280029297,0.0005695819854736328,0.0013852119445800781,0.0005695819854736328,0.0009634494781494141,0.0009529590606689453,0.0007605552673339844,0.0021886825561523438,0.0002231597900390625,0.0,0.0,0.0,0.006080150604248047,0.7039272785186768,,,,,,
DEU_AachenBendplatz-1_75140_T-5159,scenarios/experiment_scenarios/ind_2024/DEU_AachenBendplatz-1_75140_T-5159.xml,10203,R_IN1,smt,1,1,dpll,,p1_c1:fail,False,8,,0,0,2,0,,0,0.0,0.0,0.0,0.0,0.0,0.0016808370000376271,0.0,0.0,0.0,0.0,0.0,0.0003235340118408203,0.004569053649902344,0.5211746692657471,0.5277480939275279,3.003894567489624,repair returned None,False,repair returned None,,True,
DEU_AachenBendplatz-1_171600_T-1619,scenarios/experiment_scenarios/ind_2024/DEU_AachenBendplatz-1_171600_T-1619.xml,10125,R_IN1,vp,2,1,domain_dpll,True,,True,1,deceleration,1,0,2,0,inf,6,0.003780364990234375,0.002920866012573242,0.0018515586853027344,0.0005242824554443359,0.003780364990234375,0.0005242824554443359,0.001527547836303711,0.0010285377502441406,0.0008230209350585938,0.0026979446411132812,0.00022292137145996094,0.0,0.0,0.0,0.009077072143554688,0.7025701999664307,,,,,,
DEU_AachenBendplatz-1_171600_T-1619,scenarios/experiment_scenarios/ind_2024/DEU_AachenBendplatz-1_171600_T-1619.xml,10125,R_IN1,vp,2,1,dpll,True,,True,1,deceleration,1,0,2,0,inf,0,0.0013744831085205078,0.002933979034423828,0.002611875534057617,0.0005600452423095703,0.0013744831085205078,0.0005600452423095703,0.0013442039489746094,0.001772165298461914,0.0008397102355957031,0.0027048587799072266,0.00022912025451660156,0.0,0.0,0.0,0.0074803829193115234,0.7029564380645752,,,,,,
DEU_AachenBendplatz-1_171600_T-1619,scenarios/experiment_scenarios/ind_2024/DEU_AachenBendplatz-1_171600_T-1619.xml,10125,R_IN1,smt,1,1,dpll,,p1_c1:fail,False,8,,0,0,2,0,,0,0.0,0.0,0.0,0.0,0.0,0.001848483000003398,0.0,0.0,0.0,0.0,0.0,0.000286102294921875,0.0043447017669677734,0.5293283462524414,0.5358076333143345,2.9958267211914062,repair returned None,False,repair returned None,,True,
DEU_AachenBendplatz-1_124700_T-4719,scenarios/experiment_scenarios/ind_2024/DEU_AachenBendplatz-1_124700_T-4719.xml,10320,R_IN1,vp,2,1,domain_dpll,True,,True,1,deceleration,1,0,2,0,inf,6,0.003935337066650391,0.0030121803283691406,0.0019235610961914062,0.0005257129669189453,0.003935337066650391,0.0005257129669189453,0.001527547836303711,0.0011065006256103516,0.0008170604705810547,0.0027735233306884766,0.00023865699768066406,0.0,0.0,0.0,0.009396791458129883,0.6775290966033936,,,,,,
