scenario_id,scenario_path,ego_id,rule,repairer_type,planner,constraint_mode,sat_solver_mode,extend_acceleration_reference_path,attempted_smt_configurations,success,iterations,successful_repair_mode,deceleration_iterations,acceleration_iterations,tv,tc,updated_tv,domain_dict_size,predicate_value_estimate_time,vp_planning_time,constraint_extract_time,sat_solve_time,domain_dict_time,sat_time,clcs_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,tc_search_time,reach_set_time,optimization_time,core_total_time,wall_time,error
DEU_AachenFrankenburg-1_201920_T-1939,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_201920_T-1939.xml,10185,R_IN3,vp,2,1,domain_dpll,True,,True,1,deceleration,1,0,1,0,inf,17,0.006384849548339844,0.006358146667480469,0.0013606548309326172,0.0005688667297363281,0.006384849548339844,0.0005688667297363281,0.003073453903198242,0.0001285076141357422,0.001232147216796875,0.006097316741943359,0.0002608299255371094,0.0,0.0,0.0,0.014672517776489258,5.2127463817596436,
DEU_AachenFrankenburg-1_201920_T-1939,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_201920_T-1939.xml,10185,R_IN3,vp,2,1,dpll,True,,True,2,deceleration,2,0,1,0,inf,0,0.0,0.008341312408447266,0.002969980239868164,0.001461029052734375,0.0,0.001461029052734375,0.003172159194946289,0.0007441043853759766,0.0022258758544921875,0.007825374603271484,0.0005159378051757812,0.0,0.0,0.0,0.012772321701049805,5.380879878997803,
DEU_AachenFrankenburg-1_201920_T-1939,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_201920_T-1939.xml,10185,R_IN3,smt,2,1,dpll,,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:fail,False,136,,0,0,1,-inf,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09761428833007812,81.65846133232117,repair returned None
DEU_AachenFrankenburg-1_212980_T-2999,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_212980_T-2999.xml,10277,R_IN3,vp,2,1,domain_dpll,True,,False,0,,0,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.404964208602905,invalid initial tv: inf
DEU_AachenFrankenburg-1_212980_T-2999,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_212980_T-2999.xml,10277,R_IN3,vp,2,1,dpll,True,,False,0,,0,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4119298458099365,invalid initial tv: inf
DEU_AachenFrankenburg-1_212980_T-2999,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_212980_T-2999.xml,10277,R_IN3,smt,2,1,dpll,,skipped_initial_tv_inf,False,0,,0,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,invalid initial tv: inf (skipped from full R_IN3 VP monitor)
DEU_AachenFrankenburg-1_214320_T-4339,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_214320_T-4339.xml,10381,R_IN3,vp,2,1,domain_dpll,True,,True,1,deceleration,1,0,2,0,inf,17,0.00523066520690918,0.006458759307861328,0.0011208057403564453,0.0005354881286621094,0.00523066520690918,0.0005354881286621094,0.002065896987915039,9.655952453613281e-05,0.0010242462158203125,0.005860567092895508,0.0005981922149658203,0.0,0.0,0.0,0.013345718383789062,5.257052898406982,
DEU_AachenFrankenburg-1_214320_T-4339,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_214320_T-4339.xml,10381,R_IN3,vp,2,1,dpll,True,,True,2,deceleration,2,0,2,0,inf,0,0.0,0.006095170974731445,0.0026938915252685547,0.001407623291015625,0.0,0.001407623291015625,0.0020339488983154297,0.0007305145263671875,0.001963376998901367,0.005598306655883789,0.0004968643188476562,0.0,0.0,0.0,0.010196685791015625,5.532751083374023,
DEU_AachenFrankenburg-1_214320_T-4339,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_214320_T-4339.xml,10381,R_IN3,smt,2,1,dpll,,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:fail,False,8,,0,0,2,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5965542793273926,81.237069606781,repaired trajectory remains non-compliant: updated_tv=1.0
DEU_AachenFrankenburg-1_231880_T-1899,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_231880_T-1899.xml,10184,R_IN3,vp,2,1,domain_dpll,True,,True,1,deceleration,1,0,3,0,inf,17,0.004923343658447266,0.003022909164428711,0.0009784698486328125,0.0005478858947753906,0.004923343658447266,0.0005478858947753906,0.0011746883392333984,0.000102996826171875,0.0008754730224609375,0.002786874771118164,0.00023603439331054688,0.0,0.0,0.0,0.00947260856628418,5.114602088928223,
DEU_AachenFrankenburg-1_231880_T-1899,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_231880_T-1899.xml,10184,R_IN3,vp,2,1,dpll,True,,True,1,deceleration,1,0,3,0,inf,0,0.0,0.003636598587036133,0.0013880729675292969,0.00036787986755371094,0.0,0.00036787986755371094,0.0012784004211425781,0.0004649162292480469,0.00092315673828125,0.0033783912658691406,0.0002582073211669922,0.0,0.0,0.0,0.005392551422119141,5.240842580795288,
DEU_AachenFrankenburg-1_231880_T-1899,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_231880_T-1899.xml,10184,R_IN3,smt,2,1,dpll,,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:fail,False,4,,0,0,3,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.218475580215454,84.25178098678589,repaired trajectory remains non-compliant: updated_tv=1.0
DEU_AachenFrankenburg-1_26540_T-559,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_26540_T-559.xml,10066,R_IN3,vp,2,1,domain_dpll,True,,True,1,deceleration,1,0,12,0,inf,17,0.005413055419921875,0.0040912628173828125,0.0011067390441894531,0.0005834102630615234,0.005413055419921875,0.0005834102630615234,0.0021424293518066406,0.00012159347534179688,0.0009851455688476562,0.003838777542114258,0.0002524852752685547,0.0,0.0,0.0,0.011194467544555664,5.337276458740234,
DEU_AachenFrankenburg-1_26540_T-559,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_26540_T-559.xml,10066,R_IN3,vp,2,1,dpll,True,,True,2,deceleration,2,0,12,0,inf,0,0.0,0.005703449249267578,0.002830028533935547,0.0010025501251220703,0.0,0.0010025501251220703,0.0024063587188720703,0.0007278919219970703,0.0021021366119384766,0.005279064178466797,0.00042438507080078125,0.0,0.0,0.0,0.009536027908325195,5.730271816253662,
DEU_AachenFrankenburg-1_26540_T-559,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_26540_T-559.xml,10066,R_IN3,smt,2,1,dpll,,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:fail,False,8,,0,0,12,-inf,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031256675720214844,103.38057541847229,TypeError: unsupported operand type(s) for -: 'NoneType' and 'float'
DEU_AachenFrankenburg-1_281480_T-1499,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_281480_T-1499.xml,10138,R_IN3,vp,2,1,domain_dpll,True,,False,0,,0,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3385186195373535,invalid initial tv: inf
DEU_AachenFrankenburg-1_281480_T-1499,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_281480_T-1499.xml,10138,R_IN3,vp,2,1,dpll,True,,False,0,,0,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.431454420089722,invalid initial tv: inf
DEU_AachenFrankenburg-1_281480_T-1499,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_281480_T-1499.xml,10138,R_IN3,smt,2,1,dpll,,skipped_initial_tv_inf,False,0,,0,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,invalid initial tv: inf (skipped from full R_IN3 VP monitor)
