scenario_id,scenario_path,ego_id,rule,repairer_type,planner,constraint_mode,sat_solver_mode,extend_acceleration_reference_path,attempted_smt_configurations,success,iterations,successful_repair_mode,deceleration_iterations,acceleration_iterations,tv,tc,updated_tv,domain_dict_size,predicate_value_estimate_time,vp_planning_time,constraint_extract_time,sat_solve_time,domain_dict_time,sat_time,clcs_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,tc_search_time,reach_set_time,optimization_time,core_total_time,wall_time,error,timing_run_success,timing_run_error,timing_run_updated_tv,timing_run_valid,timing_run_invalid_reason
DEU_LocationALower-11_102_T-1,,16,R_G3,vp,1,1,domain_dpll,True,,True,1,deceleration,1,0,9,0,inf,0,0.003547191619873047,0.005524396896362305,0.0010960102081298828,6.222724914550781e-05,0.003547191619873047,6.222724914550781e-05,0.002429962158203125,8.058547973632812e-05,0.0010154247283935547,0.005246639251708984,0.0002777576446533203,0.0,0.0,0.0,0.010229825973510742,0.7426736354827881,,,,,,
DEU_LocationALower-11_102_T-1,,16,R_G3,vp,1,1,dpll,True,,True,1,deceleration,1,0,9,0,inf,0,0.0,0.004866123199462891,0.000997781753540039,4.601478576660156e-05,0.0,4.601478576660156e-05,0.0022878646850585938,9.179115295410156e-05,0.0009059906005859375,0.004618167877197266,0.000247955322265625,0.0,0.0,0.0,0.005909919738769531,0.6976032257080078,,,,,,
DEU_LocationALower-11_102_T-1,,16,R_G3,smt,1,2,dpll,,p1_c2:ok,True,1,,,,9,8,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24792981147766113,1.5918755531311035,,True,,inf,True,
DEU_LocationALower-11_110_T-1,,16,R_G3,vp,1,1,domain_dpll,True,,True,1,deceleration,1,0,2,0,inf,0,0.003830432891845703,0.004805326461791992,0.0011472702026367188,6.604194641113281e-05,0.003830432891845703,6.604194641113281e-05,0.002390146255493164,8.821487426757812e-05,0.0010590553283691406,0.004526853561401367,0.000278472900390625,0.0,0.0,0.0,0.009849071502685547,0.7598769664764404,,,,,,
DEU_LocationALower-11_110_T-1,,16,R_G3,vp,1,1,dpll,True,,True,1,deceleration,1,0,2,0,inf,0,0.0,0.004247188568115234,0.0010471343994140625,4.458427429199219e-05,0.0,4.458427429199219e-05,0.0023021697998046875,9.274482727050781e-05,0.0009543895721435547,0.003986835479736328,0.00026035308837890625,0.0,0.0,0.0,0.005338907241821289,0.7230174541473389,,,,,,
DEU_LocationALower-11_110_T-1,,16,R_G3,smt,1,1,dpll,,p1_c1:ok,True,1,,,,2,1,inf,0,0.0,0.0,0.0,0.0,0.0,7.641599950147793e-05,0.0,0.0,0.0,0.0,0.0,0.004221677780151367,0.004691362380981445,0.0985720157623291,0.10756147192296339,1.0613055229187012,,True,,inf,True,
DEU_LocationALower-11_131_T-1,,18,R_G3,vp,1,1,domain_dpll,True,,True,1,deceleration,1,0,19,0,inf,0,0.0035407543182373047,0.004469871520996094,0.0011341571807861328,6.031990051269531e-05,0.0035407543182373047,6.031990051269531e-05,0.002317667007446289,8.559226989746094e-05,0.0010485649108886719,0.004207611083984375,0.00026226043701171875,0.0,0.0,0.0,0.009205102920532227,0.7414898872375488,,,,,,
DEU_LocationALower-11_131_T-1,,18,R_G3,vp,1,1,dpll,True,,True,1,deceleration,1,0,19,0,inf,0,0.0,0.0044438838958740234,0.0010764598846435547,4.744529724121094e-05,0.0,4.744529724121094e-05,0.0025136470794677734,9.5367431640625e-05,0.0009810924530029297,0.004194736480712891,0.0002491474151611328,0.0,0.0,0.0,0.005567789077758789,0.7181086540222168,,,,,,
DEU_LocationALower-11_131_T-1,,18,R_G3,smt,2,2,dpll,,p1_c2:fail;p2_c2:ok,True,1,,,,19,18,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03301774265491986,1.884070873260498,,True,,inf,True,
DEU_LocationALower-11_4_T-1,,18,R_G3,vp,1,1,domain_dpll,True,,True,1,deceleration,1,0,1,0,inf,0,0.003907918930053711,0.004538059234619141,0.0011606216430664062,7.414817810058594e-05,0.003907918930053711,7.414817810058594e-05,0.002471446990966797,9.298324584960938e-05,0.0010676383972167969,0.004264354705810547,0.00027370452880859375,0.0,0.0,0.0,0.009680747985839844,0.7265501022338867,,,,,,
DEU_LocationALower-11_4_T-1,,18,R_G3,vp,1,1,dpll,True,,True,1,deceleration,1,0,1,0,inf,0,0.0,0.004518747329711914,0.0010190010070800781,4.935264587402344e-05,0.0,4.935264587402344e-05,0.002367734909057617,9.632110595703125e-05,0.0009226799011230469,0.004266977310180664,0.00025177001953125,0.0,0.0,0.0,0.005587100982666016,0.70284104347229,,,,,,
DEU_LocationALower-11_4_T-1,,18,R_G3,smt,1,1,dpll,,p1_c1:ok,True,1,,,,1,0,inf,0,0.0,0.0,0.0,0.0,0.0,7.57609996071551e-05,0.0,0.0,0.0,0.0,0.0,0.004144191741943359,0.0029375553131103516,0.10316872596740723,0.11032623402206809,1.0359687805175781,,True,,inf,True,
DEU_LocationALower-11_43_T-1,,17,R_G3,vp,1,1,domain_dpll,True,,True,1,deceleration,1,0,8,0,inf,0,0.0035228729248046875,0.0047626495361328125,0.0011434555053710938,7.104873657226562e-05,0.0035228729248046875,7.104873657226562e-05,0.0024318695068359375,8.368492126464844e-05,0.0010597705841064453,0.004488945007324219,0.00027370452880859375,0.0,0.0,0.0,0.00950002670288086,0.7507178783416748,,,,,,
DEU_LocationALower-11_43_T-1,,17,R_G3,vp,1,1,dpll,True,,True,1,deceleration,1,0,8,0,inf,0,0.0,0.0051593780517578125,0.0010094642639160156,4.482269287109375e-05,0.0,4.482269287109375e-05,0.002341032028198242,9.465217590332031e-05,0.0009148120880126953,0.004873037338256836,0.00028634071350097656,0.0,0.0,0.0,0.006213665008544922,0.7062227725982666,,,,,,
DEU_LocationALower-11_43_T-1,,17,R_G3,smt,1,2,dpll,,p1_c2:ok,True,1,,,,8,7,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26967597007751465,1.799401044845581,,True,,inf,True,
DEU_LocationALower-11_56_T-1,,15,R_G3,vp,1,1,domain_dpll,True,,True,1,deceleration,1,0,1,0,inf,0,0.0037610530853271484,0.004677534103393555,0.0011267662048339844,7.319450378417969e-05,0.0037610530853271484,7.319450378417969e-05,0.0027494430541992188,9.131431579589844e-05,0.001035451889038086,0.004408836364746094,0.00026869773864746094,0.0,0.0,0.0,0.009638547897338867,0.7500021457672119,,,,,,
DEU_LocationALower-11_56_T-1,,15,R_G3,vp,1,1,dpll,True,,True,1,deceleration,1,0,1,0,inf,0,0.0,0.004510164260864258,0.0010271072387695312,4.410743713378906e-05,0.0,4.410743713378906e-05,0.0023767948150634766,0.00010943412780761719,0.0009176731109619141,0.004240989685058594,0.00026917457580566406,0.0,0.0,0.0,0.005581378936767578,0.7066800594329834,,,,,,
DEU_LocationALower-11_56_T-1,,15,R_G3,smt,1,1,dpll,,p1_c1:ok,True,1,,,,1,0,inf,0,0.0,0.0,0.0,0.0,0.0,8.829600119497627e-05,0.0,0.0,0.0,0.0,0.0,0.004237174987792969,0.003237009048461914,0.10346221923828125,0.11102469927573111,1.0448758602142334,,True,,inf,True,
DEU_LocationALower-11_64_T-1,,18,R_G3,vp,1,1,domain_dpll,True,,True,1,deceleration,1,0,15,0,inf,0,0.0036172866821289062,0.004827737808227539,0.0010843276977539062,6.961822509765625e-05,0.0036172866821289062,6.961822509765625e-05,0.0025725364685058594,8.988380432128906e-05,0.0009944438934326172,0.004539966583251953,0.00028777122497558594,0.0,0.0,0.0,0.009598970413208008,0.750969409942627,,,,,,
