scenario_id,ego_id,rule_STL
DEU_LocationALower-13_149_T-1,8,R_G3
DEU_LocationALower-13_149_T-1,25,R_G3

DEU_LocationALower-13_149_T-1,18,R_G3
DEU_LocationALower-13_149_T-1,19,R_G3
DEU_LocationALower-13_149_T-1,20,R_G3
_LocationALower-40_53_T-1,12,R_G3
DEU_LocationALower-40_53_T-1,14,R_G3
DEU_LocationAUpper-54_67_T-1,9,R_G1
DEU_LocationALower-12_148_T-1,11,R_G1
DEU_LocationALower-12_148_T-1,12,R_G3
DEU_LocationAUpper-14_240_T-1,26,R_G1
DEU_LocationDUpper-9_236_T-1,15,R_G1
DEU_LocationALower-29_76_T-1,13,R_G1
DEU_LocationDLower-8_68_T-1,10,R_G3
DEU_LocationAUpper-49_7_T-1,11,R_G3
DEU_LocationAUpper-53_175_T-1,12,R_G1
DEU_LocationFLower-60_75_T-1,13,R_G3
DEU_LocationALower-39_291_T-1,10,R_G3
DEU_LocationALower-39_291_T-1,12,R_G3
DEU_LocationALower-57_8_T-1,14,R_G3
DEU_LocationELower-22_13_T-1,11,R_G1
DEU_LocationAUpper-48_98_T-1,10,R_G1
DEU_LocationAUpper-48_98_T-1,15,R_G1
DEU_LocationALower-56_42_T-1,10,R_G3
DEU_LocationALower-56_42_T-1,11,R_G3
DEU_LocationALower-56_42_T-1,12,R_G1
DEU_LocationALower-25_221_T-1,23,R_G1
DEU_LocationAUpper-38_224_T-1,13,R_G1
DEU_LocationAUpper-38_224_T-1,14,R_G3
DEU_LocationALower-37_265_T-1,13,R_G3
DEU_LocationALower-42_236_T-1,8,R_G3
DEU_LocationALower-50_168_T-1,14,R_G1
DEU_LocationAUpper-28_180_T-1,20,R_G1
DEU_LocationAUpper-27_111_T-1,12,R_G1
DEU_LocationEUpper-18_31_T-1,4,R_G1
DEU_LocationALower-34_77_T-1,10,R_G1
DEU_LocationALower-34_77_T-1,15,R_G1
DEU_LocationALower-34_77_T-1,16,R_G1
DEU_LocationALower-48_215_T-1,10,R_G3
DEU_LocationALower-48_215_T-1,15,R_G3
DEU_LocationALower-51_118_T-1,8,R_G3
DEU_LocationALower-51_118_T-1,9,R_G3
DEU_LocationALower-51_118_T-1,12,R_G3
DEU_LocationCUpper-4_119_T-1,7,R_G3
DEU_LocationAUpper-50_161_T-1,7,R_G3
DEU_LocationALower-56_74_T-1,13,R_G3
DEU_LocationFUpper-59_41_T-1,13,R_G1
DEU_LocationCLower-5_239_T-1,6,R_G3
DEU_LocationAUpper-32_19_T-1,11,R_G1
DEU_LocationBUpper-3_178_T-1,7,R_G1
DEU_LocationALower-41_265_T-1,14,R_G3
DEU_LocationAUpper-54_198_T-1,10,R_G1
DEU_LocationBUpper-3_194_T-1,7,R_G1
DEU_LocationBUpper-3_194_T-1,11,R_G1
DEU_LocationALower-25_93_T-1,15,R_G1
DEU_LocationAUpper-36_84_T-1,22,R_G1
DEU_LocationALower-27_148_T-1,12,R_G3
DEU_LocationALower-14_254_T-1,5,R_G3
DEU_LocationALower-14_254_T-1,6,R_G3
DEU_LocationALower-14_254_T-1,11,R_G3
DEU_LocationALower-14_254_T-1,17,R_G3
DEU_LocationELower-23_62_T-1,5,R_G1
DEU_LocationAUpper-33_46_T-1,18,R_G1
DEU_LocationALower-42_158_T-1,13,R_G3
DEU_LocationAUpper-37_185_T-1,17,R_G1
DEU_LocationAUpper-37_185_T-1,20,R_G3
DEU_LocationALower-29_266_T-1,12,R_G1
DEU_LocationALower-29_266_T-1,23,R_G1
DEU_LocationALower-43_202_T-1,12,R_G3
DEU_LocationALower-43_202_T-1,13,R_G3
DEU_LocationALower-43_202_T-1,16,R_G3
DEU_LocationALower-43_202_T-1,17,R_G3
DEU_LocationALower-43_202_T-1,18,R_G3
DEU_LocationALower-25_87_T-1,12,R_G1
DEU_LocationALower-25_87_T-1,17,R_G3
DEU_LocationALower-43_122_T-1,11,R_G3
DEU_LocationALower-43_122_T-1,14,R_G3
DEU_LocationALower-43_122_T-1,16,R_G3
DEU_LocationALower-43_122_T-1,17,R_G3
DEU_LocationFUpper-60_211_T-1,9,R_G1
DEU_LocationELower-18_22_T-1,14,R_G1
DEU_LocationDLower-8_154_T-1,11,R_G1,R_G3
DEU_LocationALower-26_189_T-1,19,R_G1
DEU_LocationALower-25_60_T-1,17,R_G3
DEU_LocationALower-25_60_T-1,22,R_G1
DEU_LocationALower-45_11_T-1,10,R_G3
DEU_LocationALower-45_11_T-1,18,R_G3
DEU_LocationAUpper-55_79_T-1,13,R_G1
DEU_LocationALower-46_257_T-1,14,R_G1
DEU_LocationALower-46_276_T-1,13,R_G3
DEU_LocationALower-46_276_T-1,14,R_G3
DEU_LocationAUpper-36_120_T-1,16,R_G1
DEU_LocationFLower-58_96_T-1,11,R_G1
DEU_LocationFLower-58_96_T-1,14,R_G3
DEU_LocationAUpper-43_210_T-1,10,R_G1
DEU_LocationALower-48_267_T-1,8,R_G3
DEU_LocationALower-38_98_T-1,11,R_G3
DEU_LocationALower-38_98_T-1,13,R_G3
DEU_LocationCUpper-4_88_T-1,11,R_G1
DEU_LocationCUpper-4_88_T-1,12,R_G1
DEU_LocationALower-40_72_T-1,12,R_G1
DEU_LocationALower-40_72_T-1,15,R_G3
DEU_LocationALower-40_72_T-1,17,R_G3
DEU_LocationALower-40_72_T-1,26,R_G1
DEU_LocationCUpper-5_113_T-1,12,R_G1
DEU_LocationALower-29_267_T-1,16,R_G1
DEU_LocationEUpper-21_127_T-1,8,R_G1
DEU_LocationBUpper-3_22_T-1,5,R_G1
DEU_LocationALower-42_21_T-1,11,R_G1
DEU_LocationALower-43_214_T-1,13,R_G3
DEU_LocationALower-43_214_T-1,21,R_G1
DEU_LocationAUpper-33_201_T-1,14,R_G3
DEU_LocationDLower-9_13_T-1,8,R_G1
DEU_LocationAUpper-47_2_T-1,15,R_G3
DEU_LocationALower-43_95_T-1,8,R_G3
DEU_LocationALower-34_199_T-1,10,R_G3
DEU_LocationALower-34_199_T-1,11,R_G3
DEU_LocationALower-42_57_T-1,11,R_G1
DEU_LocationALower-42_57_T-1,12,R_G3
DEU_LocationALower-42_57_T-1,15,R_G3
DEU_LocationALower-42_57_T-1,19,R_G3
DEU_LocationEUpper-24_196_T-1,9,R_G1
DEU_LocationALower-51_40_T-1,7,R_G3
DEU_LocationALower-51_40_T-1,11,R_G1
DEU_LocationALower-25_80_T-1,7,R_G3
DEU_LocationALower-25_80_T-1,24,R_G1
DEU_LocationAUpper-38_75_T-1,18,R_G3
DEU_LocationAUpper-28_56_T-1,16,R_G1,R_G3
DEU_LocationAUpper-28_56_T-1,17,R_G3
DEU_LocationALower-38_11_T-1,11,R_G1
DEU_LocationALower-42_207_T-1,12,R_G3
DEU_LocationALower-42_207_T-1,13,R_G3
DEU_LocationALower-42_207_T-1,14,R_G3
DEU_LocationALower-56_103_T-1,14,R_G3
DEU_LocationALower-45_198_T-1,17,R_G3
DEU_LocationALower-52_27_T-1,16,R_G1
DEU_LocationAUpper-13_33_T-1,29,R_G2
DEU_LocationAUpper-28_264_T-1,9,R_G1
DEU_LocationAUpper-27_157_T-1,9,R_G1
DEU_LocationAUpper-27_157_T-1,13,R_G3
DEU_LocationALower-53_145_T-1,22,R_G3
DEU_LocationALower-54_99_T-1,10,R_G3
DEU_LocationALower-54_99_T-1,14,R_G1
DEU_LocationALower-39_3_T-1,7,R_G3
DEU_LocationALower-29_224_T-1,10,R_G3
DEU_LocationCUpper-6_27_T-1,11,R_G1
DEU_LocationAUpper-11_77_T-1,13,R_G1
DEU_LocationAUpper-11_77_T-1,28,R_G1
DEU_LocationAUpper-36_294_T-1,12,R_G2
DEU_LocationAUpper-36_294_T-1,19,R_G2
DEU_LocationAUpper-36_294_T-1,22,R_G1
DEU_LocationAUpper-36_294_T-1,23,R_G2
DEU_LocationALower-36_65_T-1,8,R_G3
DEU_LocationALower-36_65_T-1,9,R_G3
DEU_LocationALower-36_65_T-1,10,R_G3
DEU_LocationALower-36_65_T-1,11,R_G3
DEU_LocationALower-47_1_T-1,14,R_G3
DEU_LocationALower-47_1_T-1,16,R_G3
DEU_LocationALower-47_133_T-1,20,R_G1
DEU_LocationALower-44_82_T-1,13,R_G3
DEU_LocationALower-44_82_T-1,15,R_G3
DEU_LocationAUpper-12_31_T-1,22,R_G1
DEU_LocationAUpper-12_31_T-1,24,R_G1
DEU_LocationALower-39_156_T-1,19,R_G3
DEU_LocationALower-14_60_T-1,9,R_G3
DEU_LocationALower-14_60_T-1,12,R_G3
DEU_LocationALower-14_60_T-1,13,R_G3
DEU_LocationALower-11_3_T-1,8,R_G3
DEU_LocationALower-11_3_T-1,12,R_G1
DEU_LocationALower-11_3_T-1,15,R_G3
DEU_LocationALower-29_202_T-1,19,R_G3
DEU_LocationALower-43_77_T-1,15,R_G3
DEU_LocationALower-35_162_T-1,12,R_G1
DEU_LocationALower-55_38_T-1,10,R_G3
DEU_LocationALower-55_38_T-1,11,R_G3
DEU_LocationALower-55_38_T-1,14,R_G1
DEU_LocationALower-55_38_T-1,21,R_G1
DEU_LocationAUpper-39_157_T-1,13,R_G1
DEU_LocationALower-27_196_T-1,12,R_G3
DEU_LocationALower-41_251_T-1,10,R_G3
DEU_LocationALower-41_251_T-1,12,R_G3
DEU_LocationALower-41_251_T-1,15,R_G3
DEU_LocationALower-41_251_T-1,16,R_G3
DEU_LocationAUpper-39_199_T-1,15,R_G1
DEU_LocationAUpper-32_138_T-1,15,R_G1
DEU_LocationALower-43_175_T-1,11,R_G3
DEU_LocationALower-43_175_T-1,13,R_G3
DEU_LocationALower-43_175_T-1,17,R_G3
DEU_LocationEUpper-22_122_T-1,7,R_G1
DEU_LocationAUpper-29_41_T-1,11,R_G3
DEU_LocationAUpper-29_41_T-1,14,R_G1
DEU_LocationAUpper-44_245_T-1,15,R_G3
DEU_LocationALower-55_250_T-1,9,R_G3
DEU_LocationAUpper-30_271_T-1,15,R_G1
DEU_LocationALower-37_130_T-1,5,R_G3
DEU_LocationALower-48_20_T-1,13,R_G1
DEU_LocationALower-48_20_T-1,16,R_G3
DEU_LocationALower-53_102_T-1,17,R_G1
DEU_LocationELower-24_3_T-1,7,R_G3
DEU_LocationALower-53_176_T-1,12,R_G1
DEU_LocationALower-53_176_T-1,13,R_G3
DEU_LocationALower-51_242_T-1,5,R_G3
DEU_LocationALower-51_242_T-1,7,R_G3
DEU_LocationALower-51_242_T-1,14,R_G3
DEU_LocationAUpper-44_105_T-1,11,R_G1
DEU_LocationALower-50_186_T-1,13,R_G1
DEU_LocationALower-50_186_T-1,15,R_G1
DEU_LocationALower-50_186_T-1,16,R_G3
DEU_LocationALower-49_28_T-1,5,R_G3
DEU_LocationALower-49_28_T-1,18,R_G3
DEU_LocationAUpper-32_172_T-1,8,R_G3
DEU_LocationAUpper-32_172_T-1,10,R_G3
DEU_LocationALower-38_219_T-1,6,R_G3
DEU_LocationALower-38_219_T-1,15,R_G3
DEU_LocationALower-35_129_T-1,5,R_G3
DEU_LocationALower-35_129_T-1,6,R_G3
DEU_LocationALower-35_129_T-1,12,R_G3
DEU_LocationALower-35_129_T-1,13,R_G3
DEU_LocationAUpper-14_61_T-1,9,R_G3
DEU_LocationAUpper-14_61_T-1,19,R_G1
DEU_LocationALower-42_130_T-1,20,R_G3
DEU_LocationALower-42_145_T-1,5,R_G3
DEU_LocationALower-42_145_T-1,6,R_G3
DEU_LocationALower-42_145_T-1,12,R_G3
DEU_LocationALower-34_200_T-1,10,R_G3
DEU_LocationAUpper-56_43_T-1,5,R_G3
DEU_LocationFLower-58_70_T-1,8,R_G3
DEU_LocationFLower-58_70_T-1,12,R_G3
DEU_LocationAUpper-36_35_T-1,7,R_G2
DEU_LocationAUpper-36_35_T-1,9,R_G1
DEU_LocationAUpper-36_35_T-1,11,R_G1,R_G2
DEU_LocationAUpper-36_35_T-1,15,R_G2
DEU_LocationALower-13_100_T-1,8,R_G3
DEU_LocationALower-13_100_T-1,9,R_G3
DEU_LocationAUpper-50_234_T-1,16,R_G1
DEU_LocationAUpper-50_234_T-1,20,R_G1
DEU_LocationALower-13_118_T-1,7,R_G3
DEU_LocationALower-14_241_T-1,17,R_G3
DEU_LocationALower-36_267_T-1,6,R_G3
DEU_LocationALower-36_267_T-1,9,R_G3
DEU_LocationALower-36_267_T-1,12,R_G3
DEU_LocationALower-11_111_T-1,16,R_G3
DEU_LocationALower-11_111_T-1,19,R_G3
DEU_LocationALower-44_101_T-1,9,R_G1
