scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations
DEU_LocationALower-11_102_T-1,16,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",9,0,0.00012373924255371094,0.0008618831634521484,0.17453908920288086,0.22560667991638184,12,1
DEU_LocationALower-11_110_T-1,16,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",2,0,4.029273986816406e-05,0.00026679039001464844,0.18037629127502441,0.22595643997192383,19,1
DEU_LocationALower-11_131_T-1,18,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",9,0,3.504753112792969e-05,0.0001461505889892578,0.12803363800048828,0.1738295555114746,19,1
DEU_LocationALower-11_4_T-1,18,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",1,0,3.0517578125e-05,0.00012826919555664062,0.1262660026550293,0.17316126823425293,13,1
DEU_LocationALower-11_43_T-1,17,R_G1,bingo,"{'d', 'a', '~g', 'c', 'b'}",2,0,3.504753112792969e-05,0.0001354217529296875,0.10707831382751465,0.14968299865722656,13,1
DEU_LocationALower-11_56_T-1,15,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",1,0,3.0040740966796875e-05,0.00010919570922851562,0.10218477249145508,0.15176868438720703,12,1
DEU_LocationALower-11_64_T-1,18,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",15,0,2.8133392333984375e-05,0.00010776519775390625,0.16916465759277344,0.21585440635681152,15,1
DEU_LocationALower-12_109_T-1,20,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",8,0,3.266334533691406e-05,0.0001366138458251953,0.14377188682556152,0.19270753860473633,20,1
DEU_LocationALower-12_167_T-1,12,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",11,0,3.075599670410156e-05,0.00011014938354492188,0.1735694408416748,0.22557616233825684,15,1
DEU_LocationALower-12_217_T-1,14,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",6,0,3.218650817871094e-05,0.00011515617370605469,0.10855460166931152,0.1599893569946289,10,1
DEU_LocationALower-12_52_T-1,26,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",7,0,4.172325134277344e-05,0.00018858909606933594,0.12980937957763672,0.17915797233581543,18,1
DEU_LocationALower-13_162_T-1,21,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",10,0,3.0279159545898438e-05,0.00012159347534179688,0.10428214073181152,0.15521788597106934,15,1
DEU_LocationALower-13_167_T-1,17,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",2,0,3.0517578125e-05,0.00012421607971191406,0.1318836212158203,0.17983770370483398,13,1
DEU_LocationALower-13_168_T-1,12,R_G1,bingo,"{'d', 'a', '~g', 'c', 'b'}",6,0,3.4332275390625e-05,0.00014781951904296875,0.10868358612060547,0.15621137619018555,11,1
DEU_LocationALower-13_214_T-1,21,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",14,0,2.8848648071289062e-05,0.0001125335693359375,0.10416603088378906,0.15114569664001465,15,1
DEU_LocationALower-13_239_T-1,18,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",12,0,2.6702880859375e-05,9.608268737792969e-05,0.10199761390686035,0.15100979804992676,13,1
DEU_LocationALower-13_241_T-1,20,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",18,0,3.24249267578125e-05,0.0001437664031982422,0.12339544296264648,0.1706094741821289,14,1
DEU_LocationALower-13_247_T-1,15,R_G1,bingo,"{'d', 'a', '~g', 'c', 'b'}",6,0,3.170967102050781e-05,0.00011968612670898438,0.0934455394744873,0.14641952514648438,9,1
DEU_LocationALower-13_29_T-1,18,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",15,0,3.0994415283203125e-05,0.00012183189392089844,0.16779160499572754,0.21559596061706543,18,1
DEU_LocationALower-13_56_T-1,10,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",1,0,2.7179718017578125e-05,9.72747802734375e-05,0.1643810272216797,0.20944786071777344,14,1
DEU_LocationALower-13_82_T-1,17,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",13,0,3.0994415283203125e-05,0.00011849403381347656,0.20839667320251465,0.2614140510559082,18,1
DEU_LocationALower-14_14_T-1,13,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",1,0,3.1948089599609375e-05,0.00011682510375976562,0.16259360313415527,0.20950841903686523,16,1
DEU_LocationALower-14_161_T-1,21,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",6,0,3.170967102050781e-05,0.0001347064971923828,0.14565134048461914,0.19253253936767578,17,1
DEU_LocationALower-14_219_T-1,12,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",8,0,3.123283386230469e-05,0.00011563301086425781,0.14049625396728516,0.18632006645202637,14,1
DEU_LocationALower-14_247_T-1,16,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",13,0,3.600120544433594e-05,0.00014257431030273438,0.17023038864135742,0.21633505821228027,16,1
DEU_LocationALower-14_252_T-1,12,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",9,0,3.0517578125e-05,0.00010967254638671875,0.14595508575439453,0.19611310958862305,10,1
DEU_LocationALower-14_255_T-1,11,R_G1,not repairable,"{'g', 'f', 'b', 'd', 'a', '~e', 'h', 'c'}",3,0,8.96453857421875e-05,0.00030231475830078125,0.4324328899383545,0.43282485008239746,20,4
DEU_LocationALower-14_39_T-1,15,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",9,0,3.0517578125e-05,0.000110626220703125,0.10699582099914551,0.15793085098266602,15,1
DEU_LocationALower-14_96_T-1,15,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",16,0,3.9577484130859375e-05,0.0001246929168701172,0.16070055961608887,0.21642446517944336,12,1
DEU_LocationALower-25_155_T-1,15,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",8,0,2.956390380859375e-05,0.00010204315185546875,0.11140227317810059,0.16239285469055176,12,1
DEU_LocationALower-27_140_T-1,14,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",8,0,3.314018249511719e-05,0.00012111663818359375,0.1420612335205078,0.18583941459655762,16,1
DEU_LocationALower-27_184_T-1,13,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",16,0,2.7418136596679688e-05,8.940696716308594e-05,0.1323380470275879,0.18665480613708496,9,1
DEU_LocationALower-28_109_T-1,13,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",4,0,3.600120544433594e-05,0.00016427040100097656,0.17507195472717285,0.22051548957824707,16,1
DEU_LocationALower-28_109_T-1,18,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",8,0,3.170967102050781e-05,0.00011610984802246094,0.14404940605163574,0.19090533256530762,16,1
DEU_LocationALower-28_204_T-1,12,R_G1,not repairable,"{'g', 'f', 'b', 'd', 'a', '~e', 'h', 'c'}",3,0,9.632110595703125e-05,0.0003540515899658203,0.3351328372955322,0.3355832099914551,7,4
DEU_LocationALower-28_228_T-1,11,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",16,0,3.0517578125e-05,0.00011920928955078125,0.09463143348693848,0.14152145385742188,7,1
DEU_LocationALower-28_252_T-1,12,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",3,0,3.838539123535156e-05,8.893013000488281e-05,0.14045357704162598,0.1869642734527588,12,1
DEU_LocationALower-28_252_T-1,18,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",5,0,3.075599670410156e-05,0.00011086463928222656,0.12259316444396973,0.17267394065856934,12,1
DEU_LocationALower-29_123_T-1,16,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",9,0,3.1948089599609375e-05,0.0001087188720703125,0.1532449722290039,0.1981368064880371,11,1
DEU_LocationALower-29_134_T-1,9,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",7,0,3.1948089599609375e-05,0.00011897087097167969,0.06862115859985352,0.09882521629333496,11,1
DEU_LocationALower-29_192_T-1,9,R_G1,bingo,"{'d', 'a', '~g', 'c', 'b'}",8,0,3.314018249511719e-05,0.00013113021850585938,0.08659172058105469,0.13899636268615723,6,1
DEU_LocationALower-29_245_T-1,12,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",8,0,3.24249267578125e-05,0.00016379356384277344,0.16360187530517578,0.2135910987854004,7,1
DEU_LocationALower-29_249_T-1,23,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",3,0,2.7418136596679688e-05,9.846687316894531e-05,0.16664576530456543,0.21564292907714844,17,1
DEU_LocationALower-29_250_T-1,12,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",9,0,4.2438507080078125e-05,0.00015544891357421875,0.19486761093139648,0.24330472946166992,15,1
DEU_LocationALower-29_65_T-1,8,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",2,0,3.218650817871094e-05,0.0001163482666015625,0.11217021942138672,0.16327428817749023,12,1
DEU_LocationALower-29_70_T-1,11,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",2,0,3.647804260253906e-05,0.0001227855682373047,0.1432039737701416,0.19095969200134277,12,1
DEU_LocationALower-30_218_T-1,16,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",5,0,3.0517578125e-05,0.00010728836059570312,0.13439631462097168,0.17977523803710938,12,1
DEU_LocationALower-30_258_T-1,22,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-30_258_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-30_46_T-1,16,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",5,0,3.147125244140625e-05,0.00013971328735351562,0.17202281951904297,0.21843242645263672,19,1
DEU_LocationALower-31_154_T-1,9,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",10,0,3.790855407714844e-05,0.00015592575073242188,0.07241034507751465,0.10627460479736328,12,1
DEU_LocationALower-31_239_T-1,16,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",4,0,3.075599670410156e-05,0.0001163482666015625,0.19234728813171387,0.24130868911743164,18,1
DEU_LocationALower-31_24_T-1,13,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",16,0,2.8133392333984375e-05,0.00010061264038085938,0.1648237705230713,0.21385836601257324,17,1
DEU_LocationALower-31_258_T-1,12,R_G1,not repairable,"{'g', 'f', 'b', 'd', 'a', '~e', 'h', 'c'}",5,0,9.72747802734375e-05,0.0003390312194824219,0.36550259590148926,0.3659389019012451,11,4
DEU_LocationALower-31_31_T-1,15,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",3,0,3.147125244140625e-05,0.00011372566223144531,0.1299440860748291,0.17691588401794434,7,1
DEU_LocationALower-31_47_T-1,13,R_G1,bingo,"{'d', 'a', '~g', 'c', 'b'}",7,0,3.147125244140625e-05,0.00012803077697753906,0.09455084800720215,0.15006136894226074,11,1
DEU_LocationALower-32_117_T-1,17,R_G1,bingo,"{'d', 'a', '~g', 'c', 'b'}",9,0,3.218650817871094e-05,0.0001289844512939453,0.09421110153198242,0.14952826499938965,10,1
DEU_LocationALower-32_136_T-1,16,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",11,0,3.123283386230469e-05,0.00011610984802246094,0.15577459335327148,0.2025008201599121,13,1
DEU_LocationALower-32_186_T-1,12,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",2,0,3.743171691894531e-05,0.00018477439880371094,0.10534405708312988,0.15427947044372559,9,1
DEU_LocationALower-32_70_T-1,14,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",2,0,2.765655517578125e-05,0.0001373291015625,0.18171429634094238,0.22834467887878418,12,1
DEU_LocationALower-32_84_T-1,13,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",8,0,3.0040740966796875e-05,0.00011944770812988281,0.14040279388427734,0.18881511688232422,7,1
DEU_LocationALower-33_120_T-1,9,R_G1,not repairable,"{'g', 'f', 'b', 'd', 'a', '~e', 'h', 'c'}",2,0,9.369850158691406e-05,0.0003230571746826172,0.35939669609069824,0.3598134517669678,8,4
DEU_LocationALower-33_124_T-1,21,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_124_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_128_T-1,6,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_128_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_142_T-1,10,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",5,0,2.7179718017578125e-05,0.00011229515075683594,0.0893697738647461,0.12015080451965332,16,1
DEU_LocationALower-33_16_T-1,12,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",12,0,3.170967102050781e-05,0.00012636184692382812,0.14230060577392578,0.18929743766784668,17,1
DEU_LocationALower-33_183_T-1,25,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_183_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_219_T-1,8,R_G1,bingo,"{'e', 'b', 'd', 'a', 'c'}",6,0,3.266334533691406e-05,0.00014972686767578125,0.0781247615814209,0.11749792098999023,5,1
