scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations,jerk
Nr of scenarios,96,Nr of infeasible trajectories,0,0,Nr of repairable trajectories,87,0.9062,,,,,,
DEU_LocationALower-11_102_T-1,16,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",9,0,6.4849853515625E-05,0.000226259231567383,0.171467542648315,0.220554113388062,12,1,161.577262923515
DEU_LocationALower-11_110_T-1,16,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",2,0,3.52859497070312E-05,0.000185728073120117,0.191547155380249,0.236368417739868,19,1,174.950182925591
DEU_LocationALower-11_131_T-1,18,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",9,0,3.09944152832031E-05,0.000140905380249023,0.134585618972778,0.180220603942871,19,1,163.102336762683
DEU_LocationALower-11_4_T-1,18,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",1,0,0.000030517578125,0.000124216079711914,0.108882188796997,0.154790878295898,13,1,170.83285613018
DEU_LocationALower-11_43_T-1,17,R_G1,bingo,"{'a', 'd', '~g', 'c', 'b'}",2,0,3.50475311279297E-05,0.000148534774780273,0.109589815139771,0.153969526290894,13,1,48.3517314901239
DEU_LocationALower-11_56_T-1,15,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",1,0,3.33786010742187E-05,0.000126361846923828,0.11149001121521,0.160263776779175,12,1,173.885339629447
DEU_LocationALower-11_64_T-1,18,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",15,0,3.14712524414062E-05,0.000114679336547852,0.159842491149902,0.206512689590454,15,1,155.172922664401
DEU_LocationALower-12_109_T-1,20,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",8,0,3.26633453369141E-05,0.000165462493896484,0.158056259155273,0.208029747009277,20,1,163.161366124674
DEU_LocationALower-12_167_T-1,12,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",11,0,3.14712524414062E-05,0.000118017196655273,0.172272920608521,0.220597982406616,15,1,165.557748912108
DEU_LocationALower-12_217_T-1,14,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",6,0,3.14712524414062E-05,0.000118732452392578,0.105119705200195,0.155962467193604,10,1,165.360632541082
DEU_LocationALower-12_52_T-1,26,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",7,0,3.09944152832031E-05,0.000119447708129883,0.137563228607178,0.183906316757202,18,1,155.920661965116
DEU_LocationALower-13_162_T-1,21,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",10,0,3.33786010742187E-05,0.000133991241455078,0.133698701858521,0.184705972671509,15,1,156.513074658157
DEU_LocationALower-13_167_T-1,17,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",2,0,2.95639038085937E-05,0.000114202499389648,0.156282186508179,0.203535318374634,13,1,171.595048223939
DEU_LocationALower-13_168_T-1,12,R_G1,bingo,"{'a', 'd', '~g', 'c', 'b'}",6,0,3.21865081787109E-05,0.000128984451293945,0.124693870544434,0.172019958496094,11,1,167.106223398687
DEU_LocationALower-13_214_T-1,21,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",14,0,3.24249267578125E-05,0.000119924545288086,0.132354259490967,0.180720567703247,15,1,173.509808551836
DEU_LocationALower-13_239_T-1,18,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",12,0,2.83718109130859E-05,0.000105857849121094,0.119465589523315,0.168307304382324,13,1,167.082333162498
DEU_LocationALower-13_241_T-1,20,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",18,0,3.36170196533203E-05,0.000156879425048828,0.151934623718262,0.199517726898193,14,1,169.848094975431
DEU_LocationALower-13_247_T-1,15,R_G1,bingo,"{'a', 'd', '~g', 'c', 'b'}",6,0,3.48091125488281E-05,0.000137567520141602,0.115909099578857,0.169204950332642,9,1,166.24093988732
DEU_LocationALower-13_29_T-1,18,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",15,0,3.24249267578125E-05,0.000117063522338867,0.186702489852905,0.234868049621582,18,1,165.047163840418
DEU_LocationALower-13_56_T-1,10,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",1,0,3.19480895996094E-05,0.000105142593383789,0.196862936019897,0.245012998580933,14,1,176.635000883291
DEU_LocationALower-13_82_T-1,17,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",13,0,3.29017639160156E-05,0.000192642211914063,0.216320753097534,0.267630577087402,18,1,165.522356636798
DEU_LocationALower-14_14_T-1,13,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",1,0,3.55243682861328E-05,0.000152111053466797,0.175937652587891,0.224411010742187,16,1,183.18501578816
DEU_LocationALower-14_161_T-1,21,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",6,0,3.57627868652344E-05,0.000139713287353516,0.157623052597046,0.205054044723511,17,1,165.312803854845
DEU_LocationALower-14_219_T-1,12,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",8,0,3.52859497070312E-05,0.000136613845825195,0.155596971511841,0.201930999755859,14,1,166.94882379293
DEU_LocationALower-14_247_T-1,16,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",13,0,3.38554382324219E-05,0.000140905380249023,0.167595863342285,0.215564727783203,16,1,156.439991121123
DEU_LocationALower-14_252_T-1,12,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",9,0,3.07559967041016E-05,0.000105381011962891,0.146291494369507,0.197751760482788,10,1,167.75459244227
DEU_LocationALower-14_39_T-1,15,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",9,0,3.38554382324219E-05,0.000112771987915039,0.11898398399353,0.175900936126709,15,1,163.206767716373
DEU_LocationALower-14_96_T-1,15,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",16,0,3.83853912353516E-05,0.000155448913574219,0.170690536499023,0.226820468902588,12,1,160.325347340767
DEU_LocationALower-25_155_T-1,15,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",8,0,3.24249267578125E-05,0.000113010406494141,0.112071514129639,0.165045976638794,12,1,168.62537416062
DEU_LocationALower-27_140_T-1,14,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",8,0,3.19480895996094E-05,0.000121116638183594,0.148302555084229,0.192715883255005,16,1,168.342935600043
