scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time
DEU_LocationALower-11_102_T-1,16,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",9,8,3.695487976074219e-05,0.030324459075927734,0.040946006774902344,0.09495019912719727
DEU_LocationALower-11_110_T-1,16,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",2,1,2.2649765014648438e-05,0.014446735382080078,0.11419916152954102,0.18308496475219727
DEU_LocationALower-11_131_T-1,18,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",9,8,2.86102294921875e-05,0.035138607025146484,0.0469050407409668,0.10418581962585449
DEU_LocationALower-11_4_T-1,18,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",1,0,2.2172927856445312e-05,0.014575481414794922,0.06464266777038574,0.1397693157196045
DEU_LocationALower-11_43_T-1,17,R_G1,bingo,"{'b', 'c', 'a', '~g', 'd'}",4,3,2.47955322265625e-05,0.0663297176361084,0.050853729248046875,0.14906549453735352
DEU_LocationALower-11_56_T-1,15,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",1,0,2.2649765014648438e-05,0.015103578567504883,0.06160926818847656,0.13769793510437012
DEU_LocationALower-11_64_T-1,18,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",15,14,2.3126602172851562e-05,0.041939496994018555,0.033045053482055664,0.08713746070861816
DEU_LocationALower-12_109_T-1,20,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",8,7,2.2172927856445312e-05,0.03511452674865723,0.049685001373291016,0.1280531883239746
DEU_LocationALower-12_167_T-1,12,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",11,10,2.3603439331054688e-05,0.027431726455688477,0.0398249626159668,0.10512328147888184
DEU_LocationALower-12_217_T-1,14,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",6,5,2.3126602172851562e-05,0.025406360626220703,0.042961835861206055,0.1159060001373291
DEU_LocationALower-12_52_T-1,26,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",7,6,2.288818359375e-05,0.037537336349487305,0.04722237586975098,0.11074614524841309
DEU_LocationALower-13_162_T-1,21,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",10,9,2.384185791015625e-05,0.03462815284729004,0.03708982467651367,0.1112210750579834
DEU_LocationALower-13_167_T-1,17,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",2,1,2.288818359375e-05,0.014362335205078125,0.07274889945983887,0.12589573860168457
DEU_LocationALower-13_168_T-1,12,R_G1,bingo,"{'b', 'c', 'a', '~g', 'd'}",6,5,2.288818359375e-05,0.06042933464050293,0.04327511787414551,0.1319894790649414
DEU_LocationALower-13_214_T-1,21,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",14,13,2.1696090698242188e-05,0.03426361083984375,0.03104877471923828,0.09685540199279785
DEU_LocationALower-13_239_T-1,18,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",12,11,2.1696090698242188e-05,0.03338122367858887,0.034464359283447266,0.08487701416015625
DEU_LocationALower-13_241_T-1,20,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",18,17,2.6226043701171875e-05,0.03951239585876465,0.027224063873291016,0.09952330589294434
DEU_LocationALower-13_247_T-1,15,R_G1,not repairable,"{'g', 'b', 'c', 'h', '~e', 'a', 'f', 'd'}",6,5,9.894371032714844e-05,0.06092262268066406,0.11944031715393066,0.18046188354492188
DEU_LocationALower-13_29_T-1,18,R_G1,not repairable,"{'g', 'b', 'c', 'h', '~e', 'a', 'f', 'd'}",15,-inf,0.0001125335693359375,0.18639826774597168,0,0.18651080131530762
DEU_LocationALower-13_56_T-1,10,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",1,0,2.6226043701171875e-05,0.014972209930419922,0.10622501373291016,0.1626603603363037
DEU_LocationALower-13_82_T-1,17,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-14_14_T-1,13,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-14_161_T-1,21,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",6,5,2.5033950805664062e-05,0.02533125877380371,0.06064939498901367,0.11315393447875977
DEU_LocationALower-14_219_T-1,12,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",8,7,2.5272369384765625e-05,0.03634953498840332,0.04431748390197754,0.12390732765197754
DEU_LocationALower-14_247_T-1,16,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",13,12,2.4557113647460938e-05,0.03360605239868164,0.03483223915100098,0.09989309310913086
DEU_LocationALower-14_252_T-1,12,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",9,8,2.288818359375e-05,0.03500771522521973,0.03533339500427246,0.11168599128723145
DEU_LocationALower-14_255_T-1,11,R_G1,not repairable,"{'g', 'b', 'c', 'h', '~e', 'a', 'f', 'd'}",3,2,7.772445678710938e-05,0.10063529014587402,0.18039250373840332,0.28110551834106445
DEU_LocationALower-14_39_T-1,15,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",9,8,2.384185791015625e-05,0.03615832328796387,0.05820822715759277,0.11636137962341309
DEU_LocationALower-14_96_T-1,15,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",16,15,2.47955322265625e-05,0.03629302978515625,0.029248714447021484,0.10155344009399414
DEU_LocationALower-25_155_T-1,15,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",8,7,2.4318695068359375e-05,0.03514242172241211,0.04268932342529297,0.10160422325134277
DEU_LocationALower-27_140_T-1,14,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",8,7,2.3603439331054688e-05,0.03562641143798828,0.04536724090576172,0.1234734058380127
DEU_LocationALower-27_184_T-1,13,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",16,15,2.288818359375e-05,0.031336307525634766,0.027400732040405273,0.06949496269226074
DEU_LocationALower-28_109_T-1,13,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",4,3,2.3365020751953125e-05,0.026018857955932617,0.07959675788879395,0.1572425365447998
DEU_LocationALower-28_109_T-1,18,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",8,7,2.5272369384765625e-05,0.03551435470581055,0.04807233810424805,0.12987184524536133
DEU_LocationALower-28_204_T-1,12,R_G1,not repairable,"{'g', 'b', 'c', 'h', '~e', 'a', 'f', 'd'}",3,2,8.916854858398438e-05,0.10912013053894043,0.1161956787109375,0.22540497779846191
DEU_LocationALower-28_228_T-1,11,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",16,15,2.3126602172851562e-05,0.04309654235839844,0.025702238082885742,0.07990622520446777
DEU_LocationALower-28_252_T-1,12,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-28_252_T-1,18,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",5,4,2.4318695068359375e-05,0.025849580764770508,0.04845881462097168,0.10504460334777832
DEU_LocationALower-29_123_T-1,16,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",9,8,2.4080276489257812e-05,0.03515458106994629,0.036546945571899414,0.11090922355651855
DEU_LocationALower-29_134_T-1,9,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",7,6,2.47955322265625e-05,0.024175167083740234,0.03242087364196777,0.08871746063232422
DEU_LocationALower-29_192_T-1,9,R_G1,bingo,"{'b', 'c', 'a', '~g', 'd'}",8,7,2.4318695068359375e-05,0.06652617454528809,0.03436708450317383,0.12484860420227051
DEU_LocationALower-29_245_T-1,12,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",8,7,2.2411346435546875e-05,0.03590869903564453,0.03999972343444824,0.09914875030517578
DEU_LocationALower-29_249_T-1,23,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",3,2,3.62396240234375e-05,0.026333332061767578,0.08173608779907227,0.1613600254058838
DEU_LocationALower-29_250_T-1,12,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",9,8,2.574920654296875e-05,0.036309242248535156,0.04259753227233887,0.11922621726989746
DEU_LocationALower-29_65_T-1,8,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",2,1,2.8133392333984375e-05,0.014820337295532227,0.06296634674072266,0.11847233772277832
DEU_LocationALower-29_70_T-1,11,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A
