scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles
DEU_LocationALower-11_102_T-1,16,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",9,8,3.123283386230469e-05,0.030340194702148438,0.03975033760070801,0.09350824356079102,12
DEU_LocationALower-11_110_T-1,16,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",2,1,2.2172927856445312e-05,0.014504194259643555,0.1023557186126709,0.17339038848876953,19
DEU_LocationALower-11_131_T-1,18,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",9,8,1.9788742065429688e-05,0.03579354286193848,0.04345250129699707,0.1183629035949707,19
DEU_LocationALower-11_4_T-1,18,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",1,0,2.3603439331054688e-05,0.014518022537231445,0.062216997146606445,0.11890840530395508,13
DEU_LocationALower-11_43_T-1,17,R_G1,bingo,"{'g', '~c', 'f', 'h', 'e'}",2,1,2.2649765014648438e-05,0.06907439231872559,0.05249357223510742,0.17787647247314453,13
DEU_LocationALower-11_56_T-1,15,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",1,0,2.1457672119140625e-05,0.015126228332519531,0.06514978408813477,0.3089933395385742,12
DEU_LocationALower-11_64_T-1,18,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",15,14,2.2172927856445312e-05,0.04331254959106445,0.031845808029174805,0.10627198219299316,15
DEU_LocationALower-12_109_T-1,20,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",8,7,2.2172927856445312e-05,0.03701353073120117,0.04651141166687012,0.1261279582977295,20
DEU_LocationALower-12_167_T-1,12,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",11,10,2.0503997802734375e-05,0.028182029724121094,0.04259991645812988,0.08894014358520508,15
DEU_LocationALower-12_217_T-1,14,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",6,5,2.1219253540039062e-05,0.025671005249023438,0.041176557540893555,0.09411859512329102,10
DEU_LocationALower-12_52_T-1,26,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",7,6,7.05718994140625e-05,0.12527918815612793,0.14020633697509766,0.26555609703063965,18
DEU_LocationALower-13_162_T-1,21,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",10,9,2.956390380859375e-05,0.036714792251586914,0.036374568939208984,0.11161565780639648,15
DEU_LocationALower-13_167_T-1,17,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",2,1,2.2172927856445312e-05,0.014490365982055664,0.07062840461730957,0.12331008911132812,13
DEU_LocationALower-13_168_T-1,12,R_G1,bingo,"{'g', '~c', 'f', 'h', 'e'}",6,5,2.288818359375e-05,0.061016082763671875,0.04149603843688965,0.13080930709838867,11
DEU_LocationALower-13_214_T-1,21,R_G1,bingo,"{'g', '~c', 'f', 'h', 'e'}",14,13,2.288818359375e-05,0.0669870376586914,0.03056645393371582,0.12792539596557617,15
DEU_LocationALower-13_239_T-1,18,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",12,11,2.2411346435546875e-05,0.03441452980041504,0.03331255912780762,0.10131144523620605,13
DEU_LocationALower-13_241_T-1,20,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",18,17,7.271766662597656e-05,0.07308840751647949,0.10109591484069824,0.1742570400238037,14
DEU_LocationALower-13_247_T-1,15,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",6,5,7.152557373046875e-05,0.059988975524902344,0.11684846878051758,0.1769089698791504,9
DEU_LocationALower-13_29_T-1,18,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",15,-inf,7.081031799316406e-05,0.1928234100341797,0,0.19289422035217285,18
DEU_LocationALower-13_56_T-1,10,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",1,0,2.2649765014648438e-05,0.014789819717407227,0.10260009765625,0.1765284538269043,14
DEU_LocationALower-13_82_T-1,17,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",13,12,2.288818359375e-05,0.02450084686279297,0.03693747520446777,0.09360289573669434,18
DEU_LocationALower-14_14_T-1,13,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",1,0,2.5510787963867188e-05,0.015472650527954102,0.099761962890625,0.15788626670837402,16
DEU_LocationALower-14_161_T-1,21,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",6,5,2.3603439331054688e-05,0.025867223739624023,0.05760049819946289,0.11098217964172363,17
DEU_LocationALower-14_219_T-1,12,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",8,7,7.653236389160156e-05,0.07189416885375977,0.13635706901550293,0.2083277702331543,14
DEU_LocationALower-14_247_T-1,16,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",13,12,2.193450927734375e-05,0.03451347351074219,0.033216238021850586,0.08312726020812988,16
DEU_LocationALower-14_252_T-1,12,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",9,8,2.2172927856445312e-05,0.03551983833312988,0.033838510513305664,0.1109154224395752,10
DEU_LocationALower-14_255_T-1,11,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",3,2,2.1457672119140625e-05,0.028727293014526367,0.08788132667541504,0.15179967880249023,20
DEU_LocationALower-14_39_T-1,15,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",9,8,2.3365020751953125e-05,0.03723478317260742,0.03874349594116211,0.09807276725769043,15
DEU_LocationALower-14_96_T-1,15,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",16,15,2.0742416381835938e-05,0.03662467002868652,0.02836012840270996,0.09643721580505371,12
DEU_LocationALower-25_155_T-1,15,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",8,7,2.2411346435546875e-05,0.03609418869018555,0.041095733642578125,0.11809945106506348,12
DEU_LocationALower-27_140_T-1,14,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",8,7,2.2172927856445312e-05,0.03727459907531738,0.04263615608215332,0.12278246879577637,16
DEU_LocationALower-27_184_T-1,13,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",16,15,2.2649765014648438e-05,0.03251385688781738,0.02650737762451172,0.0699462890625,9
DEU_LocationALower-28_109_T-1,13,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",4,3,2.2172927856445312e-05,0.0265500545501709,0.07626223564147949,0.15415334701538086,16
DEU_LocationALower-28_109_T-1,18,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",8,7,1.9550323486328125e-05,0.03611469268798828,0.0453341007232666,0.1052255630493164,16
DEU_LocationALower-28_204_T-1,12,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",3,2,7.319450378417969e-05,0.11108136177062988,0.11376786231994629,0.22492241859436035,7
DEU_LocationALower-28_228_T-1,11,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",16,15,2.4557113647460938e-05,0.04360175132751465,0.025594472885131836,0.08022379875183105,7
DEU_LocationALower-28_252_T-1,12,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",3,2,2.2649765014648438e-05,0.026556730270385742,0.06747055053710938,0.1482384204864502,12
DEU_LocationALower-28_252_T-1,18,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",5,4,2.3126602172851562e-05,0.02607870101928711,0.04705643653869629,0.12321949005126953,12
DEU_LocationALower-29_123_T-1,16,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",9,8,2.2172927856445312e-05,0.035933732986450195,0.035665035247802734,0.09273982048034668,11
DEU_LocationALower-29_134_T-1,9,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",7,6,7.486343383789062e-05,0.05245780944824219,0.11056303977966309,0.16309571266174316,11
DEU_LocationALower-29_192_T-1,9,R_G1,bingo,"{'g', '~c', 'f', 'h', 'e'}",8,7,2.002716064453125e-05,0.06534600257873535,0.034220218658447266,0.1415574550628662,6
DEU_LocationALower-29_245_T-1,12,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",8,7,2.3126602172851562e-05,0.03603243827819824,0.039130449295043945,0.09854817390441895,7
DEU_LocationALower-29_249_T-1,23,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",3,2,2.288818359375e-05,0.02735114097595215,0.0789022445678711,0.15828442573547363,17
DEU_LocationALower-29_250_T-1,12,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",9,8,2.3603439331054688e-05,0.03705644607543945,0.039975643157958984,0.09934473037719727,15
DEU_LocationALower-29_65_T-1,8,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",2,1,2.3603439331054688e-05,0.014757633209228516,0.059708356857299805,0.13361263275146484,12
DEU_LocationALower-29_70_T-1,11,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",2,-inf,6.890296936035156e-05,0.10471510887145996,0,0.10478401184082031,12
DEU_LocationALower-30_218_T-1,16,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",5,4,2.2411346435546875e-05,0.02599334716796875,0.05654764175415039,0.11212801933288574,12
DEU_LocationALower-30_258_T-1,22,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-30_258_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-30_46_T-1,16,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",5,-inf,9.846687316894531e-05,0.1647796630859375,0,0.16487812995910645,19
DEU_LocationALower-31_154_T-1,9,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",10,-inf,6.985664367675781e-05,0.27290821075439453,0,0.2729780673980713,12
DEU_LocationALower-31_239_T-1,16,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",4,3,7.390975952148438e-05,0.06996297836303711,0.15932106971740723,0.22935795783996582,18
DEU_LocationALower-31_24_T-1,13,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",16,15,2.193450927734375e-05,0.04279923439025879,0.03146100044250488,0.10431480407714844,17
DEU_LocationALower-31_258_T-1,12,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",5,4,2.2649765014648438e-05,0.021667003631591797,0.05325007438659668,0.12251019477844238,11
DEU_LocationALower-31_31_T-1,15,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",3,2,2.2172927856445312e-05,0.02629232406616211,0.0711212158203125,0.1317272186279297,7
DEU_LocationALower-31_47_T-1,13,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",7,6,7.128715515136719e-05,0.10613703727722168,0.11777639389038086,0.2239847183227539,11
DEU_LocationALower-32_117_T-1,17,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",9,8,7.534027099609375e-05,0.10207581520080566,0.10836315155029297,0.21051430702209473,10
DEU_LocationALower-32_136_T-1,16,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",11,-inf,7.224082946777344e-05,0.19893383979797363,0,0.1990060806274414,13
DEU_LocationALower-32_186_T-1,12,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",2,1,2.4080276489257812e-05,0.014447689056396484,0.05346488952636719,0.12549352645874023,9
DEU_LocationALower-32_70_T-1,14,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",2,1,2.0265579223632812e-05,0.013764142990112305,0.1020498275756836,0.17571234703063965,12
DEU_LocationALower-32_84_T-1,13,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",8,7,1.9311904907226562e-05,0.03538227081298828,0.0398564338684082,0.09833264350891113,7
