scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations
DEU_LocationALower-11_102_T-1,16,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",9,8,3.838539123535156e-05,0.030413389205932617,0.05010104179382324,0.10548162460327148,12,1
DEU_LocationALower-11_110_T-1,16,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",2,1,2.9802322387695312e-05,0.015239238739013672,0.131439208984375,0.18849635124206543,19,1
DEU_LocationALower-11_131_T-1,18,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",9,8,2.8133392333984375e-05,0.037811279296875,0.0634908676147461,0.12484502792358398,19,1
DEU_LocationALower-11_4_T-1,18,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",1,0,3.361701965332031e-05,0.015195846557617188,0.08127760887145996,0.14256572723388672,13,1
DEU_LocationALower-11_43_T-1,17,R_G1,bingo,"{'g', 'f', 'e', '~c', 'h'}",2,1,3.314018249511719e-05,0.06652545928955078,0.08622074127197266,0.19248628616333008,13,1
DEU_LocationALower-11_56_T-1,15,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",1,0,2.7894973754882812e-05,0.014909982681274414,0.0774223804473877,0.1392667293548584,12,1
DEU_LocationALower-11_64_T-1,18,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",15,14,3.24249267578125e-05,0.04315996170043945,0.04474282264709473,0.10033130645751953,15,1
DEU_LocationALower-12_109_T-1,20,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",8,7,3.409385681152344e-05,0.038076162338256836,0.06492495536804199,0.12817025184631348,20,1
DEU_LocationALower-12_167_T-1,12,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",11,10,2.956390380859375e-05,0.02846980094909668,0.05265665054321289,0.09992218017578125,15,1
DEU_LocationALower-12_217_T-1,14,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",6,5,5.030632019042969e-05,0.026244401931762695,0.05613517761230469,0.11290597915649414,10,1
DEU_LocationALower-12_52_T-1,26,R_G1,not repairable,"{'g', 'f', 'd', '~a', 'b', 'e', 'c', 'h'}",7,6,9.369850158691406e-05,0.1237020492553711,0.1809217929840088,0.3047175407409668,18,4
DEU_LocationALower-13_162_T-1,21,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",10,9,3.504753112792969e-05,0.03663229942321777,0.049185991287231445,0.10623931884765625,15,1
DEU_LocationALower-13_167_T-1,17,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",2,1,2.7894973754882812e-05,0.014955520629882812,0.09283447265625,0.15035080909729004,13,1
DEU_LocationALower-13_168_T-1,12,R_G1,bingo,"{'g', 'f', 'e', '~c', 'h'}",6,5,3.2901763916015625e-05,0.06492471694946289,0.05519247055053711,0.15090727806091309,11,1
DEU_LocationALower-13_214_T-1,21,R_G1,bingo,"{'g', 'f', 'e', '~c', 'h'}",14,13,3.266334533691406e-05,0.06882786750793457,0.040102243423461914,0.12232780456542969,15,1
DEU_LocationALower-13_239_T-1,18,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",12,11,3.314018249511719e-05,0.034882545471191406,0.047799110412597656,0.09954142570495605,13,1
DEU_LocationALower-13_241_T-1,20,R_G1,not repairable,"{'g', 'f', 'd', '~a', 'b', 'e', 'c', 'h'}",18,17,8.893013000488281e-05,0.0734105110168457,0.12150144577026367,0.19500088691711426,14,4
DEU_LocationALower-13_247_T-1,15,R_G1,not repairable,"{'g', 'f', 'd', '~a', 'b', 'e', 'c', 'h'}",6,5,9.107589721679688e-05,0.0621187686920166,0.14672160148620605,0.20893144607543945,9,4
DEU_LocationALower-13_29_T-1,18,R_G1,not repairable,"{'g', 'f', 'd', '~a', 'b', 'e', 'c', 'h'}",15,-inf,9.179115295410156e-05,0.20982122421264648,0,0.20991301536560059,18,4
DEU_LocationALower-13_56_T-1,10,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",1,0,2.9802322387695312e-05,0.015230417251586914,0.1262218952178955,0.18564057350158691,14,1
DEU_LocationALower-13_82_T-1,17,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",13,12,2.4557113647460938e-05,0.024773120880126953,0.05127978324890137,0.09080791473388672,18,1
DEU_LocationALower-14_14_T-1,13,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",1,0,3.218650817871094e-05,0.015478372573852539,0.1283893585205078,0.1897430419921875,16,1
DEU_LocationALower-14_161_T-1,21,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",6,5,3.266334533691406e-05,0.026351213455200195,0.07778453826904297,0.1335453987121582,17,1
DEU_LocationALower-14_219_T-1,12,R_G1,not repairable,"{'g', 'f', 'd', '~a', 'b', 'e', 'c', 'h'}",8,7,7.987022399902344e-05,0.06712627410888672,0.1541142463684082,0.22132039070129395,14,4
DEU_LocationALower-14_247_T-1,16,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",13,12,2.7418136596679688e-05,0.03457784652709961,0.04273509979248047,0.09209775924682617,16,1
DEU_LocationALower-14_252_T-1,12,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",9,8,3.170967102050781e-05,0.03596353530883789,0.04322004318237305,0.10197162628173828,10,1
DEU_LocationALower-14_255_T-1,11,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",3,2,3.218650817871094e-05,0.029300689697265625,0.12336349487304688,0.18951940536499023,20,1
DEU_LocationALower-14_39_T-1,15,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",9,8,3.361701965332031e-05,0.037451982498168945,0.049870967864990234,0.11036849021911621,15,1
DEU_LocationALower-14_96_T-1,15,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",16,15,3.361701965332031e-05,0.03764533996582031,0.035399436950683594,0.0840294361114502,12,1
DEU_LocationALower-25_155_T-1,15,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",8,7,3.1948089599609375e-05,0.03628253936767578,0.052750587463378906,0.11417245864868164,12,1
DEU_LocationALower-27_140_T-1,14,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",8,7,3.24249267578125e-05,0.03731036186218262,0.05929684638977051,0.12159299850463867,16,1
DEU_LocationALower-27_184_T-1,13,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",16,15,3.170967102050781e-05,0.03302311897277832,0.032871246337890625,0.07702398300170898,9,1
DEU_LocationALower-28_109_T-1,13,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",4,3,3.337860107421875e-05,0.027402877807617188,0.10092878341674805,0.16316652297973633,16,1
DEU_LocationALower-28_109_T-1,18,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",8,7,3.218650817871094e-05,0.03698396682739258,0.0608828067779541,0.12261199951171875,16,1
DEU_LocationALower-28_204_T-1,12,R_G1,not repairable,"{'g', 'f', 'd', '~a', 'b', 'e', 'c', 'h'}",3,2,9.512901306152344e-05,0.12074613571166992,0.15874981880187988,0.27959108352661133,7,4
DEU_LocationALower-28_228_T-1,11,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",16,15,2.956390380859375e-05,0.042752742767333984,0.029849767684936523,0.08352947235107422,7,1
DEU_LocationALower-28_252_T-1,12,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",3,2,3.170967102050781e-05,0.027279376983642578,0.0886847972869873,0.15461206436157227,12,1
DEU_LocationALower-28_252_T-1,18,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",5,4,3.1948089599609375e-05,0.02702927589416504,0.06351900100708008,0.12365436553955078,12,1
DEU_LocationALower-29_123_T-1,16,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",9,8,3.218650817871094e-05,0.03650975227355957,0.0472264289855957,0.10792708396911621,11,1
DEU_LocationALower-29_134_T-1,9,R_G1,not repairable,"{'g', 'f', 'd', '~a', 'b', 'e', 'c', 'h'}",7,6,9.703636169433594e-05,0.05635881423950195,0.14864039421081543,0.20509624481201172,11,4
DEU_LocationALower-29_192_T-1,9,R_G1,bingo,"{'g', 'f', 'e', '~c', 'h'}",8,7,3.3855438232421875e-05,0.06836104393005371,0.04172396659851074,0.13508224487304688,6,1
DEU_LocationALower-29_245_T-1,12,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",8,7,3.147125244140625e-05,0.0364832878112793,0.048397064208984375,0.1090238094329834,7,1
DEU_LocationALower-29_249_T-1,23,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",3,2,4.076957702636719e-05,0.027804136276245117,0.10724210739135742,0.17309188842773438,17,1
DEU_LocationALower-29_250_T-1,12,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",9,8,3.528594970703125e-05,0.036728620529174805,0.05450630187988281,0.11537313461303711,15,1
DEU_LocationALower-29_65_T-1,8,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",2,1,3.314018249511719e-05,0.015618324279785156,0.08031129837036133,0.13915657997131348,12,1
DEU_LocationALower-29_70_T-1,11,R_G1,not repairable,"{'g', 'f', 'd', '~a', 'b', 'e', 'c', 'h'}",2,-inf,9.036064147949219e-05,0.11516976356506348,0,0.11526012420654297,12,4
DEU_LocationALower-30_218_T-1,16,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",5,4,3.409385681152344e-05,0.026629209518432617,0.06413125991821289,0.12217855453491211,12,1
DEU_LocationALower-30_258_T-1,22,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-30_258_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-30_46_T-1,16,R_G1,not repairable,"{'g', 'f', 'd', '~a', 'b', 'e', 'c', 'h'}",5,-inf,9.083747863769531e-05,0.1804666519165039,0,0.1805574893951416,19,4
DEU_LocationALower-31_154_T-1,9,R_G1,not repairable,"{'g', 'f', 'd', '~a', 'b', 'e', 'c', 'h'}",10,-inf,8.177757263183594e-05,0.30465102195739746,0,0.3047327995300293,12,4
DEU_LocationALower-31_239_T-1,16,R_G1,not repairable,"{'g', 'f', 'd', '~a', 'b', 'e', 'c', 'h'}",4,3,9.5367431640625e-05,0.07511448860168457,0.24613595008850098,0.32134580612182617,18,4
DEU_LocationALower-31_24_T-1,13,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",16,15,3.2901763916015625e-05,0.04316425323486328,0.04032421112060547,0.09412503242492676,17,1
DEU_LocationALower-31_258_T-1,12,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",5,4,2.8371810913085938e-05,0.02242898941040039,0.060115814208984375,0.568577766418457,11,1
DEU_LocationALower-31_31_T-1,15,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",3,2,2.8133392333984375e-05,0.02675795555114746,0.07998108863830566,0.1440582275390625,7,1
DEU_LocationALower-31_47_T-1,13,R_G1,not repairable,"{'g', 'f', 'd', '~a', 'b', 'e', 'c', 'h'}",7,6,9.226799011230469e-05,0.11650204658508301,0.160203218460083,0.2767975330352783,11,4
DEU_LocationALower-32_117_T-1,17,R_G1,not repairable,"{'g', 'f', 'd', '~a', 'b', 'e', 'c', 'h'}",9,8,9.465217590332031e-05,0.11013484001159668,0.14806413650512695,0.25829362869262695,10,4
DEU_LocationALower-32_136_T-1,16,R_G1,not repairable,"{'g', 'f', 'd', '~a', 'b', 'e', 'c', 'h'}",11,-inf,8.797645568847656e-05,0.2148146629333496,0,0.21490263938903809,13,4
DEU_LocationALower-32_186_T-1,12,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",2,1,3.266334533691406e-05,0.014639139175415039,0.0660858154296875,0.12338495254516602,9,1
DEU_LocationALower-32_70_T-1,14,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",2,1,4.363059997558594e-05,0.015152215957641602,0.1256389617919922,0.18362140655517578,12,1
DEU_LocationALower-32_84_T-1,13,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",8,7,2.8371810913085938e-05,0.035788536071777344,0.04821443557739258,0.1077110767364502,7,1
DEU_LocationALower-33_120_T-1,9,R_G1,not repairable,"{'g', 'f', 'd', '~a', 'b', 'e', 'c', 'h'}",2,1,9.226799011230469e-05,0.11559247970581055,0.1645810604095459,0.28026580810546875,8,4
DEU_LocationALower-33_124_T-1,21,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_124_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_128_T-1,6,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_128_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_142_T-1,10,R_G1,not repairable,"{'g', 'f', 'd', '~a', 'b', 'e', 'c', 'h'}",5,-inf,8.440017700195312e-05,0.24523663520812988,0,0.24532103538513184,16,4
DEU_LocationALower-33_16_T-1,12,R_G1,not repairable,"{'g', 'f', 'd', '~a', 'b', 'e', 'c', 'h'}",12,-inf,0.00010037422180175781,0.23863506317138672,0,0.23873543739318848,17,4
DEU_LocationALower-33_183_T-1,25,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_183_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_219_T-1,8,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",6,5,3.504753112792969e-05,0.021216392517089844,0.03707075119018555,0.08065605163574219,5,1
DEU_LocationALower-33_228_T-1,14,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",15,14,2.4557113647460938e-05,0.043030500411987305,0.03523755073547363,0.09028863906860352,9,1
DEU_LocationALower-33_233_T-1,14,R_G1,not repairable,"{'g', 'f', 'd', '~a', 'b', 'e', 'c', 'h'}",9,8,9.703636169433594e-05,0.12330293655395508,0.1502828598022461,0.2736828327178955,11,4
DEU_LocationALower-33_261_T-1,13,R_G1,not repairable,"{'g', 'f', 'd', '~a', 'b', 'e', 'c', 'h'}",10,-inf,9.202957153320312e-05,0.36795496940612793,0,0.36804699897766113,14,4
DEU_LocationALower-33_265_T-1,22,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",11,10,2.86102294921875e-05,0.03698444366455078,0.043355703353881836,0.10023713111877441,15,1
DEU_LocationALower-33_46_T-1,17,R_G1,not repairable,"{'g', 'f', 'd', '~a', 'b', 'e', 'c', 'h'}",2,1,9.441375732421875e-05,0.08814501762390137,0.1857280731201172,0.2739675045013428,11,4
DEU_LocationALower-33_96_T-1,9,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",3,2,3.4332275390625e-05,0.027106761932373047,0.07402420043945312,0.14174675941467285,10,1
DEU_LocationALower-34_120_T-1,17,R_G1,not repairable,"{'g', 'f', 'd', '~a', 'b', 'e', 'c', 'h'}",15,-inf,9.298324584960938e-05,0.30316162109375,0,0.3032546043395996,13,4
DEU_LocationALower-34_146_T-1,14,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",4,3,2.86102294921875e-05,0.026106834411621094,0.08207082748413086,0.14455223083496094,7,1
DEU_LocationALower-34_147_T-1,16,R_G1,not repairable,"{'g', 'f', 'd', '~a', 'b', 'e', 'c', 'h'}",16,15,9.417533874511719e-05,0.07958149909973145,0.118194580078125,0.19787025451660156,9,4
DEU_LocationALower-34_163_T-1,15,R_G1,bingo,"{'g', 'f', 'e', '~c', 'h'}",10,9,2.6702880859375e-05,0.06975150108337402,0.04966855049133301,0.13988804817199707,14,1
DEU_LocationALower-34_179_T-1,15,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",12,11,3.4332275390625e-05,0.03511309623718262,0.050988197326660156,0.10306739807128906,15,1
DEU_LocationALower-34_37_T-1,9,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",2,1,3.5762786865234375e-05,0.015589714050292969,0.11999201774597168,0.17597532272338867,16,1
DEU_LocationALower-34_49_T-1,10,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",3,2,3.4809112548828125e-05,0.027474164962768555,0.07431817054748535,0.14067769050598145,8,1
DEU_LocationALower-34_96_T-1,14,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",8,7,3.314018249511719e-05,0.03771829605102539,0.04939675331115723,0.11321711540222168,9,1
DEU_LocationALower-35_126_T-1,20,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",2,1,3.528594970703125e-05,0.016819477081298828,0.08766889572143555,0.150376558303833,15,1
DEU_LocationALower-35_263_T-1,12,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",1,0,3.719329833984375e-05,0.016078472137451172,0.08929681777954102,0.1508798599243164,12,1
DEU_LocationALower-35_34_T-1,19,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",14,13,3.4809112548828125e-05,0.02856898307800293,0.04145956039428711,0.08359718322753906,12,1
DEU_LocationALower-36_113_T-1,14,R_G1,bingo,"{'g', 'f', 'e', 'a', 'h'}",9,8,3.4809112548828125e-05,0.0369105339050293,0.05327892303466797,0.1132192611694336,12,1
