scenario_id,ego_id,rule,repairability,model,TV,TC,maneuvers,SAT_time,TC_time,reach_time,total_time
DEU_LocationALower-11_102_T-1,16,R_G1,bingo,"{'a', 'f', 'g', 'e', 'h'}",9,8,[<Maneuver.BRAKE: 'brake'>],2.574920654296875e-05,0.02984142303466797,0.03996467590332031,0.09312772750854492
DEU_LocationALower-11_110_T-1,16,R_G1,bingo,"{'a', 'f', 'g', 'e', 'h'}",2,1,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.4080276489257812e-05,0.02390599250793457,0.10410499572753906,0.18561649322509766
DEU_LocationALower-11_131_T-1,18,R_G1,bingo,"{'a', 'f', 'g', 'e', 'h'}",9,8,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.0503997802734375e-05,0.044528961181640625,0.04422330856323242,0.11038851737976074
DEU_LocationALower-11_4_T-1,18,R_G1,bingo,"{'a', 'f', 'g', 'e', 'h'}",1,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.2172927856445312e-05,0.027036666870117188,0.06282258033752441,0.15133285522460938
DEU_LocationALower-11_43_T-1,17,R_G1,bingo,"{'~c', 'f', 'g', 'e', 'h'}",2,1,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>, <Maneuver.STEERLEFT: 'steer to the left'>, <Maneuver.STEERRIGHT: 'steer to the right'>]",2.193450927734375e-05,0.07338762283325195,0.05321359634399414,0.18195605278015137
DEU_LocationALower-11_56_T-1,15,R_G1,bingo,"{'a', 'f', 'g', 'e', 'h'}",1,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.1457672119140625e-05,0.024756669998168945,0.059479475021362305,0.33211779594421387
DEU_LocationALower-11_64_T-1,18,R_G1,bingo,"{'a', 'f', 'g', 'e', 'h'}",15,14,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.3365020751953125e-05,0.05283546447753906,0.040833473205566406,0.10573601722717285
DEU_LocationALower-12_109_T-1,20,R_G1,bingo,"{'a', 'f', 'g', 'e', 'h'}",8,7,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.288818359375e-05,0.04603719711303711,0.04735898971557617,0.14297175407409668
DEU_LocationALower-12_167_T-1,12,R_G1,bingo,"{'a', 'f', 'g', 'e', 'h'}",11,10,[<Maneuver.BRAKE: 'brake'>],2.002716064453125e-05,0.02764582633972168,0.03779315948486328,0.08317041397094727
DEU_LocationALower-12_217_T-1,14,R_G1,bingo,"{'a', 'f', 'g', 'e', 'h'}",6,5,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.2172927856445312e-05,0.035392045974731445,0.041543006896972656,0.1054527759552002
