scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations,jerk,,
Nr of scenarios,79,Nr of infeasible trajectories,0,0,Nr of repairable trajectories,66,0.8354,,,,,,,,
DEU_LocationALower-11_102_T-1,16,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",9,8,0.000108718872070313,0.0397179126739502,0.0741341114044189,0.139649868011475,12,1,111.853242207436,,
DEU_LocationALower-11_110_T-1,16,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",2,1,3.91006469726562E-05,0.017019510269165,0.187491178512573,0.246271848678589,19,1,183.776711984258,,
DEU_LocationALower-11_131_T-1,18,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",9,8,3.62396240234375E-05,0.038219690322876,0.0881927013397217,0.150686025619507,19,1,123.947042010799,,
DEU_LocationALower-11_4_T-1,18,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",1,0,3.09944152832031E-05,0.0165982246398926,0.137392044067383,0.202466249465942,13,1,170.83285613018,,
DEU_LocationALower-11_43_T-1,17,R_G1,bingo,"{'d', 'b', '~g', 'a', 'c'}",4,3,4.22000885009766E-05,0.0876681804656982,0.0953304767608643,0.219594478607178,13,1,66.9707685217928,,
DEU_LocationALower-11_56_T-1,15,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",1,0,3.33786010742187E-05,0.0162413120269775,0.12982702255249,0.19437575340271,12,1,173.885339629447,,
DEU_LocationALower-11_64_T-1,18,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",15,14,3.48091125488281E-05,0.0455858707427979,0.057833194732666,0.116570949554443,15,1,106.675342438831,,
DEU_LocationALower-12_109_T-1,20,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",8,7,2.93254852294922E-05,0.0368969440460205,0.0908143520355225,0.153187990188599,20,1,108.988099031581,,
DEU_LocationALower-12_167_T-1,12,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",11,10,3.55243682861328E-05,0.0322926044464111,0.0661106109619141,0.11911153793335,15,1,112.045317247067,,
DEU_LocationALower-12_217_T-1,14,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",6,5,3.69548797607422E-05,0.0308864116668701,0.0773673057556152,0.14380145072937,10,1,108.750423251165,,
DEU_LocationALower-12_52_T-1,26,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",7,6,3.69548797607422E-05,0.0418691635131836,0.0883553028106689,0.158562660217285,18,1,107.360531720223,,
DEU_LocationALower-13_162_T-1,21,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",10,9,4.76837158203125E-05,0.0367207527160645,0.0630114078521729,0.121517658233643,15,1,108.507649511436,,
DEU_LocationALower-13_167_T-1,17,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",2,1,3.57627868652344E-05,0.0181348323822021,0.128474950790405,0.19066047668457,13,1,178.133844100229,,
