scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations
DEU_LocationALower-11_102_T-1,16,R_G1,initial feasibility
DEU_LocationALower-11_110_T-1,16,R_G1,bingo,{'a'},8,7,5.030632019042969e-05,0.040747880935668945,0.06876564025878906,0.13692116737365723,19,1
DEU_LocationALower-11_131_T-1,18,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",9,8,8.487701416015625e-05,0.1235191822052002,0.15440773963928223,0.2780117988586426,19,4
DEU_LocationALower-11_4_T-1,18,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",6,5,8.0108642578125e-05,0.3591606616973877,0.1340620517730713,0.4933028221130371,13,4
DEU_LocationALower-11_43_T-1,17,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",4,1,7.033348083496094e-05,0.161362886428833,0.10164475440979004,0.263077974319458,13,4
DEU_LocationALower-11_56_T-1,15,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",14,13,8.058547973632812e-05,0.14697670936584473,0.11400747299194336,0.2610647678375244,12,4
DEU_LocationALower-11_64_T-1,18,R_G1,bingo,{'a'},15,14,1.6689300537109375e-05,0.03701972961425781,0.04230332374572754,0.09131860733032227,15,1
DEU_LocationALower-12_109_T-1,20,R_G1,bingo,{'a'},19,18,1.7881393432617188e-05,0.03396344184875488,0.03806114196777344,0.07918000221252441,20,1
DEU_LocationALower-12_167_T-1,12,R_G1,initial feasibility
DEU_LocationALower-12_217_T-1,14,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",17,16,7.200241088867188e-05,0.14765143394470215,0.0921177864074707,0.23984122276306152,10,4
DEU_LocationALower-12_52_T-1,26,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",7,6,7.414817810058594e-05,0.29284048080444336,0.14767670631408691,0.44059133529663086,18,4
DEU_LocationALower-13_162_T-1,21,R_G1,bingo,{'a'},17,16,1.7881393432617188e-05,0.0374913215637207,0.03469705581665039,0.08196783065795898,15,1
DEU_LocationALower-13_167_T-1,17,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",8,7,7.2479248046875e-05,0.1917588710784912,0.12003540992736816,0.31186676025390625,13,4
DEU_LocationALower-13_168_T-1,12,R_G1,bingo,{'~c'},15,14,1.8596649169921875e-05,0.18495702743530273,0.03740072250366211,0.23467755317687988,11,1
DEU_LocationALower-13_214_T-1,21,R_G1,bingo,{'~c'},16,15,2.0742416381835938e-05,0.13536548614501953,0.03623342514038086,0.18235540390014648,15,1
DEU_LocationALower-13_239_T-1,18,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",14,13,6.532669067382812e-05,0.17449069023132324,0.12979507446289062,0.3043510913848877,13,4
DEU_LocationALower-13_241_T-1,20,R_G1,bingo,{'a'},18,17,2.0742416381835938e-05,0.03686833381652832,0.03729724884033203,0.08237862586975098,14,1
DEU_LocationALower-13_247_T-1,15,R_G1,bingo,"{'a', 'c'}",8,7,4.0531158447265625e-05,0.23741364479064941,0.046231746673583984,0.3088068962097168,9,2
DEU_LocationALower-13_29_T-1,18,R_G1,bingo,{'a'},19,18,1.8358230590820312e-05,0.03388547897338867,0.036165714263916016,0.07718443870544434,18,1
DEU_LocationALower-13_56_T-1,10,R_G1,bingo,{'a'},13,12,2.1219253540039062e-05,0.030040979385375977,0.046184539794921875,0.09118890762329102,14,1
DEU_LocationALower-13_82_T-1,17,R_G1,initial feasibility
DEU_LocationALower-14_14_T-1,13,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",1,0,7.319450378417969e-05,0.06869363784790039,0.1698923110961914,0.23865914344787598,16,4
DEU_LocationALower-14_161_T-1,21,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",15,14,7.367134094238281e-05,0.14782333374023438,0.11770820617675781,0.26560521125793457,17,4
DEU_LocationALower-14_219_T-1,12,R_G1,bingo,{'a'},8,7,2.09808349609375e-05,0.0324101448059082,0.0576167106628418,0.1144564151763916,14,1
DEU_LocationALower-14_247_T-1,16,R_G1,bingo,{'a'},13,12,1.8596649169921875e-05,0.029366254806518555,0.04557490348815918,0.08945226669311523,16,1
DEU_LocationALower-14_252_T-1,12,R_G1,bingo,{'a'},18,17,2.0742416381835938e-05,0.033597707748413086,0.03324580192565918,0.07523560523986816,10,1
DEU_LocationALower-14_255_T-1,11,R_G1,bingo,{'~c'},11,8,1.8596649169921875e-05,0.1060173511505127,0.06537699699401855,0.1965341567993164,20,1
DEU_LocationALower-14_39_T-1,15,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",14,13,7.62939453125e-05,0.14880681037902832,0.12234687805175781,0.27122998237609863,15,4
DEU_LocationALower-14_96_T-1,15,R_G1,initial feasibility
DEU_LocationALower-25_155_T-1,15,R_G1,bingo,{'a'},11,10,1.7881393432617188e-05,0.0300290584564209,0.044515371322631836,0.09290480613708496,12,1
DEU_LocationALower-27_140_T-1,14,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",8,7,7.295608520507812e-05,0.1928870677947998,0.15469908714294434,0.3476591110229492,16,4
DEU_LocationALower-27_184_T-1,13,R_G1,initial feasibility
DEU_LocationALower-28_109_T-1,13,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",11,10,7.367134094238281e-05,0.16434097290039062,0.1463308334350586,0.3107454776763916,16,4
DEU_LocationALower-28_109_T-1,18,R_G1,bingo,{'a'},9,8,2.193450927734375e-05,0.03141069412231445,0.05798625946044922,0.11216139793395996,16,1
DEU_LocationALower-28_204_T-1,12,R_G1,bingo,"{'a', 'c'}",3,2,4.124641418457031e-05,0.26236653327941895,0.05099177360534668,0.3519294261932373,7,2
DEU_LocationALower-28_228_T-1,11,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",17,16,6.67572021484375e-05,0.30471181869506836,0.08655190467834473,0.3913304805755615,7,4
DEU_LocationALower-28_252_T-1,12,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",12,11,6.580352783203125e-05,0.08049964904785156,0.1093287467956543,0.1898941993713379,12,4
DEU_LocationALower-28_252_T-1,18,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",16,15,7.295608520507812e-05,0.13535451889038086,0.10017776489257812,0.23560523986816406,12,4
DEU_LocationALower-29_123_T-1,16,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",9,8,6.723403930664062e-05,0.14160370826721191,0.11839938163757324,0.2600703239440918,11,4
DEU_LocationALower-29_134_T-1,9,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",7,6,6.937980651855469e-05,0.10759711265563965,0.1126258373260498,0.220292329788208,11,4
DEU_LocationALower-29_192_T-1,9,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",17,15,7.271766662597656e-05,0.24048066139221191,0.05663776397705078,0.29719114303588867,6,4
DEU_LocationALower-29_245_T-1,12,R_G1,bingo,{'a'},19,18,1.7404556274414062e-05,0.03333449363708496,0.031531333923339844,0.0720057487487793,7,1
DEU_LocationALower-29_249_T-1,23,R_G1,bingo,{'a'},15,14,2.2172927856445312e-05,0.036535024642944336,0.041954755783081055,0.09022259712219238,17,1
DEU_LocationALower-29_250_T-1,12,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",9,8,7.343292236328125e-05,0.13103508949279785,0.13882160186767578,0.2699301242828369,15,4
DEU_LocationALower-29_65_T-1,8,R_G1,bingo,{'a'},17,16,2.1696090698242188e-05,0.03540611267089844,0.035604238510131836,0.08039450645446777,12,1
DEU_LocationALower-29_70_T-1,11,R_G1,bingo,{'a'},3,2,2.09808349609375e-05,0.023336172103881836,0.07665562629699707,0.13783812522888184,12,1
DEU_LocationALower-30_218_T-1,16,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",13,12,7.891654968261719e-05,0.14957022666931152,0.1183316707611084,0.26798081398010254,12,4
DEU_LocationALower-30_258_T-1,22,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-30_258_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-30_46_T-1,16,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",6,5,7.319450378417969e-05,0.14052796363830566,0.17882704734802246,0.3194282054901123,19,4
DEU_LocationALower-31_154_T-1,9,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",10,9,7.152557373046875e-05,0.18666672706604004,0.10629105567932129,0.2930293083190918,12,4
DEU_LocationALower-31_239_T-1,16,R_G1,bingo,{'~c'},15,14,1.8835067749023438e-05,0.1255965232849121,0.046506643295288086,0.1845095157623291,18,1
DEU_LocationALower-31_24_T-1,13,R_G1,bingo,{'a'},18,17,1.9073486328125e-05,0.03429603576660156,0.04053354263305664,0.08306503295898438,17,1
DEU_LocationALower-31_258_T-1,12,R_G1,initial feasibility
DEU_LocationALower-31_31_T-1,15,R_G1,bingo,{'a'},17,16,2.1696090698242188e-05,0.03375959396362305,0.02935314178466797,0.07244563102722168,7,1
DEU_LocationALower-31_47_T-1,13,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",7,6,7.390975952148438e-05,0.3221933841705322,0.08032679557800293,0.40259408950805664,11,4
DEU_LocationALower-32_117_T-1,17,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",12,11,7.224082946777344e-05,0.35816526412963867,0.11439776420593262,0.47263526916503906,10,4
DEU_LocationALower-32_136_T-1,16,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-32_186_T-1,12,R_G1,bingo,{'a'},10,9,1.7881393432617188e-05,0.030609846115112305,0.04037666320800781,0.09138345718383789,9,1
DEU_LocationALower-32_70_T-1,14,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",15,14,7.486343383789062e-05,0.15416693687438965,0.11182475090026855,0.2660665512084961,12,4
DEU_LocationALower-32_84_T-1,13,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",8,7,7.176399230957031e-05,0.12658381462097168,0.10309505462646484,0.2297506332397461,7,4
DEU_LocationALower-33_120_T-1,9,R_G1,bingo,"{'a', 'c'}",2,1,3.8623809814453125e-05,0.20689964294433594,0.055533409118652344,0.30292320251464844,8,2
DEU_LocationALower-33_124_T-1,21,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_124_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_128_T-1,6,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_128_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_142_T-1,10,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",5,4,7.390975952148438e-05,0.25003886222839355,0.13605475425720215,0.3861675262451172,16,4
DEU_LocationALower-33_16_T-1,12,R_G1,bingo,{'a'},12,11,1.8835067749023438e-05,0.028125762939453125,0.05196332931518555,0.09697651863098145,17,1
DEU_LocationALower-33_183_T-1,25,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_183_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
