scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations,
Nr of scenarios,96,Nr of infeasible trajectories,9,0.0938,Nr of repairable trajectories,64,0.7356,,,,,,
DEU_LocationALower-11_110_T-1,16,R_G1,bingo,{'a'},8,7,6.69956207275391E-05,0.043412446975708,0.0654964447021484,0.137094020843506,19,1,
DEU_LocationALower-11_131_T-1,18,R_G1,bingo,{'a'},9,8,2.40802764892578E-05,0.0320696830749512,0.0566174983978272,0.111284971237183,19,1,
DEU_LocationALower-11_4_T-1,18,R_G1,bingo,{'a'},6,5,2.05039978027344E-05,0.0231211185455322,0.0660877227783203,0.118713617324829,13,1,
DEU_LocationALower-11_43_T-1,17,R_G1,bingo,{'~c'},2,1,2.74181365966797E-05,0.0650863647460938,0.0748136043548584,0.194316625595093,13,1,
DEU_LocationALower-11_64_T-1,18,R_G1,bingo,{'a'},15,14,2.50339508056641E-05,0.0372118949890137,0.0414905548095703,0.0909514427185059,15,1,
DEU_LocationALower-12_109_T-1,20,R_G1,bingo,{'a'},19,18,2.6702880859375E-05,0.0347144603729248,0.0372295379638672,0.0791332721710205,20,1,
DEU_LocationALower-12_217_T-1,14,R_G1,bingo,{'a'},17,16,2.71797180175781E-05,0.036491870880127,0.0319969654083252,0.0777788162231445,10,1,
DEU_LocationALower-13_162_T-1,21,R_G1,bingo,{'a'},17,16,2.93254852294922E-05,0.0364043712615967,0.0341906547546387,0.0802147388458252,15,1,
DEU_LocationALower-13_168_T-1,12,R_G1,bingo,{'~c'},15,14,2.57492065429687E-05,0.184579133987427,0.0327680110931396,0.229834318161011,11,1,
DEU_LocationALower-13_214_T-1,21,R_G1,bingo,{'~c'},16,15,2.69412994384766E-05,0.13473105430603,0.0339665412902832,0.179943561553955,15,1,
DEU_LocationALower-13_239_T-1,18,R_G1,bingo,{'a'},14,13,2.69412994384766E-05,0.0295276641845703,0.0399250984191895,0.0827960968017578,13,1,
DEU_LocationALower-13_247_T-1,15,R_G1,bingo,"{'a', 'c'}",8,7,3.79085540771484E-05,0.237536907196045,0.0466001033782959,0.309455394744873,9,2,
DEU_LocationALower-13_29_T-1,18,R_G1,bingo,{'a'},19,18,2.78949737548828E-05,0.0348007678985596,0.0344099998474121,0.0764243602752686,18,1,
DEU_LocationALower-13_56_T-1,10,R_G1,bingo,{'a'},13,12,2.74181365966797E-05,0.0305941104888916,0.0453286170959473,0.0907955169677734,14,1,
DEU_LocationALower-14_14_T-1,13,R_G1,bingo,{'a'},1,0,2.78949737548828E-05,0.0141599178314209,0.112123727798462,0.17202615737915,16,1,
DEU_LocationALower-14_161_T-1,21,R_G1,bingo,{'a'},15,14,2.83718109130859E-05,0.0367536544799805,0.0374922752380371,0.0864660739898682,17,1,
DEU_LocationALower-14_247_T-1,16,R_G1,bingo,{'a'},13,12,2.98023223876953E-05,0.0298788547515869,0.0404391288757324,0.0849487781524658,16,1,
DEU_LocationALower-14_252_T-1,12,R_G1,bingo,{'a'},18,17,2.6702880859375E-05,0.03421950340271,0.0291965007781982,0.0718014240264893,10,1,
DEU_LocationALower-14_255_T-1,11,R_G1,bingo,{'~c'},11,8,2.71797180175781E-05,0.121844053268433,0.0652608871459961,0.211996078491211,20,1,
DEU_LocationALower-14_39_T-1,15,R_G1,bingo,{'a'},14,13,2.76565551757812E-05,0.031400203704834,0.0411367416381836,0.0859167575836182,15,1,
DEU_LocationALower-25_155_T-1,15,R_G1,bingo,{'a'},11,10,2.74181365966797E-05,0.0309028625488281,0.0420601367950439,0.0919694900512695,12,1,
DEU_LocationALower-27_140_T-1,14,R_G1,bingo,{'a'},8,7,2.71797180175781E-05,0.0325376987457275,0.0621931552886963,0.119447469711304,16,1,
DEU_LocationALower-28_109_T-1,13,R_G1,bingo,{'a'},11,10,2.88486480712891E-05,0.0307555198669434,0.0537285804748535,0.10286283493042,16,1,
DEU_LocationALower-28_109_T-1,18,R_G1,bingo,{'a'},9,8,2.78949737548828E-05,0.0318977832794189,0.0586602687835693,0.113561630249023,16,1,
DEU_LocationALower-28_204_T-1,12,R_G1,bingo,"{'a', 'c'}",3,2,3.95774841308594E-05,0.218519687652588,0.0465595722198486,0.303225517272949,7,2,
DEU_LocationALower-28_228_T-1,11,R_G1,bingo,{'a'},17,16,2.69412994384766E-05,0.0376532077789307,0.0299100875854492,0.0770385265350342,7,1,
DEU_LocationALower-28_252_T-1,12,R_G1,bingo,{'a'},12,11,2.74181365966797E-05,0.0298783779144287,0.0413491725921631,0.0879368782043457,12,1,
DEU_LocationALower-28_252_T-1,18,R_G1,bingo,{'a'},16,15,2.64644622802734E-05,0.037569522857666,0.0341644287109375,0.0824730396270752,12,1,
DEU_LocationALower-29_123_T-1,16,R_G1,bingo,{'a'},9,8,2.26497650146484E-05,0.0308196544647217,0.0440304279327393,0.0972628593444824,11,1,
DEU_LocationALower-29_249_T-1,23,R_G1,bingo,{'a'},15,14,2.69412994384766E-05,0.0375382900238037,0.0393960475921631,0.0890741348266602,17,1,
DEU_LocationALower-29_250_T-1,12,R_G1,bingo,{'a'},9,8,2.81333923339844E-05,0.0334122180938721,0.0540528297424316,0.110350131988525,15,1,
DEU_LocationALower-30_218_T-1,16,R_G1,bingo,{'a'},13,12,2.64644622802734E-05,0.0289404392242432,0.0387527942657471,0.0825200080871582,12,1,
DEU_LocationALower-31_239_T-1,16,R_G1,bingo,{'~c'},15,14,2.88486480712891E-05,0.122089385986328,0.0408461093902588,0.175588369369507,18,1,
