scenario_id,ego_id,rule_STL
DEU_AachenBendplatz-1_83420_T-3439,10259,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_83420_T-3439,10262,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_171820_T-1839,10136,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_75140_T-5159,10203,R_IN1,"[ 1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_121920_T-1939,10102,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_1180_T-99,10011,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1. -1.]"
DEU_AachenBendplatz-1_141980_T-1999,10120,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenFrankenburg-1_201060_T-1079,10102,R_IN4,"[ 1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.  1.
  1.  1.]"
DEU_AachenFrankenburg-1_223180_T-3199,10294,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_121240_T-1259,10057,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_91260_T-1279,10075,R_IN1,"[ 1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_14580_T-599,10038,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_102400_T-2419,10153,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_101860_T-1879,10108,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1. -1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_13840_T-859,10063,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_132180_T-2199,10157,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_132180_T-2199,10158,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_173940_T-3959,10281,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_125600_T-5619,10371,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1.]"
