scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time
DEU_AachenBendplatz-1_155320_T-5339,10335,R_IN1,bingo,"{'~a', '~e', 'b'}",3,0,3.67164611816406E-05,0.0226593017578125,0.0290074348449707,0.0732979774475098
DEU_AachenBendplatz-1_75140_T-5159,10203,R_IN1,bingo,"{'~a', 'b'}",1,0,2.95639038085937E-05,0.0106556415557861,0.0298235416412354,0.0842156410217285
DEU_AachenBendplatz-1_171600_T-1619,10125,R_IN1,bingo,"{'~a', '~e', 'b'}",2,0,3.60012054443359E-05,0.0174360275268555,0.0307505130767822,0.0862522125244141
DEU_AachenBendplatz-1_124700_T-4719,10320,R_IN1,bingo,"{'~a', '~e', 'b'}",2,0,3.57627868652344E-05,0.0206179618835449,0.0307316780090332,0.0923185348510742
DEU_AachenBendplatz-1_12700_T-719,10035,R_IN1,bingo,"{'~a', 'b'}",4,0,2.38418579101562E-05,0.0280215740203857,0.0392930507659912,0.0927214622497559
DEU_AachenFrankenburg-1_184060_T-4079,10290,R_IN4,bingo,"{'~j', '~d', '~n'}",1,0,1.93119049072266E-05,0.0265572071075439,0.0398414134979248,0.093106746673584
DEU_AachenBendplatz-1_162800_T-2819,10214,R_IN1,bingo,"{'~a', '~e', 'b'}",4,0,3.62396240234375E-05,0.0305204391479492,0.0420172214508057,0.0978491306304932
DEU_AachenBendplatz-1_16640_T-659,10046,R_IN4,bingo,"{'~j', '~d', '~n', '~e', '~f'}",1,0,2.95639038085937E-05,0.029059886932373,0.0463085174560547,0.100053787231445
DEU_AachenBendplatz-1_134900_T-4919,10351,R_IN1,bingo,"{'~a', 'b'}",5,0,2.52723693847656E-05,0.0387763977050781,0.0547075271606445,0.119230031967163
DEU_AachenBendplatz-1_145000_T-5019,10367,R_IN4,bingo,"{'~j', '~n'}",6,0,1.76429748535156E-05,0.0589478015899658,0.0488388538360596,0.130539178848267
DEU_AachenBendplatz-1_172260_T-2279,10176,R_IN1,bingo,"{'~a', '~e', 'b'}",4,0,3.76701354980469E-05,0.0343019962310791,0.0539402961730957,0.13491678237915
DEU_AachenBendplatz-1_102160_T-2179,10126,R_IN4,bingo,"{'~o', '~j', 'n', '~i', '~g', '~h'}",7,0,3.83853912353516E-05,0.13451075553894,0.0601682662963867,0.22254753112793
DEU_AachenBendplatz-1_165100_T-5119,10371,R_IN4,bingo,"{'~o', '~j', '~d', 'n', '~e', '~f'}",11,0,3.74317169189453E-05,0.182440757751465,0.0417938232421875,0.244947910308838
DEU_AachenBendplatz-1_121080_T-1099,10056,R_IN1,bingo,"{'~a', 'b'}",2,1,2.47955322265625E-05,0.00929403305053711,0.029404878616333,0.0592336654663086
