scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations
DEU_AachenBendplatz-1_155320_T-5339,10335,R_IN1,bingo,"{'~a', '~e', 'b'}",3,0,[<Maneuver.BRAKE: 'brake'>],0.00014495849609375,0.0005095005035400391,0.04886174201965332,0.07784438133239746,10,3
DEU_AachenBendplatz-1_75140_T-5159,10203,R_IN1,bingo,"{'~a', 'b'}",1,0,[<Maneuver.BRAKE: 'brake'>],4.553794860839844e-05,0.0001354217529296875,0.043115854263305664,0.0646657943725586,9,2
scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations
DEU_AachenBendplatz-1_155320_T-5339,10335,R_IN1,bingo,"{'b', '~a', '~e'}",3,0,[<Maneuver.BRAKE: 'brake'>],0.00012803077697753906,0.0004076957702636719,0.046395301818847656,0.08327531814575195,10,3
DEU_AachenBendplatz-1_75140_T-5159,10203,R_IN1,bingo,"{'b', '~a'}",1,0,[<Maneuver.BRAKE: 'brake'>],4.6253204345703125e-05,0.00016546249389648438,0.048811912536621094,0.07074618339538574,9,2
DEU_AachenBendplatz-1_171600_T-1619,10125,R_IN1,bingo,"{'b', '~a', '~e'}",2,0,[<Maneuver.BRAKE: 'brake'>],6.318092346191406e-05,0.0002009868621826172,0.05219316482543945,0.07505464553833008,11,3
DEU_AachenBendplatz-1_124700_T-4719,10320,R_IN1,bingo,"{'b', '~a', '~e'}",2,0,[<Maneuver.BRAKE: 'brake'>],4.553794860839844e-05,0.00012040138244628906,0.043762922286987305,0.2910616397857666,6,3
DEU_AachenBendplatz-1_12700_T-719,10035,R_IN1,bingo,"{'b', '~a'}",4,0,[<Maneuver.BRAKE: 'brake'>],4.6253204345703125e-05,0.0001285076141357422,0.05660128593444824,0.08371758460998535,5,2
DEU_AachenFrankenburg-1_184060_T-4079,10290,R_IN4,bingo,"{'~j', '~n', '~d'}",1,0,[<Maneuver.BRAKE: 'brake'>],2.9087066650390625e-05,9.441375732421875e-05,0.059693336486816406,0.08691859245300293,20,1
DEU_AachenBendplatz-1_162800_T-2819,10214,R_IN1,bingo,"{'b', '~a', '~e'}",4,0,[<Maneuver.BRAKE: 'brake'>],5.078315734863281e-05,0.0001266002655029297,0.05533576011657715,0.08162212371826172,7,3
DEU_AachenBendplatz-1_16640_T-659,10046,R_IN4,bingo,"{'~j', '~n', '~d', '~f', '~e'}",1,0,[<Maneuver.BRAKE: 'brake'>],2.3126602172851562e-05,0.0001285076141357422,0.06859397888183594,0.09568572044372559,10,1
DEU_AachenBendplatz-1_134900_T-4919,10351,R_IN1,bingo,"{'b', '~a'}",5,0,[<Maneuver.BRAKE: 'brake'>],3.910064697265625e-05,0.00013256072998046875,0.07060837745666504,0.09702777862548828,10,2
DEU_AachenBendplatz-1_145000_T-5019,10367,R_IN4,bingo,"{'~j', '~n'}",6,0,[<Maneuver.BRAKE: 'brake'>],3.147125244140625e-05,0.00011396408081054688,0.07112383842468262,0.09364771842956543,10,1
DEU_AachenBendplatz-1_172260_T-2279,10176,R_IN1,bingo,"{'b', '~a', '~e'}",4,0,[<Maneuver.BRAKE: 'brake'>],4.887580871582031e-05,0.00012159347534179688,0.07061767578125,0.09927248954772949,10,3
DEU_AachenBendplatz-1_102160_T-2179,10126,R_IN4,bingo,"{'~j', '~n'}",7,0,[<Maneuver.BRAKE: 'brake'>],2.5272369384765625e-05,8.916854858398438e-05,0.08602690696716309,0.1127939224243164,13,1
DEU_AachenBendplatz-1_165100_T-5119,10371,R_IN4,bingo,"{'~j', '~n'}",11,0,[<Maneuver.BRAKE: 'brake'>],2.7418136596679688e-05,0.0001068115234375,0.05292391777038574,0.07427501678466797,10,1
DEU_AachenBendplatz-1_121080_T-1099,10056,R_IN1,bingo,"{'b', '~a'}",2,0,[<Maneuver.BRAKE: 'brake'>],3.814697265625e-05,0.0001201629638671875,0.0435640811920166,0.06562423706054688,8,2
DEU_AachenBendplatz-1_123940_T-3959,10258,R_IN1,bingo,"{'b', '~a'}",4,0,[<Maneuver.BRAKE: 'brake'>],4.315376281738281e-05,0.00011014938354492188,0.05738568305969238,0.08644986152648926,8,2
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN1,bingo,"{'b', '~a'}",3,0,[<Maneuver.BRAKE: 'brake'>],4.38690185546875e-05,0.00014972686767578125,0.04486680030822754,0.06610989570617676,10,2
DEU_AachenBendplatz-1_85160_T-5179,10405,R_IN1,bingo,"{'b', '~a', '~e'}",3,0,[<Maneuver.BRAKE: 'brake'>],4.863739013671875e-05,0.00013113021850585938,0.0390927791595459,0.06054425239562988,7,3
DEU_AachenBendplatz-1_141540_T-1559,10095,R_IN1,bingo,"{'b', '~a'}",5,0,[<Maneuver.BRAKE: 'brake'>],3.814697265625e-05,0.00012969970703125,0.057122230529785156,0.08350491523742676,7,2
DEU_AachenBendplatz-1_91260_T-1279,10075,R_IN1,bingo,"{'b', '~a'}",5,0,[<Maneuver.BRAKE: 'brake'>],3.695487976074219e-05,9.989738464355469e-05,0.0717463493347168,0.09912967681884766,9,2
DEU_AachenBendplatz-1_91280_T-1299,10079,R_IN1,bingo,"{'b', '~a'}",5,0,[<Maneuver.BRAKE: 'brake'>],3.743171691894531e-05,0.00010418891906738281,0.06669735908508301,0.09597635269165039,10,2
DEU_AachenBendplatz-1_85140_T-5159,10407,R_IN1,bingo,"{'b', '~a'}",5,0,[<Maneuver.BRAKE: 'brake'>],4.100799560546875e-05,0.00013184547424316406,0.0711526870727539,0.10192584991455078,7,2
DEU_AachenBendplatz-1_13540_T-559,10040,R_IN1,bingo,"{'b', '~a'}",5,0,[<Maneuver.BRAKE: 'brake'>],4.220008850097656e-05,9.894371032714844e-05,0.07171416282653809,0.10354280471801758,11,2
DEU_AachenBendplatz-1_154520_T-4539,10285,R_IN1,bingo,"{'b', '~a'}",4,0,[<Maneuver.BRAKE: 'brake'>],3.7670135498046875e-05,0.00010466575622558594,0.06981968879699707,0.09874248504638672,6,2
DEU_AachenBendplatz-1_93520_T-3539,10208,R_IN1,bingo,"{'b', '~a'}",6,0,[<Maneuver.BRAKE: 'brake'>],3.910064697265625e-05,0.00011205673217773438,0.07594990730285645,0.10666704177856445,6,2
DEU_AachenBendplatz-1_143020_T-3039,10228,R_IN1,bingo,"{'b', '~a', '~e'}",4,0,[<Maneuver.BRAKE: 'brake'>],5.221366882324219e-05,0.00012612342834472656,0.03969621658325195,0.06198596954345703,5,3
DEU_AachenBendplatz-1_132600_T-2619,10185,R_IN1,bingo,"{'b', '~a'}",7,0,[<Maneuver.BRAKE: 'brake'>],3.719329833984375e-05,0.00011515617370605469,0.07145953178405762,0.1008901596069336,10,2
DEU_AachenBendplatz-1_11500_T-519,10043,R_IN1,bingo,"{'b', '~a'}",6,0,[<Maneuver.BRAKE: 'brake'>],3.695487976074219e-05,0.00010156631469726562,0.07364416122436523,0.10503292083740234,9,2
DEU_AachenBendplatz-1_124040_T-4059,10264,R_IN1,bingo,"{'b', '~a'}",6,0,[<Maneuver.BRAKE: 'brake'>],3.886222839355469e-05,0.00010895729064941406,0.07014632225036621,0.09721922874450684,8,2
DEU_AachenBendplatz-1_113780_T-3799,10256,R_IN1,bingo,"{'b', '~a'}",7,0,[<Maneuver.BRAKE: 'brake'>],3.695487976074219e-05,0.00010275840759277344,0.071319580078125,0.10152983665466309,8,2
DEU_AachenBendplatz-1_16700_T-719,10046,R_IN4,bingo,"{'~j', '~n'}",9,0,[<Maneuver.BRAKE: 'brake'>],2.6226043701171875e-05,0.00010037422180175781,0.08907079696655273,0.11985278129577637,9,1
