Nr of scenarios,111,Nr of infeasible trajectories,0,0,Nr of repairable trajectories,110,0.991,,,,,,,,
DEU_AachenBendplatz-1_155320_T-5339,10335,R_IN1,bingo,"{'~a', '~e', 'b'}",3,0,[<Maneuver.BRAKE: 'brake'>],7.82012939453125E-05,0.0002593994140625,0.0470349788665772,0.0709242820739746,10,3,13.5928089220047,
DEU_AachenBendplatz-1_75140_T-5159,10203,R_IN1,bingo,"{'~a', 'b'}",1,0,[<Maneuver.BRAKE: 'brake'>],3.93390655517578E-05,0.000148296356201172,0.0414273738861084,0.062880277633667,9,2,29.5638432249105,
DEU_AachenBendplatz-1_171600_T-1619,10125,R_IN1,bingo,"{'~a', '~e', 'b'}",2,0,[<Maneuver.BRAKE: 'brake'>],5.41210174560547E-05,0.000185966491699219,0.0431733131408691,0.0662136077880859,11,3,35.5734719073374,
DEU_AachenBendplatz-1_124700_T-4719,10320,R_IN1,bingo,"{'~a', '~e', 'b'}",2,0,[<Maneuver.BRAKE: 'brake'>],5.69820404052734E-05,0.000156402587890625,0.043083667755127,0.0661747455596924,6,3,31.5796622471535,
DEU_AachenBendplatz-1_12700_T-719,10035,R_IN1,bingo,"{'~a', 'b'}",4,0,[<Maneuver.BRAKE: 'brake'>],4.00543212890625E-05,0.000133514404296875,0.049083948135376,0.07668137550354,5,2,143.704658670839,
DEU_AachenBendplatz-1_162800_T-2819,10214,R_IN1,bingo,"{'~a', '~e', 'b'}",4,0,[<Maneuver.BRAKE: 'brake'>],5.340576171875E-05,0.000129938125610352,0.0578398704528809,0.0845327377319336,7,3,129.528660359402,
DEU_AachenBendplatz-1_134900_T-4919,10351,R_IN1,bingo,"{'~a', 'b'}",5,0,[<Maneuver.BRAKE: 'brake'>],3.71932983398437E-05,0.000154972076416016,0.0738704204559326,0.102289438247681,10,2,80.0687365214565,
DEU_AachenBendplatz-1_172260_T-2279,10176,R_IN1,bingo,"{'~a', '~e', 'b'}",4,0,[<Maneuver.BRAKE: 'brake'>],5.93662261962891E-05,0.0001678466796875,0.0756297111511231,0.105029582977295,10,3,105.640961314226,
DEU_AachenBendplatz-1_121080_T-1099,10056,R_IN1,bingo,"{'~a', 'b'}",2,0,[<Maneuver.BRAKE: 'brake'>],3.67164611816406E-05,0.000113248825073242,0.0444064140319824,0.0667791366577148,8,2,3.53847765962965,
DEU_AachenBendplatz-1_123940_T-3959,10258,R_IN1,bingo,"{'~a', 'b'}",4,0,[<Maneuver.BRAKE: 'brake'>],3.67164611816406E-05,0.000100374221801758,0.0604279041290283,0.0881664752960205,8,2,138.744269526864,
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN1,bingo,"{'~a', 'b'}",3,0,[<Maneuver.BRAKE: 'brake'>],3.814697265625E-05,0.000138759613037109,0.046499490737915,0.0688738822937012,10,2,12.2331773095378,
DEU_AachenBendplatz-1_85160_T-5179,10405,R_IN1,bingo,"{'~a', '~e', 'b'}",3,0,[<Maneuver.BRAKE: 'brake'>],5.22136688232422E-05,0.000146389007568359,0.0400922298431397,0.0627338886260986,7,3,22.0298097515175,
DEU_AachenBendplatz-1_141540_T-1559,10095,R_IN1,bingo,"{'~a', 'b'}",5,0,[<Maneuver.BRAKE: 'brake'>],3.62396240234375E-05,9.67979431152344E-05,0.063438892364502,0.0915915966033936,7,2,114.37756469778,
DEU_AachenBendplatz-1_91260_T-1279,10075,R_IN1,bingo,"{'~a', 'b'}",5,0,[<Maneuver.BRAKE: 'brake'>],3.88622283935547E-05,0.000118494033813477,0.0778820514678955,0.107256650924683,9,2,110.146895822521,
DEU_AachenBendplatz-1_91280_T-1299,10079,R_IN1,bingo,"{'~a', 'b'}",5,0,[<Maneuver.BRAKE: 'brake'>],4.38690185546875E-05,0.000135421752929688,0.070270299911499,0.100119352340698,10,2,127.874348196051,
DEU_AachenBendplatz-1_85140_T-5159,10407,R_IN1,bingo,"{'~a', 'b'}",5,0,[<Maneuver.BRAKE: 'brake'>],4.10079956054688E-05,0.000102996826171875,0.0719311237335205,0.10269021987915,7,2,135.224307671038,
DEU_AachenBendplatz-1_13540_T-559,10040,R_IN1,bingo,"{'~a', 'b'}",5,0,[<Maneuver.BRAKE: 'brake'>],3.88622283935547E-05,0.000117778778076172,0.0873105525970459,0.117906093597412,11,2,111.562805149393,
DEU_AachenBendplatz-1_154520_T-4539,10285,R_IN1,bingo,"{'~a', 'b'}",4,0,[<Maneuver.BRAKE: 'brake'>],4.31537628173828E-05,0.000147342681884766,0.082134485244751,0.112757444381714,6,2,142.019402059592,
DEU_AachenBendplatz-1_93520_T-3539,10208,R_IN1,bingo,"{'~a', 'b'}",6,0,[<Maneuver.BRAKE: 'brake'>],0.0000457763671875,0.000161170959472656,0.0834424495697022,0.116745471954346,6,2,149.196403661094,
DEU_AachenBendplatz-1_143020_T-3039,10228,R_IN1,bingo,"{'~a', '~e', 'b'}",4,0,[<Maneuver.BRAKE: 'brake'>],5.10215759277344E-05,0.000153064727783203,0.0418567657470703,0.0656759738922119,5,3,16.7029802804429,
DEU_AachenBendplatz-1_132600_T-2619,10185,R_IN1,bingo,"{'~a', 'b'}",7,0,[<Maneuver.BRAKE: 'brake'>],3.69548797607422E-05,0.000107288360595703,0.0729084014892578,0.103928804397583,10,2,88.4218267557719,
DEU_AachenBendplatz-1_11500_T-519,10043,R_IN1,bingo,"{'~a', 'b'}",6,0,[<Maneuver.BRAKE: 'brake'>],3.83853912353516E-05,0.000118494033813477,0.076707124710083,0.107921361923218,9,2,139.798695862189,
