Nr of scenarios,124,Nr of infeasible trajectories,0,0,Nr of repairable trajectories,123,0.9919,,,,,,,,
DEU_AachenBendplatz-1_155320_T-5339,10335,R_IN1,bingo,"{'~a', 'b', '~e'}",3,0,[<Maneuver.BRAKE: 'brake'>],3.88622283935547E-05,0.0213816165924072,0.0450835227966309,0.0899450778961182,10,3,13.5928089220047,
DEU_AachenBendplatz-1_75140_T-5159,10203,R_IN1,bingo,"{'~a', 'b'}",1,0,[<Maneuver.BRAKE: 'brake'>],3.76701354980469E-05,0.0113651752471924,0.0431804656982422,0.0767521858215332,9,2,29.5638432249105,
DEU_AachenBendplatz-1_171600_T-1619,10125,R_IN1,bingo,"{'~a', 'b', '~e'}",2,1,[<Maneuver.BRAKE: 'brake'>],5.26905059814453E-05,0.0117557048797607,0.0442469120025635,0.0786397457122803,11,3,50.6235221084195,
DEU_AachenBendplatz-1_124700_T-4719,10320,R_IN1,bingo,"{'~a', 'b', '~e'}",2,0,[<Maneuver.BRAKE: 'brake'>],5.31673431396484E-05,0.0207056999206543,0.0458741188049316,0.0897431373596191,6,3,31.5796622471535,
DEU_AachenBendplatz-1_12700_T-719,10035,R_IN1,bingo,"{'~a', 'b'}",4,0,[<Maneuver.BRAKE: 'brake'>],3.60012054443359E-05,0.0303454399108887,0.0586221218109131,0.117400169372559,5,2,143.704658670839,
DEU_AachenBendplatz-1_162800_T-2819,10214,R_IN1,bingo,"{'~a', 'b', '~e'}",4,0,[<Maneuver.BRAKE: 'brake'>],5.19752502441406E-05,0.0308194160461426,0.0676412582397461,0.126241683959961,7,3,129.528660359402,
DEU_AachenBendplatz-1_134900_T-4919,10351,R_IN1,bingo,"{'~a', 'b'}",5,0,[<Maneuver.BRAKE: 'brake'>],3.48091125488281E-05,0.039506196975708,0.0814003944396973,0.148611545562744,10,2,80.0687365214565,
DEU_AachenBendplatz-1_172260_T-2279,10176,R_IN1,bingo,"{'~a', 'b', '~e'}",4,0,[<Maneuver.BRAKE: 'brake'>],4.74452972412109E-05,0.034512996673584,0.0788521766662598,0.142063617706299,10,3,105.640961314226,
DEU_AachenBendplatz-1_121080_T-1099,10056,R_IN1,bingo,"{'~a', 'b'}",2,1,[<Maneuver.BRAKE: 'brake'>],3.40938568115234E-05,0.0122108459472656,0.0458564758300781,0.079387903213501,8,2,3.11872208119643,
DEU_AachenBendplatz-1_123940_T-3959,10258,R_IN1,bingo,"{'~a', 'b'}",4,1,[<Maneuver.BRAKE: 'brake'>],3.4332275390625E-05,0.0230398178100586,0.0598556995391846,0.109594106674194,8,2,132.36691660451,
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN1,bingo,"{'~a', 'b'}",3,1,[<Maneuver.BRAKE: 'brake'>],5.91278076171875E-05,0.0226068496704102,0.0456714630126953,0.0897293090820313,10,2,14.2590044423869,
DEU_AachenBendplatz-1_85160_T-5179,10405,R_IN1,bingo,"{'~a', 'b', '~e'}",3,2,[<Maneuver.BRAKE: 'brake'>],4.9591064453125E-05,0.0209155082702637,0.0399811267852783,0.0814955234527588,7,3,37.9273908862355,
DEU_AachenBendplatz-1_141540_T-1559,10095,R_IN1,bingo,"{'~a', 'b'}",5,1,[<Maneuver.BRAKE: 'brake'>],3.62396240234375E-05,0.0245380401611328,0.0431523323059082,0.0925483703613281,7,2,107.974411159013,
DEU_AachenBendplatz-1_91260_T-1279,10075,R_IN1,bingo,"{'~a', 'b'}",5,1,[<Maneuver.BRAKE: 'brake'>],3.48091125488281E-05,0.0231502056121826,0.0617067813873291,0.110392332077026,9,2,99.7479279174865,
