scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time
DEU_AachenBendplatz-1_155320_T-5339,10335,R_IN1,bingo,"{'b', '~e', '~a'}",3,0,4.673004150390625e-05,0.022951364517211914,0.03389096260070801,0.0798501968383789
DEU_AachenBendplatz-1_75140_T-5159,10203,R_IN1,bingo,"{'b', '~a'}",1,0,2.956390380859375e-05,0.010802030563354492,0.037201881408691406,0.0694737434387207
DEU_AachenBendplatz-1_171600_T-1619,10125,R_IN1,bingo,"{'b', '~e', '~a'}",2,0,4.410743713378906e-05,0.017450809478759766,0.06886458396911621,0.10741877555847168
DEU_AachenBendplatz-1_124700_T-4719,10320,R_IN1,bingo,"{'b', '~e', '~a'}",2,0,3.8623809814453125e-05,0.017575740814208984,0.028782129287719727,0.06815552711486816
DEU_AachenBendplatz-1_12700_T-719,10035,R_IN1,bingo,"{'b', '~a'}",4,0,2.9325485229492188e-05,0.028055429458618164,0.038132429122924805,0.09420299530029297
DEU_AachenFrankenburg-1_184060_T-4079,10290,R_IN4,bingo,"{'~j', '~n', '~d'}",1,0,1.9788742065429688e-05,0.026306867599487305,0.039841651916503906,0.091827392578125
DEU_AachenBendplatz-1_162800_T-2819,10214,R_IN1,bingo,"{'b', '~e', '~a'}",4,0,0.0001804828643798828,0.03160238265991211,0.04489898681640625,0.10191464424133301
DEU_AachenBendplatz-1_16640_T-659,10046,R_IN4,bingo,"{'~j', '~d', '~n', '~e', '~f'}",1,0,2.2649765014648438e-05,0.029624462127685547,0.04986572265625,0.10481858253479004
DEU_AachenBendplatz-1_134900_T-4919,10351,R_IN1,bingo,"{'b', '~a'}",5,0,2.4080276489257812e-05,0.036168575286865234,0.08821821212768555,0.1500840187072754
DEU_AachenBendplatz-1_145000_T-5019,10367,R_IN4,bingo,"{'~j', '~n'}",6,0,1.9073486328125e-05,0.05945539474487305,0.05264425277709961,0.13412785530090332
DEU_AachenBendplatz-1_172260_T-2279,10176,R_IN1,bingo,"{'b', '~e', '~a'}",4,0,3.6716461181640625e-05,0.032404422760009766,0.05213665962219238,0.1129298210144043
DEU_AachenBendplatz-1_102160_T-2179,10126,R_IN4,bingo,"{'~o', '~j', 'n', '~i', '~g', '~h'}",7,0,4.744529724121094e-05,0.1414482593536377,0.06519699096679688,0.23418879508972168
DEU_AachenBendplatz-1_165100_T-5119,10371,R_IN4,bingo,"{'~j', '~d', 'n', '~e', '~f', '~o'}",11,0,4.38690185546875e-05,0.19654035568237305,0.053373098373413086,0.2735633850097656
DEU_AachenBendplatz-1_121080_T-1099,10056,R_IN1,bingo,"{'b', '~a'}",2,1,3.0517578125e-05,0.00919342041015625,0.03470158576965332,0.0644071102142334
DEU_AachenBendplatz-1_123940_T-3959,10258,R_IN1,bingo,"{'b', '~a'}",4,1,3.1948089599609375e-05,0.020546674728393555,0.0441586971282959,0.09374356269836426
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN1,bingo,"{'b', '~a'}",3,1,3.075599670410156e-05,0.020383596420288086,0.05799365043640137,0.10060691833496094
DEU_AachenBendplatz-1_85160_T-5179,10405,R_IN1,bingo,"{'b', '~e', '~a'}",3,1,4.0531158447265625e-05,0.0200045108795166,0.032427310943603516,0.07534360885620117
DEU_AachenBendplatz-1_141540_T-1559,10095,R_IN1,bingo,"{'b', '~a'}",5,1,2.765655517578125e-05,0.022896289825439453,0.03372526168823242,0.08003687858581543
