scenario_id,ego_id,rule,repairability,model,TV,TC,maneuvers,SAT_time,TC_time,reach_time,total_time,number_of_obstacles
DEU_AachenBendplatz-1_155320_T-5339,10335,R_IN1,initial feasibility
DEU_AachenBendplatz-1_75140_T-5159,10203,R_IN1,bingo,"{'b', '~e', '~a'}",1,0,[<Maneuver.BRAKE: 'brake'>],4.553794860839844e-05,0.011440753936767578,0.029865026473999023,0.06499052047729492,9
DEU_AachenBendplatz-1_171600_T-1619,10125,R_IN1,bingo,"{'b', '~e', '~a'}",2,0,[<Maneuver.BRAKE: 'brake'>],3.3855438232421875e-05,0.017250537872314453,0.028422117233276367,0.06670045852661133,11
DEU_AachenBendplatz-1_124700_T-4719,10320,R_IN1,bingo,"{'b', '~e', '~a'}",2,0,[<Maneuver.BRAKE: 'brake'>],3.695487976074219e-05,0.017507076263427734,0.026590347290039062,0.08382892608642578,6
DEU_AachenBendplatz-1_12700_T-719,10035,R_IN1,bingo,"{'b', '~e', '~a'}",4,0,[<Maneuver.BRAKE: 'brake'>],5.6743621826171875e-05,0.02730560302734375,0.03438305854797363,0.10416483879089355,5
DEU_AachenFrankenburg-1_184060_T-4079,10290,R_IN4,bingo,"{'~j', '~n', '~d'}",1,0,[<Maneuver.BRAKE: 'brake'>],2.4080276489257812e-05,0.02715468406677246,0.04454207420349121,0.09807729721069336,20
DEU_AachenBendplatz-1_162800_T-2819,10214,R_IN1,bingo,"{'b', '~e', '~a'}",4,0,[<Maneuver.BRAKE: 'brake'>],3.814697265625e-05,0.03076958656311035,0.041275978088378906,0.11353468894958496,7
DEU_AachenBendplatz-1_16640_T-659,10046,R_IN4,bingo,"{'~n', '~j', '~g', '~i', '~k'}",2,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.CONSTANT: 'constant velocity'>]",2.2172927856445312e-05,0.07833313941955566,0.07192754745483398,0.1938025951385498,10
DEU_AachenBendplatz-1_134900_T-4919,10351,R_IN1,bingo,"{'b', '~e', '~a'}",5,0,[<Maneuver.BRAKE: 'brake'>],3.4332275390625e-05,0.03650021553039551,0.05381655693054199,0.11611795425415039,10
DEU_AachenBendplatz-1_145000_T-5019,10367,R_IN4,bingo,"{'~j', '~e', '~n'}",6,0,[<Maneuver.BRAKE: 'brake'>],2.3603439331054688e-05,0.058417320251464844,0.04571795463562012,0.1424579620361328,10
