Nr of scenarios,10,Nr of infeasible trajectories,0,0,Nr of repairable trajectories,10,1,,,,,,
DEU_AachenFrankenburg-1_184060_T-4079,10290,R_IN4,bingo,"{'~n', '~j', '~d'}",1,0,[<Maneuver.BRAKE: 'brake'>],0.0000762939453125,0.000341415405273437,0.0622866153717041,0.115100622177124,20,1
DEU_AachenBendplatz-1_16640_T-659,10046,R_IN4,bingo,"{'~j', '~g', '~n', '~k', '~i'}",2,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.CONSTANT: 'constant velocity'>]",2.47955322265625E-05,0.000125408172607422,0.0823111534118652,0.109503269195557,10,1
DEU_AachenBendplatz-1_145000_T-5019,10367,R_IN4,bingo,"{'~e', '~j', '~n'}",6,0,[<Maneuver.BRAKE: 'brake'>],2.83718109130859E-05,0.000108003616333008,0.056499719619751,0.0805745124816895,10,1
DEU_AachenBendplatz-1_102160_T-2179,10126,R_IN4,bingo,"{'~g', '~d', '~n', '~e', '~k', '~j', '~h', '~i'}",7,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.CONSTANT: 'constant velocity'>]",3.71932983398437E-05,0.0001220703125,0.081920862197876,0.111085414886475,13,1
DEU_AachenBendplatz-1_165100_T-5119,10371,R_IN4,bingo,"{'~j', '~d', '~n', '~e', '~f'}",11,0,[<Maneuver.BRAKE: 'brake'>],2.59876251220703E-05,0.000123739242553711,0.0454545021057129,0.0661556720733643,10,1
DEU_AachenBendplatz-1_122140_T-2159,10119,R_IN4,bingo,"{'~j', '~d', '~n', '~e', '~f'}",9,0,[<Maneuver.BRAKE: 'brake'>],2.45571136474609E-05,7.53402709960937E-05,0.0524752140045166,0.0749964714050293,6,1
DEU_AachenBendplatz-1_172740_T-2759,10202,R_IN4,bingo,"{'~i', '~j', '~n'}",4,0,[<Maneuver.BRAKE: 'brake'>],0.000030517578125,0.000113248825073242,0.0513911247253418,0.0783600807189941,10,1
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN4,bingo,"{'~j', '~d', '~n', '~e', '~f'}",6,0,[<Maneuver.BRAKE: 'brake'>],3.36170196533203E-05,0.000143766403198242,0.0610682964324951,0.0845611095428467,10,1
DEU_AachenBendplatz-1_163680_T-3699,10267,R_IN4,bingo,"{'~e', '~f', '~j', '~n'}",12,0,[<Maneuver.BRAKE: 'brake'>],2.78949737548828E-05,0.000117063522338867,0.0440201759338379,0.334253787994385,10,1
DEU_AachenFrankenburg-1_225620_T-5639,10507,R_IN4,bingo,"{'~n', '~j', '~d'}",11,0,[<Maneuver.BRAKE: 'brake'>],0.000030517578125,0.000113248825073242,0.0876169204711914,0.116579055786133,21,1
DEU_AachenBendplatz-1_151880_T-1899,10123,R_IN4,"initialization fails with CUDA out of memory. Tried to allocate 1.68 GiB. GPU 0 has a total capacity of 39.39 GiB of which 1.20 GiB is free. Process 3437599 has 538.00 MiB memory in use. Process 3295231 has 868.00 MiB memory in use. Process 2261870 has 558.00 MiB memory in use. Including non-PyTorch memory, this process has 36.25 GiB memory in use. Of the allocated memory 33.92 GiB is allocated by PyTorch, and 1.80 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.11711699962616,,
