scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time
DEU_AachenFrankenburg-1_184060_T-4079,10290,R_IN4,bingo,"{'~j', '~d', '~n'}",1,0,1.93119049072266E-05,0.0265572071075439,0.0398414134979248,0.093106746673584
DEU_AachenBendplatz-1_16640_T-659,10046,R_IN4,bingo,"{'~j', '~d', '~n', '~e', '~f'}",1,0,2.95639038085937E-05,0.029059886932373,0.0463085174560547,0.100053787231445
DEU_AachenBendplatz-1_145000_T-5019,10367,R_IN4,bingo,"{'~j', '~n'}",6,0,1.76429748535156E-05,0.0589478015899658,0.0488388538360596,0.130539178848267
DEU_AachenBendplatz-1_102160_T-2179,10126,R_IN4,bingo,"{'~o', '~j', 'n', '~i', '~g', '~h'}",7,0,3.83853912353516E-05,0.13451075553894,0.0601682662963867,0.22254753112793
DEU_AachenBendplatz-1_165100_T-5119,10371,R_IN4,bingo,"{'~o', '~j', '~d', 'n', '~e', '~f'}",11,0,3.74317169189453E-05,0.182440757751465,0.0417938232421875,0.244947910308838
DEU_AachenBendplatz-1_16700_T-719,10046,R_IN4,bingo,"{'~j', '~n'}",9,2,1.81198120117187E-05,0.0664529800415039,0.0473594665527344,0.136000156402588
DEU_AachenBendplatz-1_122140_T-2159,10119,R_IN4,bingo,"{'~j', '~n'}",9,2,2.288818359375E-05,0.0830173492431641,0.0440208911895752,0.16476583480835
DEU_AachenBendplatz-1_172740_T-2759,10202,R_IN4,bingo,"{'~i', '~j', '~k', '~n'}",4,2,2.47955322265625E-05,0.102769136428833,0.0382587909698486,0.182130813598633
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN4,bingo,"{'~j', '~n'}",6,3,1.71661376953125E-05,0.0680832862854004,0.0445361137390137,0.148488283157349
DEU_AachenBendplatz-1_163680_T-3699,10267,R_IN4,bingo,"{'~j', '~n'}",12,4,1.95503234863281E-05,0.0976319313049316,0.0341432094573975,0.168198585510254
DEU_AachenFrankenburg-1_225620_T-5639,10507,R_IN4,bingo,"{'~o', '~j', '~d'}",11,4,2.07424163818359E-05,0.147430658340454,0.0447485446929932,0.233175754547119
DEU_AachenBendplatz-1_151880_T-1899,10123,R_IN4,bingo,"{'~j', '~n'}",10,5,1.95503234863281E-05,0.0900318622589111,0.0391087532043457,0.146986722946167
DEU_AachenBendplatz-1_162280_T-2299,10179,R_IN4,bingo,"{'~j', '~n'}",12,5,1.85966491699219E-05,0.0921745300292969,0.0403168201446533,0.173616170883179
DEU_AachenBendplatz-1_141640_T-1659,10098,R_IN4,bingo,"{'~j', '~n'}",11,5,2.09808349609375E-05,0.0940630435943604,0.0532295703887939,0.188343286514282
DEU_AachenBendplatz-1_101260_T-1279,10083,R_IN4,bingo,"{'~j', '~n'}",11,6,1.81198120117187E-05,0.0993797779083252,0.0342233180999756,0.166179180145264
DEU_AachenFrankenburg-1_265260_T-5279,10453,R_IN4,bingo,"{'~a', '~c', '~b', '~g', '~f', '~j', '~d', '~i', '~e', '~h'}",9,8,2.93254852294922E-05,0.078369140625,0.0291643142700195,0.142153739929199
