scenario_id,ego_id,rule,replanability,total_time,ttc
DEU_LocationALower-12_167_T-1,12,R_G3,yes,2.19086813926697,1.27
DEU_LocationALower-11_131_T-1,18,R_G3,yes,1.54985904693604,3.0
DEU_LocationALower-11_56_T-1,15,R_G3,yes,5.32696866989136,3.24
DEU_LocationALower-35_34_T-1,19,R_G3,yes,0.132629156112671,3.28
DEU_LocationALower-33_219_T-1,8,R_G3,yes,0.763026237487793,3.29
DEU_LocationALower-35_126_T-1,20,R_G3,yes,1.29881858825684,3.35
DEU_LocationALower-34_49_T-1,10,R_G3,yes,1.25821399688721,3.36
DEU_LocationALower-11_110_T-1,16,R_G3,yes,1.54040551185608,3.36
DEU_LocationALower-13_167_T-1,17,R_G3,yes,1.78937220573425,3.36
DEU_LocationALower-29_250_T-1,12,R_G3,yes,1.28608298301697,3.4
DEU_LocationALower-11_4_T-1,18,R_G3,yes,2.37615013122559,3.56
DEU_LocationALower-14_39_T-1,15,R_G3,yes,3.05882453918457,3.65
DEU_LocationALower-11_43_T-1,17,R_G3,yes,1.3433895111084,3.89
DEU_LocationALower-14_96_T-1,15,R_G3,yes,1.77182292938232,4.05
DEU_LocationALower-33_96_T-1,9,R_G3,yes,1.05448889732361,4.18
DEU_LocationALower-37_205_T-1,15,R_G3,yes,0.882651805877686,4.33
DEU_LocationALower-29_123_T-1,16,R_G3,yes,1.69004249572754,4.78
DEU_LocationALower-29_245_T-1,12,R_G3,yes,0.858251810073853,4.87
DEU_LocationALower-36_208_T-1,8,R_G3,yes,0.611079454421997,4.91
DEU_LocationALower-12_217_T-1,14,R_G3,yes,1.13889408111572,5.1
DEU_LocationALower-13_214_T-1,21,R_G3,yes,0.241049528121948,5.25
DEU_LocationALower-33_265_T-1,22,R_G3,yes,1.49079990386963,6.01
DEU_LocationALower-34_96_T-1,14,R_G3,yes,0.879239797592163,6.03
DEU_LocationALower-13_239_T-1,18,R_G3,yes,1.81762337684631,6.14
DEU_LocationALower-28_252_T-1,18,R_G3,no,0.388442277908325,6.22
DEU_LocationALower-28_109_T-1,13,R_G3,yes,1.2768497467041,6.43
DEU_LocationALower-28_228_T-1,11,R_G3,yes,0.696911334991455,6.77
DEU_LocationALower-14_252_T-1,12,R_G3,yes,1.03867673873901,6.95
DEU_LocationALower-36_61_T-1,9,R_G3,yes,0.845084428787231,7.0
DEU_LocationALower-37_231_T-1,23,R_G3,yes,0.699483156204224,7.14
DEU_LocationALower-25_155_T-1,15,R_G3,yes,1.46062660217285,7.31
DEU_LocationALower-36_291_T-1,13,R_G3,yes,0.687067747116089,7.48
DEU_LocationALower-36_113_T-1,14,R_G3,yes,0.78249192237854,7.49
DEU_LocationALower-32_84_T-1,13,R_G3,yes,0.56867241859436,7.6
DEU_LocationALower-14_161_T-1,21,R_G3,yes,1.59995985031128,7.88
DEU_LocationALower-31_31_T-1,15,R_G3,yes,0.778984069824219,7.94
DEU_LocationALower-13_162_T-1,21,R_G3,yes,1.27289462089539,8.18
DEU_LocationALower-11_64_T-1,18,R_G3,yes,1.32173681259155,8.3
DEU_LocationALower-29_65_T-1,8,R_G3,yes,1.33392477035522,8.31
DEU_LocationALower-34_37_T-1,9,R_G3,yes,1.10490155220032,8.51
DEU_LocationALower-13_56_T-1,10,R_G3,yes,3.209792137146,9.03
DEU_LocationALower-30_218_T-1,16,R_G3,yes,0.865126848220825,9.12
DEU_LocationALower-29_192_T-1,9,R_G3,yes,0.778690099716187,9.37
DEU_LocationALower-11_102_T-1,16,R_G3,yes,1.13641047477722,9.39
DEU_LocationALower-32_186_T-1,12,R_G3,yes,1.68642258644104,9.88
DEU_LocationALower-14_247_T-1,16,R_G3,yes,1.04908442497253,10.02
DEU_LocationALower-33_228_T-1,14,R_G3,yes,0.69471001625061,10.07
DEU_LocationALower-12_109_T-1,20,R_G3,yes,2.06277275085449,10.08
DEU_LocationALower-36_269_T-1,18,R_G3,yes,0.88005542755127,11.4
DEU_LocationALower-37_1_T-1,11,R_G3,yes,1.70216417312622,11.8
DEU_LocationALower-27_184_T-1,13,R_G3,yes,0.482160806655884,12.86
DEU_LocationALower-37_4_T-1,22,R_G3,yes,1.16993689537048,13.81
DEU_LocationALower-29_249_T-1,23,R_G3,yes,1.10408759117126,14.48
DEU_LocationALower-34_146_T-1,14,R_G3,yes,1.48509979248047,16.11
DEU_LocationALower-13_168_T-1,12,R_G3,yes,1.33310317993164,19.91
DEU_LocationALower-28_109_T-1,18,R_G3,yes,0.757836818695068,21.72
DEU_AachenFrankenburg-1_265260_T-5279,10453,R_IN4,yes,1.58020782470703,3.79
