scenario_id,ego_id,rule,replanability,total_time
DEU_LocationALower-11_102_T-1,16,R_G1,yes,1.77123332023621
DEU_LocationALower-11_110_T-1,16,R_G1,yes,1.76560401916504
DEU_LocationALower-11_131_T-1,18,R_G1,yes,1.75171518325806
DEU_LocationALower-11_4_T-1,18,R_G1,yes,1.68913912773132
DEU_LocationALower-11_43_T-1,17,R_G1,yes,1.74334263801575
DEU_LocationALower-11_56_T-1,15,R_G1,yes,1.71904969215393
DEU_LocationALower-11_64_T-1,18,R_G1,yes,1.77072882652283
DEU_LocationALower-12_109_T-1,20,R_G1,yes,1.71008825302124
DEU_LocationALower-12_217_T-1,14,R_G1,yes,1.73937392234802
DEU_LocationALower-12_52_T-1,26,R_G1,yes,1.82592630386353
DEU_LocationALower-13_162_T-1,21,R_G1,yes,1.69482946395874
DEU_LocationALower-13_167_T-1,17,R_G1,yes,1.71658492088318
DEU_LocationALower-13_168_T-1,12,R_G1,yes,1.74093818664551
DEU_LocationALower-13_214_T-1,21,R_G1,yes,1.72562909126282
DEU_LocationALower-13_239_T-1,18,R_G1,yes,1.67017936706543
DEU_LocationALower-13_241_T-1,20,R_G1,yes,1.64213681221008
DEU_LocationALower-13_56_T-1,10,R_G1,yes,1.74254107475281
DEU_LocationALower-14_161_T-1,21,R_G1,yes,1.66540026664734
DEU_LocationALower-14_219_T-1,12,R_G1,yes,1.75235629081726
DEU_LocationALower-14_247_T-1,16,R_G1,yes,1.76020336151123
DEU_LocationALower-14_252_T-1,12,R_G1,yes,1.72060394287109
DEU_LocationALower-14_39_T-1,15,R_G1,yes,1.77437734603882
DEU_LocationALower-14_96_T-1,15,R_G1,yes,1.67139792442322
DEU_LocationALower-25_155_T-1,15,R_G1,yes,1.76057386398315
DEU_LocationALower-27_140_T-1,14,R_G1,yes,1.72316408157349
DEU_LocationALower-27_184_T-1,13,R_G1,yes,1.68121600151062
DEU_LocationALower-28_109_T-1,13,R_G1,yes,1.74656176567078
DEU_LocationALower-28_109_T-1,18,R_G1,yes,1.77578902244568
DEU_LocationALower-28_228_T-1,11,R_G1,yes,1.7517261505127
DEU_LocationALower-28_252_T-1,18,R_G1,yes,1.69794583320618
DEU_LocationALower-29_123_T-1,16,R_G1,yes,1.6641366481781
DEU_LocationALower-29_192_T-1,9,R_G1,yes,1.68895721435547
DEU_LocationALower-29_245_T-1,12,R_G1,yes,1.77637434005737
DEU_LocationALower-29_249_T-1,23,R_G1,yes,1.6414623260498
DEU_LocationALower-29_250_T-1,12,R_G1,yes,1.73778104782105
DEU_LocationALower-29_65_T-1,8,R_G1,yes,1.74267792701721
DEU_LocationALower-30_218_T-1,16,R_G1,yes,1.73645114898682
DEU_LocationALower-31_239_T-1,16,R_G1,yes,1.74115347862244
DEU_LocationALower-31_31_T-1,15,R_G1,yes,1.69512796401978
DEU_LocationALower-32_186_T-1,12,R_G1,yes,1.89364385604858
DEU_LocationALower-32_84_T-1,13,R_G1,yes,1.76597261428833
DEU_LocationALower-33_228_T-1,14,R_G1,yes,1.74421858787537
DEU_LocationALower-33_233_T-1,14,R_G1,yes,1.74864029884338
DEU_LocationALower-33_265_T-1,22,R_G1,yes,1.67419242858887
DEU_LocationALower-33_96_T-1,9,R_G1,yes,1.74325013160706
DEU_LocationALower-34_146_T-1,14,R_G1,yes,1.6965491771698
DEU_LocationALower-34_147_T-1,16,R_G1,yes,1.66863560676575
DEU_LocationALower-34_49_T-1,10,R_G1,yes,1.74934148788452
DEU_LocationALower-34_96_T-1,14,R_G1,yes,1.68064451217651
DEU_LocationALower-35_126_T-1,20,R_G1,yes,1.72583103179932
DEU_LocationALower-35_263_T-1,12,R_G1,yes,1.99184584617615
DEU_LocationALower-36_113_T-1,14,R_G1,yes,1.74676728248596
DEU_LocationALower-36_269_T-1,18,R_G1,yes,1.74852013587952
DEU_LocationALower-36_291_T-1,13,R_G1,yes,1.75394010543823
DEU_LocationALower-37_205_T-1,15,R_G1,yes,1.73924207687378
DEU_LocationALower-37_231_T-1,23,R_G1,yes,1.66430950164795
DEU_LocationALower-37_4_T-1,22,R_G1,yes,1.75367617607117
