scenario_id,ego_id,rule,repairability,model,TV,TC,maneuvers,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,num_obstacles
DEU_LocationALower-12_167_T-1,12,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",11,10,,2.05039978027344E-05,0.0281820297241211,0.0425999164581299,0.0889401435852051,15,1.27
DEU_LocationALower-11_131_T-1,18,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",9,8,,1.97887420654297E-05,0.0357935428619385,0.0434525012969971,0.118362903594971,19,3
DEU_LocationALower-11_56_T-1,15,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",1,0,,2.14576721191406E-05,0.0151262283325195,0.0651497840881348,0.308993339538574,12,3.24
DEU_LocationALower-35_34_T-1,19,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",14,13,,2.62260437011719E-05,0.0280430316925049,0.0290756225585937,0.0890665054321289,12,3.28
DEU_LocationALower-33_219_T-1,8,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",6,5,,2.86102294921875E-05,0.0213320255279541,0.0336010456085205,0.0771241188049316,5,3.29
DEU_LocationALower-35_126_T-1,20,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",2,1,,2.50339508056641E-05,0.0156500339508057,0.0627400875091553,0.11779260635376,15,3.35
DEU_LocationALower-11_110_T-1,16,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",2,1,,2.21729278564453E-05,0.0145041942596436,0.102355718612671,0.17339038848877,19,3.36
DEU_LocationALower-13_167_T-1,17,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",2,1,,2.21729278564453E-05,0.0144903659820557,0.0706284046173096,0.123310089111328,13,3.36
DEU_LocationALower-34_49_T-1,10,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",3,2,,2.47955322265625E-05,0.0268173217773437,0.0545365810394287,0.117280960083008,8,3.36
DEU_LocationALower-29_250_T-1,12,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",9,8,,2.36034393310547E-05,0.0370564460754395,0.039975643157959,0.0993447303771973,15,3.4
DEU_LocationALower-11_4_T-1,18,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",1,0,,2.36034393310547E-05,0.0145180225372314,0.0622169971466064,0.118908405303955,13,3.56
DEU_LocationALower-36_236_T-1,6,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",1,0,,2.07424163818359E-05,0.0085871219635009,0.030165433883667,0.0590670108795166,5,3.61
DEU_LocationALower-14_39_T-1,15,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",9,8,,2.33650207519531E-05,0.0372347831726074,0.0387434959411621,0.0980727672576904,15,3.65
DEU_LocationALower-37_240_T-1,8,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",3,2,,1.95503234863281E-05,0.0268919467926025,0.0442521572113037,0.124486684799194,4,3.82
DEU_LocationALower-11_43_T-1,17,R_G1,bingo,"{'g', '~c', 'f', 'h', 'e'}",2,1,,2.26497650146484E-05,0.0690743923187256,0.0524935722351074,0.177876472473145,13,3.89
DEU_LocationALower-37_235_T-1,8,R_G1,bingo,"{'g', '~b', 'f', 'h', 'e'}",4,3,,1.85966491699219E-05,0.0218701362609863,0.0318126678466797,0.0961799621582031,4,3.91
DEU_LocationALower-36_123_T-1,15,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",7,6,,2.40802764892578E-05,0.0374815464019775,0.0466957092285156,0.129075288772583,13,4
DEU_LocationALower-14_96_T-1,15,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",16,15,,2.07424163818359E-05,0.0366246700286865,0.02836012840271,0.0964372158050537,12,4.05
DEU_LocationALower-33_96_T-1,9,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",3,2,,2.50339508056641E-05,0.0263633728027344,0.0561156272888184,0.138570308685303,10,4.18
DEU_LocationALower-37_205_T-1,15,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",15,14,,2.59876251220703E-05,0.043025016784668,0.0282213687896729,0.0834441184997559,10,4.33
DEU_LocationALower-29_123_T-1,16,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",9,8,,2.21729278564453E-05,0.0359337329864502,0.0356650352478027,0.0927398204803467,11,4.78
DEU_LocationALower-29_245_T-1,12,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",8,7,,2.31266021728516E-05,0.0360324382781982,0.0391304492950439,0.0985481739044189,7,4.87
DEU_LocationALower-36_208_T-1,8,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",3,2,,2.59876251220703E-05,0.0161974430084229,0.0363883972167969,0.0708432197570801,16,4.91
DEU_LocationALower-12_217_T-1,14,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",6,5,,2.12192535400391E-05,0.0256710052490234,0.0411765575408936,0.094118595123291,10,5.1
DEU_LocationALower-13_214_T-1,21,R_G1,bingo,"{'g', '~c', 'f', 'h', 'e'}",14,13,,2.288818359375E-05,0.0669870376586914,0.0305664539337158,0.127925395965576,15,5.25
DEU_LocationALower-14_14_T-1,13,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",1,0,,2.55107879638672E-05,0.0154726505279541,0.099761962890625,0.157886266708374,16,5.73
DEU_LocationALower-33_265_T-1,22,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",11,10,,2.40802764892578E-05,0.0363478660583496,0.0349178314208984,0.1075758934021,15,6.01
DEU_LocationALower-34_96_T-1,14,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",8,7,,2.47955322265625E-05,0.0372214317321777,0.0359833240509033,0.097459077835083,9,6.03
DEU_LocationALower-13_239_T-1,18,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",12,11,,2.24113464355469E-05,0.034414529800415,0.0333125591278076,0.101311445236206,13,6.14
DEU_LocationALower-28_252_T-1,18,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",5,4,,2.31266021728516E-05,0.0260787010192871,0.0470564365386963,0.12321949005127,12,6.22
DEU_LocationALower-31_24_T-1,13,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",16,15,,2.19345092773437E-05,0.0427992343902588,0.0314610004425049,0.104314804077148,17,6.24
DEU_LocationALower-14_255_T-1,11,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",3,2,,2.14576721191406E-05,0.0287272930145264,0.087881326675415,0.15179967880249,20,6.36
DEU_LocationALower-28_109_T-1,13,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",4,3,,2.21729278564453E-05,0.0265500545501709,0.0762622356414795,0.154153347015381,16,6.43
DEU_LocationALower-28_252_T-1,12,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",3,2,,2.26497650146484E-05,0.0265567302703857,0.0674705505371094,0.14823842048645,12,6.71
