scenario_id,ego_id,rule,replanability,total_time
DEU_LocationALower-35_34_T-1,19,R_G3,yes,0.132629156112671
DEU_LocationALower-33_233_T-1,14,R_G3,yes,0.144604921340942
DEU_LocationALower-13_214_T-1,21,R_G3,yes,0.241049528121948
DEU_LocationALower-28_252_T-1,18,R_G3,no,0.388442277908325
DEU_LocationALower-27_184_T-1,13,R_G3,yes,0.482160806655884
DEU_LocationALower-13_241_T-1,20,R_G3,yes,0.522915601730347
DEU_LocationALower-29_134_T-1,9,R_G3,yes,0.550719022750855
DEU_LocationALower-32_84_T-1,13,R_G3,yes,0.56867241859436
DEU_LocationALower-12_52_T-1,26,R_G3,yes,0.569537401199341
DEU_LocationALower-14_219_T-1,12,R_G3,yes,0.591524362564087
DEU_LocationALower-34_147_T-1,16,R_G3,yes,0.598634719848633
DEU_LocationALower-36_208_T-1,8,R_G3,yes,0.611079454421997
DEU_LocationALower-36_291_T-1,13,R_G3,yes,0.687067747116089
DEU_LocationALower-33_228_T-1,14,R_G3,yes,0.69471001625061
DEU_LocationALower-28_228_T-1,11,R_G3,yes,0.696911334991455
DEU_LocationALower-37_231_T-1,23,R_G3,yes,0.699483156204224
DEU_LocationALower-28_109_T-1,18,R_G3,yes,0.757836818695068
DEU_LocationALower-33_219_T-1,8,R_G3,yes,0.763026237487793
DEU_LocationALower-29_192_T-1,9,R_G3,yes,0.778690099716187
DEU_LocationALower-31_31_T-1,15,R_G3,yes,0.778984069824219
DEU_LocationALower-36_113_T-1,14,R_G3,yes,0.78249192237854
DEU_LocationALower-36_61_T-1,9,R_G3,yes,0.845084428787231
DEU_LocationALower-29_245_T-1,12,R_G3,yes,0.858251810073853
DEU_LocationALower-30_218_T-1,16,R_G3,yes,0.865126848220825
DEU_LocationALower-34_96_T-1,14,R_G3,yes,0.879239797592163
DEU_LocationALower-36_269_T-1,18,R_G3,yes,0.88005542755127
DEU_LocationALower-37_205_T-1,15,R_G3,yes,0.882651805877686
DEU_LocationALower-14_252_T-1,12,R_G3,yes,1.03867673873901
DEU_LocationALower-14_247_T-1,16,R_G3,yes,1.04908442497253
DEU_LocationALower-33_96_T-1,9,R_G3,yes,1.05448889732361
DEU_LocationALower-29_249_T-1,23,R_G3,yes,1.10408759117126
DEU_LocationALower-34_37_T-1,9,R_G3,yes,1.10490155220032
DEU_LocationALower-11_102_T-1,16,R_G3,yes,1.13641047477722
DEU_LocationALower-12_217_T-1,14,R_G3,yes,1.13889408111572
DEU_LocationALower-37_4_T-1,22,R_G3,yes,1.16993689537048
DEU_LocationALower-34_49_T-1,10,R_G3,yes,1.25821399688721
DEU_LocationALower-13_162_T-1,21,R_G3,yes,1.27289462089539
DEU_LocationALower-28_109_T-1,13,R_G3,yes,1.2768497467041
DEU_LocationALower-29_250_T-1,12,R_G3,yes,1.28608298301697
DEU_LocationALower-35_126_T-1,20,R_G3,yes,1.29881858825684
DEU_LocationALower-11_64_T-1,18,R_G3,yes,1.32173681259155
DEU_LocationALower-13_168_T-1,12,R_G3,yes,1.33310317993164
DEU_LocationALower-29_65_T-1,8,R_G3,yes,1.33392477035522
DEU_LocationALower-11_43_T-1,17,R_G3,yes,1.3433895111084
DEU_LocationALower-25_155_T-1,15,R_G3,yes,1.46062660217285
DEU_LocationALower-34_146_T-1,14,R_G3,yes,1.48509979248047
DEU_LocationALower-33_265_T-1,22,R_G3,yes,1.49079990386963
DEU_LocationALower-11_110_T-1,16,R_G3,yes,1.54040551185608
DEU_LocationALower-11_131_T-1,18,R_G3,yes,1.54985904693604
DEU_LocationALower-14_161_T-1,21,R_G3,yes,1.59995985031128
DEU_LocationALower-32_186_T-1,12,R_G3,yes,1.68642258644104
DEU_LocationALower-29_123_T-1,16,R_G3,yes,1.69004249572754
DEU_LocationALower-37_1_T-1,11,R_G3,yes,1.70216417312622
DEU_LocationALower-31_239_T-1,16,R_G3,yes,1.76656484603882
DEU_LocationALower-14_96_T-1,15,R_G3,yes,1.77182292938232
DEU_LocationALower-13_167_T-1,17,R_G3,yes,1.78937220573425
DEU_LocationALower-35_263_T-1,12,R_G3,yes,1.81091618537903
DEU_LocationALower-13_239_T-1,18,R_G3,yes,1.81762337684631
DEU_LocationALower-12_109_T-1,20,R_G3,yes,2.06277275085449
DEU_LocationALower-27_140_T-1,14,R_G3,yes,2.16918635368347
DEU_LocationALower-12_167_T-1,12,R_G3,yes,2.19086813926697
DEU_LocationALower-11_4_T-1,18,R_G3,yes,2.37615013122559
DEU_LocationALower-14_39_T-1,15,R_G3,yes,3.05882453918457
DEU_LocationALower-13_56_T-1,10,R_G3,yes,3.209792137146
DEU_LocationALower-11_56_T-1,15,R_G3,yes,5.32696866989136
