scenario_id,ego_id,rule,replanability,total_time
DEU_AachenBendplatz-1_155320_T-5339,10335,R_IN1,yes,0.555870532989502
DEU_AachenBendplatz-1_75140_T-5159,10203,R_IN1,yes,0.531871318817139
DEU_AachenBendplatz-1_171600_T-1619,10125,R_IN1,yes,0.506478548049927
DEU_AachenBendplatz-1_12700_T-719,10035,R_IN1,yes,0.429283857345581
DEU_AachenBendplatz-1_162800_T-2819,10214,R_IN1,yes,0.431406021118164
DEU_AachenBendplatz-1_134900_T-4919,10351,R_IN1,yes,0.488914489746094
DEU_AachenBendplatz-1_172260_T-2279,10176,R_IN1,yes,0.469011545181274
DEU_AachenBendplatz-1_121080_T-1099,10056,R_IN1,yes,0.581156969070435
DEU_AachenBendplatz-1_123940_T-3959,10258,R_IN1,yes,0.518118143081665
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN1,yes,0.512451410293579
DEU_AachenBendplatz-1_85160_T-5179,10405,R_IN1,yes,0.424247264862061
DEU_AachenBendplatz-1_141540_T-1559,10095,R_IN1,yes,0.546206712722778
DEU_AachenBendplatz-1_91260_T-1279,10075,R_IN1,yes,0.551899194717407
DEU_AachenBendplatz-1_91280_T-1299,10079,R_IN1,yes,0.568583250045776
DEU_AachenBendplatz-1_85140_T-5159,10407,R_IN1,yes,0.477728128433228
DEU_AachenBendplatz-1_13540_T-559,10040,R_IN1,yes,0.517697095870972
DEU_AachenBendplatz-1_154520_T-4539,10285,R_IN1,yes,0.42749285697937
DEU_AachenBendplatz-1_93520_T-3539,10208,R_IN1,yes,0.442899465560913
DEU_AachenBendplatz-1_143020_T-3039,10228,R_IN1,yes,0.432839632034302
DEU_AachenBendplatz-1_132600_T-2619,10185,R_IN1,yes,0.534501791000366
DEU_AachenBendplatz-1_11500_T-519,10043,R_IN1,yes,0.486600399017334
DEU_AachenBendplatz-1_124040_T-4059,10264,R_IN1,yes,0.50924563407898
DEU_AachenBendplatz-1_113780_T-3799,10256,R_IN1,yes,0.512653827667236
DEU_AachenBendplatz-1_1240_T-59,10007,R_IN1,yes,0.484614849090576
DEU_AachenBendplatz-1_103440_T-3459,10202,R_IN1,yes,0.459782838821411
DEU_AachenBendplatz-1_71760_T-1779,10074,R_IN1,yes,0.426591873168945
DEU_AachenBendplatz-1_73920_T-3939,10153,R_IN1,yes,0.439575910568237
DEU_AachenBendplatz-1_161380_T-1399,10106,R_IN1,yes,0.58975100517273
DEU_AachenBendplatz-1_10700_T-719,10051,R_IN1,yes,0.428890705108643
DEU_AachenBendplatz-1_83540_T-3559,10269,R_IN1,yes,0.526847124099731
DEU_AachenBendplatz-1_113760_T-3779,10254,R_IN1,yes,0.539693593978882
DEU_AachenBendplatz-1_93760_T-3779,10229,R_IN1,yes,0.455142259597778
DEU_AachenBendplatz-1_141960_T-1979,10140,R_IN1,yes,0.456236839294434
DEU_AachenBendplatz-1_81000_T-1019,10078,R_IN1,yes,0.495790958404541
DEU_AachenBendplatz-1_122260_T-2279,10128,R_IN1,yes,0.511645555496216
DEU_AachenBendplatz-1_163720_T-3739,10270,R_IN1,yes,0.548536777496338
DEU_AachenBendplatz-1_13840_T-859,10063,R_IN1,yes,0.440830945968628
DEU_AachenBendplatz-1_81940_T-1959,10157,R_IN1,yes,0.489727020263672
DEU_AachenBendplatz-1_171180_T-1199,10090,R_IN1,yes,0.510498285293579
DEU_AachenBendplatz-1_171380_T-1399,10107,R_IN1,yes,0.487676382064819
DEU_AachenBendplatz-1_14360_T-379,10028,R_IN1,yes,0.479200839996338
DEU_AachenBendplatz-1_132180_T-2199,10158,R_IN1,yes,0.534886598587036
DEU_AachenBendplatz-1_134380_T-4399,10309,R_IN1,yes,0.537486076354981
DEU_AachenBendplatz-1_125580_T-5599,10402,R_IN1,yes,0.570523500442505
DEU_AachenBendplatz-1_102320_T-2339,10147,R_IN1,yes,0.419539451599121
DEU_AachenBendplatz-1_102160_T-2179,10130,R_IN1,yes,0.51455020904541
DEU_AachenBendplatz-1_144920_T-4939,10367,R_IN1,yes,0.512704849243164
DEU_AachenBendplatz-1_83420_T-3439,10262,R_IN1,yes,0.459281921386719
DEU_AachenBendplatz-1_124320_T-4339,10290,R_IN1,yes,0.51718020439148
DEU_AachenBendplatz-1_132580_T-2599,10183,R_IN1,yes,0.512138605117798
DEU_AachenBendplatz-1_71480_T-1499,10069,R_IN1,yes,0.436145305633545
DEU_AachenBendplatz-1_143920_T-3939,10304,R_IN1,yes,0.470906972885132
DEU_AachenBendplatz-1_83340_T-3359,10255,R_IN1,yes,0.435528039932251
DEU_AachenBendplatz-1_143100_T-3119,10232,R_IN1,yes,0.451044797897339
DEU_AachenBendplatz-1_162040_T-2059,10162,R_IN1,yes,0.457946300506592
DEU_AachenBendplatz-1_123880_T-3899,10251,R_IN1,yes,0.4402015209198
DEU_AachenBendplatz-1_132020_T-2039,10150,R_IN1,yes,0.498181819915772
DEU_AachenBendplatz-1_154860_T-4879,10303,R_IN1,yes,0.453767776489258
DEU_AachenBendplatz-1_7120_T-139,10017,R_IN1,yes,0.486003160476685
DEU_AachenBendplatz-1_143560_T-3579,10274,R_IN1,yes,0.482723951339722
DEU_AachenBendplatz-1_122380_T-2399,10146,R_IN1,yes,0.518844127655029
DEU_AachenBendplatz-1_125560_T-5579,10400,R_IN1,yes,0.569063663482666
DEU_AachenBendplatz-1_161440_T-1459,10124,R_IN1,yes,0.471746444702148
DEU_AachenBendplatz-1_81800_T-1819,10144,R_IN1,yes,0.500933408737183
DEU_AachenBendplatz-1_124500_T-4519,10305,R_IN1,yes,0.444341421127319
DEU_AachenBendplatz-1_82520_T-2539,10192,R_IN1,yes,0.450624227523804
DEU_AachenBendplatz-1_13520_T-539,10031,R_IN1,yes,0.568576574325562
DEU_AachenBendplatz-1_155340_T-5359,10343,R_IN1,yes,0.4281907081604
DEU_AachenBendplatz-1_121020_T-1039,10053,R_IN1,yes,0.429421663284302
DEU_AachenBendplatz-1_82760_T-2779,10212,R_IN1,yes,0.426641225814819
DEU_AachenBendplatz-1_142480_T-2499,10180,R_IN1,yes,0.469073534011841
DEU_AachenBendplatz-1_81520_T-1539,10114,R_IN1,yes,0.50297212600708
DEU_AachenBendplatz-1_151520_T-1539,10108,R_IN1,yes,0.473984718322754
DEU_AachenBendplatz-1_101840_T-1859,10111,R_IN1,yes,0.508187055587769
DEU_AachenBendplatz-1_121740_T-1759,10096,R_IN1,yes,0.459302186965942
DEU_AachenBendplatz-1_161200_T-1219,10100,R_IN1,yes,0.526742219924927
DEU_AachenBendplatz-1_133380_T-3399,10235,R_IN1,yes,0.50333571434021
DEU_AachenBendplatz-1_15920_T-939,10064,R_IN1,yes,0.42281436920166
DEU_AachenBendplatz-1_122600_T-2619,10162,R_IN1,yes,0.447261333465576
DEU_AachenBendplatz-1_112180_T-2199,10139,R_IN1,yes,0.445254564285278
DEU_AachenBendplatz-1_174480_T-4499,10329,R_IN1,yes,0.436518669128418
DEU_AachenBendplatz-1_82620_T-2639,10197,R_IN1,yes,0.440978765487671
DEU_AachenBendplatz-1_162280_T-2299,10179,R_IN4,yes,0.516219139099121
DEU_AachenFrankenburg-1_232260_T-2279,10208,R_IN4,yes,0.514923334121704
DEU_AachenFrankenburg-1_264440_T-4459,10391,R_IN4,yes,0.62007737159729
DEU_AachenBendplatz-1_93620_T-3639,10217,R_IN4,yes,0.463184356689453
DEU_AachenBendplatz-1_121860_T-1879,10102,R_IN4,yes,0.49069881439209
