scenario_id,ego_id,rule,repairability,model,TV,TC,maneuvers,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,ttc
DEU_AachenBendplatz-1_75140_T-5159,10203,R_IN1,bingo,"{'b', '~e', '~a'}",1,0,[<Maneuver.BRAKE: 'brake'>],4.55379486083984E-05,0.0114407539367676,0.029865026473999,0.0649905204772949,9,6.66
DEU_AachenBendplatz-1_171600_T-1619,10125,R_IN1,bingo,"{'b', '~e', '~a'}",2,0,[<Maneuver.BRAKE: 'brake'>],3.38554382324219E-05,0.0172505378723145,0.0284221172332764,0.0667004585266113,11,2.15
DEU_AachenBendplatz-1_124700_T-4719,10320,R_IN1,bingo,"{'b', '~e', '~a'}",2,0,[<Maneuver.BRAKE: 'brake'>],3.69548797607422E-05,0.0175070762634277,0.0265903472900391,0.0838289260864258,6,2.22
DEU_AachenBendplatz-1_12700_T-719,10035,R_IN1,bingo,"{'b', '~e', '~a'}",4,0,[<Maneuver.BRAKE: 'brake'>],5.67436218261719E-05,0.0273056030273437,0.0343830585479736,0.104164838790894,5,inf
DEU_AachenBendplatz-1_162800_T-2819,10214,R_IN1,bingo,"{'b', '~e', '~a'}",4,0,[<Maneuver.BRAKE: 'brake'>],3.814697265625E-05,0.0307695865631104,0.0412759780883789,0.113534688949585,7,5.96
DEU_AachenBendplatz-1_134900_T-4919,10351,R_IN1,bingo,"{'b', '~e', '~a'}",5,0,[<Maneuver.BRAKE: 'brake'>],3.4332275390625E-05,0.0365002155303955,0.053816556930542,0.11611795425415,10,0.06
DEU_AachenBendplatz-1_172260_T-2279,10176,R_IN1,bingo,"{'b', '~e', '~a'}",4,0,[<Maneuver.BRAKE: 'brake'>],3.50475311279297E-05,0.0317859649658203,0.0489060878753662,0.127325296401978,10,0.15
DEU_AachenBendplatz-1_121080_T-1099,10056,R_IN1,bingo,"{'b', '~a'}",2,1,[<Maneuver.BRAKE: 'brake'>],2.55107879638672E-05,0.0089335441589355,0.0282113552093506,0.0569906234741211,8,2
DEU_AachenBendplatz-1_123940_T-3959,10258,R_IN1,bingo,"{'b', '~e', '~a'}",4,1,[<Maneuver.BRAKE: 'brake'>],3.38554382324219E-05,0.0182278156280518,0.0349178314208984,0.0758242607116699,8,0.54
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN1,bingo,"{'b', '~e', '~a'}",3,1,[<Maneuver.BRAKE: 'brake'>],3.64780426025391E-05,0.0175974369049072,0.0260438919067383,0.0818667411804199,10,0
DEU_AachenBendplatz-1_85160_T-5179,10405,R_IN1,bingo,"{'b', '~e', '~a'}",3,1,[<Maneuver.BRAKE: 'brake'>],3.36170196533203E-05,0.0180478096008301,0.0253899097442627,0.0818555355072022,7,3.26
DEU_AachenBendplatz-1_141540_T-1559,10095,R_IN1,bingo,"{'b', '~e', '~a'}",5,1,[<Maneuver.BRAKE: 'brake'>],3.86238098144531E-05,0.0223574638366699,0.0277717113494873,0.0730180740356445,7,0.33
DEU_AachenBendplatz-1_91260_T-1279,10075,R_IN1,bingo,"{'b', '~e', '~a'}",5,1,[<Maneuver.BRAKE: 'brake'>],4.07695770263672E-05,0.0211961269378662,0.0414974689483643,0.0855679512023926,9,0.08
DEU_AachenBendplatz-1_91280_T-1299,10079,R_IN1,bingo,"{'b', '~e', '~a'}",5,1,[<Maneuver.BRAKE: 'brake'>],3.45706939697266E-05,0.0235214233398437,0.0375308990478516,0.101099967956543,10,0.24
DEU_AachenBendplatz-1_13540_T-559,10040,R_IN1,bingo,"{'b', '~a'}",5,1,[<Maneuver.BRAKE: 'brake'>],4.22000885009766E-05,0.0250985622406006,0.0529534816741943,0.105275630950928,11,0.11
DEU_AachenBendplatz-1_154520_T-4539,10285,R_IN1,bingo,"{'~e', 'b', '~a'}",4,2,[<Maneuver.BRAKE: 'brake'>],4.14848327636719E-05,0.0188736915588379,0.0349655151367187,0.0748052597045898,6,0.07
DEU_AachenBendplatz-1_93520_T-3539,10208,R_IN1,bingo,"{'~e', 'b', '~a'}",6,2,[<Maneuver.BRAKE: 'brake'>],4.29153442382813E-05,0.0358808040618896,0.0439252853393555,0.102149724960327,6,inf
DEU_AachenBendplatz-1_143020_T-3039,10228,R_IN1,bingo,"{'~e', 'b', '~a'}",4,2,[<Maneuver.BRAKE: 'brake'>],4.02927398681641E-05,0.0239555835723877,0.0294327735900879,0.0931742191314697,5,0.28
DEU_AachenBendplatz-1_132600_T-2619,10185,R_IN1,bingo,"{'~e', 'b', '~a'}",7,2,[<Maneuver.BRAKE: 'brake'>],3.814697265625E-05,0.0316488742828369,0.056171178817749,0.110625505447388,10,0.33
DEU_AachenBendplatz-1_11500_T-519,10043,R_IN1,bingo,"{'~e', 'b', '~a'}",6,2,[<Maneuver.BRAKE: 'brake'>],3.33786010742187E-05,0.0342166423797607,0.0474429130554199,0.121749877929688,9,9.16
DEU_AachenBendplatz-1_124040_T-4059,10264,R_IN1,bingo,"{'~e', 'b', '~a'}",6,2,[<Maneuver.BRAKE: 'brake'>],4.26769256591797E-05,0.0370533466339111,0.0466070175170898,0.104636907577515,8,0.3
DEU_AachenBendplatz-1_113780_T-3799,10256,R_IN1,bingo,"{'~e', 'b', '~a'}",7,2,[<Maneuver.BRAKE: 'brake'>],3.79085540771484E-05,0.0368387699127197,0.0518763065338135,0.111408472061157,8,0.08
DEU_AachenBendplatz-1_1240_T-59,10007,R_IN1,bingo,"{'~e', 'b', '~a'}",4,3,[<Maneuver.BRAKE: 'brake'>],4.02927398681641E-05,0.0210082530975342,0.0298876762390137,0.0690717697143555,7,4643.97
DEU_AachenBendplatz-1_103440_T-3459,10202,R_IN1,bingo,"{'b', '~a'}",5,3,[<Maneuver.BRAKE: 'brake'>],2.76565551757812E-05,0.0301213264465332,0.0295636653900146,0.0948905944824219,7,53.98
DEU_AachenBendplatz-1_71760_T-1779,10074,R_IN1,bingo,"{'~e', 'b', '~a'}",4,3,[<Maneuver.BRAKE: 'brake'>],4.69684600830078E-05,0.018012523651123,0.0298280715942383,0.0866823196411133,6,8.13
