scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,num_obstacles
DEU_AachenBendplatz-1_155320_T-5339,10335,R_IN1,bingo,"{'b', '~e', '~a'}",3,0,4.67300415039063e-05,0.0229513645172119,0.033890962600708,0.0798501968383789,0.13
DEU_AachenBendplatz-1_75140_T-5159,10203,R_IN1,bingo,"{'b', '~a'}",1,0,2.95639038085937e-05,0.0108020305633545,0.0372018814086914,0.0694737434387207,6.66
DEU_AachenBendplatz-1_171600_T-1619,10125,R_IN1,bingo,"{'b', '~e', '~a'}",2,0,4.41074371337891e-05,0.0174508094787598,0.0688645839691162,0.107418775558472,2.15
DEU_AachenBendplatz-1_124700_T-4719,10320,R_IN1,bingo,"{'b', '~e', '~a'}",2,0,3.86238098144531e-05,0.017575740814209,0.0287821292877197,0.0681555271148682,2.22
DEU_AachenBendplatz-1_162800_T-2819,10214,R_IN1,bingo,"{'b', '~e', '~a'}",4,0,0.0001804828643798,0.0316023826599121,0.0448989868164063,0.101914644241333,5.96
DEU_AachenBendplatz-1_134900_T-4919,10351,R_IN1,bingo,"{'b', '~a'}",5,0,2.40802764892578e-05,0.0361685752868652,0.0882182121276856,0.150084018707275,0.06
DEU_AachenBendplatz-1_172260_T-2279,10176,R_IN1,bingo,"{'b', '~e', '~a'}",4,0,3.67164611816406e-05,0.0324044227600098,0.0521366596221924,0.112929821014404,0.15
DEU_AachenBendplatz-1_121080_T-1099,10056,R_IN1,bingo,"{'b', '~a'}",2,1,3.0517578125e-05,0.0091934204101562,0.0347015857696533,0.0644071102142334,2.0
DEU_AachenBendplatz-1_123940_T-3959,10258,R_IN1,bingo,"{'b', '~a'}",4,1,3.19480895996094e-05,0.0205466747283936,0.0441586971282959,0.0937435626983643,0.54
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN1,bingo,"{'b', '~a'}",3,1,3.07559967041016e-05,0.0203835964202881,0.0579936504364014,0.100606918334961,0.0
