scenario_id,ego_id,rule_STL
DEU_LocationAUpper-31_5_T-1,5,R_G3
DEU_LocationAUpper-31_5_T-1,6,R_G3
DEU_LocationAUpper-31_5_T-1,9,R_G3
DEU_LocationAUpper-31_5_T-1,11,R_G3
DEU_LocationAUpper-31_5_T-1,14,R_G3
DEU_LocationALower-28_20_T-1,5,R_G3
DEU_LocationALower-28_20_T-1,7,R_G3
DEU_LocationALower-28_20_T-1,8,R_G3
DEU_LocationALower-28_20_T-1,9,R_G3
DEU_LocationFUpper-60_47_T-1,5,R_G3
DEU_LocationELower-22_20_T-1,5,R_G3
DEU_LocationELower-22_20_T-1,11,R_G3
DEU_LocationALower-44_28_T-1,5,R_G3
DEU_LocationALower-44_28_T-1,6,R_G3
DEU_LocationALower-44_28_T-1,7,R_G3
DEU_LocationALower-44_28_T-1,8,R_G3
DEU_LocationALower-44_28_T-1,9,R_G3
DEU_LocationALower-44_28_T-1,10,R_G3
DEU_LocationALower-44_28_T-1,11,R_G3
DEU_LocationALower-44_28_T-1,12,R_G3
DEU_LocationALower-44_28_T-1,13,R_G3
DEU_LocationALower-44_28_T-1,14,R_G3
DEU_LocationALower-44_28_T-1,15,R_G3
DEU_LocationALower-44_28_T-1,16,R_G3
DEU_LocationEUpper-24_48_T-1,3,R_G3
DEU_LocationEUpper-24_48_T-1,6,R_G3
DEU_LocationEUpper-24_48_T-1,11,R_G1
DEU_LocationCLower-4_18_T-1,7,R_G3
DEU_LocationCLower-4_18_T-1,8,R_G3
DEU_LocationCLower-4_18_T-1,10,R_G3
DEU_LocationAUpper-52_16_T-1,5,R_G3
DEU_LocationAUpper-52_16_T-1,10,R_G3
DEU_LocationAUpper-52_16_T-1,12,R_G3
DEU_LocationAUpper-52_16_T-1,13,R_G1
DEU_LocationAUpper-52_16_T-1,17,R_G3
DEU_LocationAUpper-52_16_T-1,19,R_G3
DEU_LocationAUpper-52_16_T-1,20,R_G1,R_G3
DEU_LocationAUpper-52_16_T-1,21,R_G3
DEU_LocationAUpper-52_16_T-1,22,R_G3
DEU_LocationAUpper-52_16_T-1,23,R_G3
DEU_LocationAUpper-52_16_T-1,24,R_G3
DEU_LocationAUpper-52_16_T-1,25,R_G3
DEU_LocationAUpper-52_16_T-1,26,R_G1,R_G3
DEU_LocationAUpper-53_48_T-1,6,R_G3
