scenario_id,ego_id,rule,
DEU_LocationAUpper-31_26_T-1,23,R_G1,
DEU_LocationALower-44_47_T-1,20,R_G1,
DEU_LocationAUpper-26_47_T-1,13,R_G1,
DEU_LocationALower-41_22_T-1,26,R_G1,
DEU_LocationALower-14_9_T-1,12,R_G1,
DEU_LocationALower-14_9_T-1,18,R_G1,
DEU_LocationALower-14_9_T-1,23,R_G1,
DEU_LocationALower-14_9_T-1,26,R_G1,
DEU_LocationAUpper-47_35_T-1,17,R_G1,
DEU_LocationBUpper-2_46_T-1,10,R_G1,
DEU_LocationAUpper-27_26_T-1,12,R_G1,
DEU_LocationCLower-4_22_T-1,9,R_G1,
DEU_LocationAUpper-47_43_T-1,15,R_G1,
DEU_LocationAUpper-35_38_T-1,12,R_G1,
DEU_LocationAUpper-35_38_T-1,13,R_G1,
DEU_LocationAUpper-35_23_T-1,16,R_G1,
DEU_LocationAUpper-27_15_T-1,16,R_G1,
DEU_LocationFUpper-60_33_T-1,7,R_G1,
DEU_LocationFUpper-60_33_T-1,9,R_G1,
DEU_LocationFUpper-60_33_T-1,10,R_G1,
DEU_LocationELower-19_47_T-1,6,R_G1,
DEU_LocationALower-30_50_T-1,16,R_G1,
DEU_LocationAUpper-31_51_T-1,17,R_G1,
DEU_LocationFUpper-58_15_T-1,18,R_G1,
DEU_LocationAUpper-28_14_T-1,14,R_G1,
DEU_LocationAUpper-25_21_T-1,33,R_G1,
DEU_LocationELower-18_12_T-1,12,R_G1,
DEU_LocationALower-37_25_T-1,11,R_G1,
DEU_LocationALower-25_15_T-1,22,R_G1,
DEU_LocationAUpper-25_43_T-1,30,R_G1,
DEU_LocationAUpper-33_43_T-1,14,R_G1,
DEU_LocationAUpper-33_43_T-1,18,R_G1,
DEU_LocationAUpper-42_18_T-1,15,R_G1,
DEU_LocationALower-25_2_T-1,33,R_G1,
DEU_LocationALower-34_34_T-1,17,R_G1,
DEU_LocationAUpper-35_30_T-1,21,R_G1,
DEU_LocationAUpper-13_34_T-1,21,R_G1,
DEU_LocationALower-51_21_T-1,23,R_G1,
DEU_LocationALower-26_55_T-1,34,R_G1,
DEU_LocationAUpper-50_32_T-1,13,R_G1,
DEU_LocationAUpper-25_52_T-1,27,R_G1,
DEU_LocationAUpper-25_52_T-1,43,R_G1,
DEU_LocationBUpper-1_21_T-1,16,R_G1,
DEU_LocationALower-43_37_T-1,15,R_G1,
DEU_LocationALower-43_37_T-1,16,R_G1,
DEU_LocationCUpper-6_17_T-1,10,R_G1,
DEU_LocationAUpper-44_33_T-1,16,R_G1,
DEU_LocationCUpper-5_8_T-1,12,R_G1,
