rule_group,scenario_id,ego_id,sat_solver_mode,monitor_ok,repair_ok,repaired,tv,tv_class,rule_to_tv,rule_to_tv_classes,iterations,error_type,error,captured_failure_lines,potential_masked_bug,wall_time
R_G1,DEU_LocationALower-34_37_T-1,9,dpll,True,True,True,2,finite_positive,{'R_G1': 2},{'R_G1': 'finite_positive'},1,,,,False,0.9556460380554199
R_G1,DEU_LocationALower-34_37_T-1,9,domain_dpll,True,True,True,2,finite_positive,{'R_G1': 2},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.8331127166748047
R_G1,DEU_LocationALower-11_131_T-1,18,dpll,True,True,True,9,finite_positive,{'R_G1': 9},{'R_G1': 'finite_positive'},1,,,,False,0.9567854404449463
R_G1,DEU_LocationALower-11_131_T-1,18,domain_dpll,True,True,True,9,finite_positive,{'R_G1': 9},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,1.048233985900879
R_G1,DEU_LocationALower-11_4_T-1,18,dpll,True,True,True,6,finite_positive,{'R_G1': 6},{'R_G1': 'finite_positive'},1,,,,False,0.8181350231170654
R_G1,DEU_LocationALower-11_4_T-1,18,domain_dpll,True,True,True,6,finite_positive,{'R_G1': 6},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.8240053653717041
R_G1,DEU_LocationALower-11_43_T-1,17,dpll,True,True,True,2,finite_positive,{'R_G1': 2},{'R_G1': 'finite_positive'},2,,,* 	<VPRepairer>: VP repair failed for current SAT model: Infeasible lane constraint at time step 1 with prop in_same_lane__0_1.,False,0.8596611022949219
R_G1,DEU_LocationALower-11_43_T-1,17,domain_dpll,True,True,True,2,finite_positive,{'R_G1': 2},{'R_G1': 'finite_positive'},2,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane' | * 	<VPRepairer>: VP repair failed for current SAT model: Infeasible lane constraint at time step 12 with prop in_same_lane__0_1.",False,0.9880936145782471
R_G1,DEU_LocationALower-11_56_T-1,15,dpll,True,True,True,14,finite_positive,{'R_G1': 14},{'R_G1': 'finite_positive'},1,,,,False,0.8251631259918213
R_G1,DEU_LocationALower-11_56_T-1,15,domain_dpll,True,True,True,14,finite_positive,{'R_G1': 14},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.8256235122680664
R_G1,DEU_LocationALower-11_64_T-1,18,dpll,True,True,True,15,finite_positive,{'R_G1': 15},{'R_G1': 'finite_positive'},1,,,,False,0.8066964149475098
R_G1,DEU_LocationALower-11_64_T-1,18,domain_dpll,True,True,True,15,finite_positive,{'R_G1': 15},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.8491628170013428
R_G1,DEU_LocationALower-12_109_T-1,20,dpll,True,True,True,19,finite_positive,{'R_G1': 19},{'R_G1': 'finite_positive'},1,,,,False,1.003882646560669
R_G1,DEU_LocationALower-12_109_T-1,20,domain_dpll,True,True,True,19,finite_positive,{'R_G1': 19},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.9121577739715576
R_G1,DEU_LocationALower-12_217_T-1,14,dpll,True,True,True,17,finite_positive,{'R_G1': 17},{'R_G1': 'finite_positive'},1,,,,False,0.8093705177307129
R_G1,DEU_LocationALower-12_217_T-1,14,domain_dpll,True,True,True,17,finite_positive,{'R_G1': 17},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.8335647583007812
R_G1,DEU_LocationALower-12_52_T-1,26,dpll,True,True,True,7,finite_positive,{'R_G1': 7},{'R_G1': 'finite_positive'},1,,,,False,0.948415994644165
R_G1,DEU_LocationALower-12_52_T-1,26,domain_dpll,True,True,True,7,finite_positive,{'R_G1': 7},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.9316537380218506
R_G1,DEU_LocationALower-13_162_T-1,21,dpll,True,True,True,17,finite_positive,{'R_G1': 17},{'R_G1': 'finite_positive'},1,,,,False,0.9441361427307129
R_G1,DEU_LocationALower-13_162_T-1,21,domain_dpll,True,True,True,17,finite_positive,{'R_G1': 17},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.8376238346099854
R_G1,DEU_LocationALower-13_167_T-1,17,dpll,True,True,True,8,finite_positive,{'R_G1': 8},{'R_G1': 'finite_positive'},1,,,,False,0.8354814052581787
R_G1,DEU_LocationALower-13_167_T-1,17,domain_dpll,True,True,True,8,finite_positive,{'R_G1': 8},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.8175938129425049
R_G1,DEU_LocationALower-13_214_T-1,21,dpll,True,True,True,16,finite_positive,{'R_G1': 16},{'R_G1': 'finite_positive'},2,,,* 	<VPRepairer>: VP repair failed for current SAT model: Infeasible lane constraint at time step 18 with prop in_same_lane__0_1.,False,0.8418307304382324
R_G1,DEU_LocationALower-13_214_T-1,21,domain_dpll,True,True,True,16,finite_positive,{'R_G1': 16},{'R_G1': 'finite_positive'},2,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane' | * 	<VPRepairer>: VP repair failed for current SAT model: Infeasible lane constraint at time step 6 with prop in_same_lane__0_1.",False,0.8459055423736572
R_G1,DEU_LocationALower-13_239_T-1,18,dpll,True,True,True,14,finite_positive,{'R_G1': 14},{'R_G1': 'finite_positive'},1,,,,False,0.8060877323150635
R_G1,DEU_LocationALower-13_239_T-1,18,domain_dpll,True,True,True,14,finite_positive,{'R_G1': 14},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.9903345108032227
R_G1,DEU_LocationALower-13_241_T-1,20,dpll,True,True,True,18,finite_positive,{'R_G1': 18},{'R_G1': 'finite_positive'},1,,,,False,0.8493392467498779
R_G1,DEU_LocationALower-13_241_T-1,20,domain_dpll,True,True,True,18,finite_positive,{'R_G1': 18},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.8704538345336914
R_G1,DEU_LocationALower-13_247_T-1,15,dpll,True,True,True,8,finite_positive,{'R_G1': 8},{'R_G1': 'finite_positive'},2,,,* 	<VPRepairer>: VP repair failed for current SAT model: Infeasible lane constraint at time step 1 with prop in_same_lane__0_1.,False,0.8080747127532959
R_G1,DEU_LocationALower-13_247_T-1,15,domain_dpll,True,True,True,8,finite_positive,{'R_G1': 8},{'R_G1': 'finite_positive'},2,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane' | * 	<VPRepairer>: VP repair failed for current SAT model: Infeasible lane constraint at time step 1 with prop in_same_lane__0_1.",False,0.7875063419342041
R_G1,DEU_LocationALower-13_29_T-1,18,dpll,True,True,True,19,finite_positive,{'R_G1': 19},{'R_G1': 'finite_positive'},1,,,,False,0.926687479019165
R_G1,DEU_LocationALower-13_29_T-1,18,domain_dpll,True,True,True,19,finite_positive,{'R_G1': 19},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.9145402908325195
R_G1,DEU_LocationALower-13_56_T-1,10,dpll,True,True,True,13,finite_positive,{'R_G1': 13},{'R_G1': 'finite_positive'},1,,,,False,1.0682320594787598
R_G1,DEU_LocationALower-13_56_T-1,10,domain_dpll,True,True,True,13,finite_positive,{'R_G1': 13},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.9208793640136719
R_G1,DEU_LocationALower-11_110_T-1,16,dpll,True,True,True,8,finite_positive,{'R_G1': 8},{'R_G1': 'finite_positive'},1,,,,False,1.0005950927734375
R_G1,DEU_LocationALower-11_110_T-1,16,domain_dpll,True,True,True,8,finite_positive,{'R_G1': 8},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,1.0162053108215332
R_G1,DEU_LocationALower-14_161_T-1,21,dpll,True,True,True,15,finite_positive,{'R_G1': 15},{'R_G1': 'finite_positive'},1,,,,False,0.9411599636077881
R_G1,DEU_LocationALower-14_161_T-1,21,domain_dpll,True,True,True,15,finite_positive,{'R_G1': 15},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.934398889541626
R_G1,DEU_LocationALower-14_219_T-1,12,dpll,True,True,True,8,finite_positive,{'R_G1': 8},{'R_G1': 'finite_positive'},1,,,,False,0.844487190246582
R_G1,DEU_LocationALower-14_219_T-1,12,domain_dpll,True,True,True,8,finite_positive,{'R_G1': 8},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,1.0571303367614746
R_G1,DEU_LocationALower-14_247_T-1,16,dpll,True,True,True,13,finite_positive,{'R_G1': 13},{'R_G1': 'finite_positive'},1,,,,False,0.8858473300933838
R_G1,DEU_LocationALower-14_247_T-1,16,domain_dpll,True,True,True,13,finite_positive,{'R_G1': 13},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.9036543369293213
R_G1,DEU_LocationALower-14_252_T-1,12,dpll,True,True,True,18,finite_positive,{'R_G1': 18},{'R_G1': 'finite_positive'},1,,,,False,0.8533086776733398
R_G1,DEU_LocationALower-14_252_T-1,12,domain_dpll,True,True,True,18,finite_positive,{'R_G1': 18},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.8693270683288574
R_G1,DEU_LocationALower-14_255_T-1,11,dpll,True,True,True,11,finite_positive,{'R_G1': 11},{'R_G1': 'finite_positive'},2,,,* 	<VPRepairer>: VP repair failed for current SAT model: Infeasible lane constraint at time step 1 with prop in_same_lane__0_1.,False,1.029336929321289
R_G1,DEU_LocationALower-14_255_T-1,11,domain_dpll,True,True,True,11,finite_positive,{'R_G1': 11},{'R_G1': 'finite_positive'},2,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane' | * 	<VPRepairer>: VP repair failed for current SAT model: Infeasible lane constraint at time step 12 with prop in_same_lane__0_1.",False,1.0023589134216309
R_G1,DEU_LocationALower-14_39_T-1,15,dpll,True,True,True,14,finite_positive,{'R_G1': 14},{'R_G1': 'finite_positive'},1,,,,False,1.1160643100738525
R_G1,DEU_LocationALower-14_39_T-1,15,domain_dpll,True,True,True,14,finite_positive,{'R_G1': 14},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.9859366416931152
R_G1,DEU_LocationALower-25_155_T-1,15,dpll,True,True,True,11,finite_positive,{'R_G1': 11},{'R_G1': 'finite_positive'},1,,,,False,0.885082483291626
R_G1,DEU_LocationALower-25_155_T-1,15,domain_dpll,True,True,True,11,finite_positive,{'R_G1': 11},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.887052059173584
R_G1,DEU_LocationALower-27_140_T-1,14,dpll,True,True,True,8,finite_positive,{'R_G1': 8},{'R_G1': 'finite_positive'},1,,,,False,0.9201784133911133
R_G1,DEU_LocationALower-27_140_T-1,14,domain_dpll,True,True,True,8,finite_positive,{'R_G1': 8},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.9152317047119141
R_G1,DEU_LocationALower-28_109_T-1,13,dpll,True,True,True,11,finite_positive,{'R_G1': 11},{'R_G1': 'finite_positive'},1,,,,False,0.9428372383117676
R_G1,DEU_LocationALower-28_109_T-1,13,domain_dpll,True,True,True,11,finite_positive,{'R_G1': 11},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,1.1145336627960205
R_G1,DEU_LocationALower-28_109_T-1,18,dpll,True,True,True,9,finite_positive,{'R_G1': 9},{'R_G1': 'finite_positive'},1,,,,False,0.917870283126831
R_G1,DEU_LocationALower-28_109_T-1,18,domain_dpll,True,True,True,9,finite_positive,{'R_G1': 9},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.9154810905456543
R_G1,DEU_LocationALower-28_228_T-1,11,dpll,True,True,True,17,finite_positive,{'R_G1': 17},{'R_G1': 'finite_positive'},1,,,,False,0.862269401550293
R_G1,DEU_LocationALower-28_228_T-1,11,domain_dpll,True,True,True,17,finite_positive,{'R_G1': 17},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.8479156494140625
R_G1,DEU_LocationALower-28_252_T-1,12,dpll,True,True,True,12,finite_positive,{'R_G1': 12},{'R_G1': 'finite_positive'},1,,,,False,0.9491593837738037
R_G1,DEU_LocationALower-28_252_T-1,12,domain_dpll,True,True,True,12,finite_positive,{'R_G1': 12},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.9017422199249268
R_G1,DEU_LocationALower-28_252_T-1,18,dpll,True,True,True,16,finite_positive,{'R_G1': 16},{'R_G1': 'finite_positive'},1,,,,False,0.9515118598937988
R_G1,DEU_LocationALower-28_252_T-1,18,domain_dpll,True,True,True,16,finite_positive,{'R_G1': 16},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.9405453205108643
R_G1,DEU_LocationALower-29_123_T-1,16,dpll,True,True,True,9,finite_positive,{'R_G1': 9},{'R_G1': 'finite_positive'},1,,,,False,0.8560960292816162
R_G1,DEU_LocationALower-29_123_T-1,16,domain_dpll,True,True,True,9,finite_positive,{'R_G1': 9},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,1.0580625534057617
R_G1,DEU_LocationALower-29_134_T-1,9,dpll,True,True,True,7,finite_positive,{'R_G1': 7},{'R_G1': 'finite_positive'},1,,,,False,0.9062094688415527
