group,scenario_id,ego_id,extended_success,lane_success,extended_core_time_ms,lane_core_time_ms,selected_clcs,selected_core_time_ms
in3,DEU_AachenFrankenburg-1_184840_T-4859,10366,True,True,65.4225349426269,32.5868129730224,lane,32.5868129730224
in3,DEU_AachenFrankenburg-1_19980_T-999,10083,True,True,59.3113899230957,41.3975715637207,lane,41.3975715637207
in3,DEU_AachenFrankenburg-1_202900_T-2919,10233,True,True,51.328659057617095,20.2665328979492,lane,20.2665328979492
in3,DEU_AachenFrankenburg-1_22140_T-159,10039,True,True,41.9018268585205,29.253482818603498,lane,29.253482818603498
in3,DEU_AachenFrankenburg-1_223120_T-3139,10286,True,True,41.695117950439396,8.5859298706054,lane,8.5859298706054
in3,DEU_AachenFrankenburg-1_223120_T-3139,10294,True,True,25.921821594238203,9.0513229370117,lane,9.0513229370117
in3,DEU_AachenFrankenburg-1_233380_T-3399,10319,True,True,61.4345073699951,46.6914176940918,lane,46.6914176940918
in3,DEU_AachenFrankenburg-1_243980_T-3999,10377,True,True,58.1996440887451,48.885107040405195,lane,48.885107040405195
in3,DEU_AachenFrankenburg-1_28560_T-579,10067,True,True,37.4419689178466,29.982805252075103,lane,29.982805252075103
in4,DEU_AachenBendplatz-1_151840_T-1859,10123,True,True,125.9801387786865,61.5615844726562,lane,61.5615844726562
in4,DEU_AachenBendplatz-1_83420_T-3439,10259,True,True,144.3638801574707,87.2430801391601,lane,87.2430801391601
in5,DEU_AachenBendplatz-1_122380_T-2399,10145,False,False,,35.3326797485351,lane,35.3326797485351
in5,DEU_AachenBendplatz-1_141560_T-1579,10095,True,True,35.6349945068359,19.2134380340576,lane,19.2134380340576
