rule,variant,cases,successes,success_rate_percent,mean_iterations,median_iterations,mean_core_time_ms,median_core_time_ms
in1,VP Domain DPLL + acceleration,77,76,98.7012987012987,1.025974025974026,1.0,6.737876248049992,6.4048767089843
in1,VP DPLL + acceleration,77,76,98.7012987012987,1.051948051948052,1.0,5.649102198613101,5.213975906372
in1,SMT baseline,77,56,72.72727272727273,8.727272727272727,7.0,764.4380346521154,317.2123432159424
in3,VP Domain DPLL + acceleration,85,85,100.0,1.847058823529412,1.0,8.51698482737817,5.7964324951171
in3,VP DPLL + acceleration,85,52,61.1764705882353,204.05882352941177,13.0,1263.048932131599,11.0387802124023
in3,SMT baseline,85,40,47.05882352941176,35.258823529411764,12.0,1438.3109765894274,936.3796710968018
in4,VP Domain DPLL + acceleration,26,26,100.0,2.5384615384615383,1.0,11.773953071007313,6.1017274856567
in4,VP DPLL + acceleration,26,25,96.15384615384616,24.0,1.0,114.53261742225054,5.7961940765380495
in4,SMT baseline,26,9,34.61538461538461,48.84615384615385,56.0,1004.1690881435688,881.1963796615601
in5,VP Domain DPLL + acceleration,35,34,97.14285714285714,1.7714285714285714,1.0,9.07693590436658,6.1259269714355
in5,VP DPLL + acceleration,35,32,91.42857142857144,27.0,1.0,29.67816080365857,5.8679580688476
in5,SMT baseline,35,32,91.42857142857144,21.714285714285715,19.0,1297.6698739188057,833.8186740875244
