group,scenario_id,scenario_path,ego_id,rule,success,successful_repair_mode,selected_reference_acceleration,deceleration_iterations,acceleration_iterations,updated_tv,predicate_value_estimate_time,vp_planning_time,constraint_extract_time,sat_solve_time,core_total_time,figure_path,error
in3,DEU_AachenFrankenburg-1_184840_T-4859,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenFrankenburg-1_184840_T-4859.xml,10366,R_IN3_hand_draft,True,acceleration,7.0,6,7,inf,0.00067901611328125,0.013863086700439453,0.0036258697509765625,0.0047724246978759766,0.022940397262573242,/data_linux/Lab/commonroad-repairer-vp/examples/output/vp_acceleration_repairs/in3_DEU_AachenFrankenburg-1_184840_T-4859_ego_10366_acceleration.png,
in3,DEU_AachenFrankenburg-1_19980_T-999,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenFrankenburg-1_19980_T-999.xml,10083,R_IN3_hand_draft,True,acceleration,5.0,9,5,inf,0.0005218982696533203,0.016931533813476562,0.007165193557739258,0.0070285797119140625,0.0316472053527832,/data_linux/Lab/commonroad-repairer-vp/examples/output/vp_acceleration_repairs/in3_DEU_AachenFrankenburg-1_19980_T-999_ego_10083_acceleration.png,
in3,DEU_AachenFrankenburg-1_202900_T-2919,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenFrankenburg-1_202900_T-2919.xml,10233,R_IN3_hand_draft,True,acceleration,4.0,2,4,inf,0.0007500648498535156,0.008857250213623047,0.0024018287658691406,0.001497507095336914,0.013506650924682617,/data_linux/Lab/commonroad-repairer-vp/examples/output/vp_acceleration_repairs/in3_DEU_AachenFrankenburg-1_202900_T-2919_ego_10233_acceleration.png,
in3,DEU_AachenFrankenburg-1_22140_T-159,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenFrankenburg-1_22140_T-159.xml,10039,R_IN3_hand_draft,True,acceleration,4.0,8,4,inf,0.0004048347473144531,0.012161970138549805,0.004105329513549805,0.004247188568115234,0.020919322967529297,/data_linux/Lab/commonroad-repairer-vp/examples/output/vp_acceleration_repairs/in3_DEU_AachenFrankenburg-1_22140_T-159_ego_10039_acceleration.png,
in3,DEU_AachenFrankenburg-1_223120_T-3139,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenFrankenburg-1_223120_T-3139.xml,10286,R_IN3_hand_draft,True,acceleration,1.0,1,1,inf,0.0007755756378173828,0.002732992172241211,0.0010836124420166016,0.0008101463317871094,0.005402326583862305,/data_linux/Lab/commonroad-repairer-vp/examples/output/vp_acceleration_repairs/in3_DEU_AachenFrankenburg-1_223120_T-3139_ego_10286_acceleration.png,
in3,DEU_AachenFrankenburg-1_223120_T-3139,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenFrankenburg-1_223120_T-3139.xml,10294,R_IN3_hand_draft,True,acceleration,1.0,1,1,inf,0.0007278919219970703,0.0024733543395996094,0.0003197193145751953,0.0007455348968505859,0.004266500473022461,/data_linux/Lab/commonroad-repairer-vp/examples/output/vp_acceleration_repairs/in3_DEU_AachenFrankenburg-1_223120_T-3139_ego_10294_acceleration.png,
in3,DEU_AachenFrankenburg-1_233380_T-3399,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenFrankenburg-1_233380_T-3399.xml,10319,R_IN3_hand_draft,True,acceleration,6.0,8,6,inf,0.0005173683166503906,0.01704573631286621,0.006411075592041016,0.0043337345123291016,0.02830791473388672,/data_linux/Lab/commonroad-repairer-vp/examples/output/vp_acceleration_repairs/in3_DEU_AachenFrankenburg-1_233380_T-3399_ego_10319_acceleration.png,
in3,DEU_AachenFrankenburg-1_243980_T-3999,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenFrankenburg-1_243980_T-3999.xml,10377,R_IN3_hand_draft,True,acceleration,6.0,9,6,inf,0.0005211830139160156,0.017708539962768555,0.00611567497253418,0.007775068283081055,0.032120466232299805,/data_linux/Lab/commonroad-repairer-vp/examples/output/vp_acceleration_repairs/in3_DEU_AachenFrankenburg-1_243980_T-3999_ego_10377_acceleration.png,
in3,DEU_AachenFrankenburg-1_28560_T-579,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenFrankenburg-1_28560_T-579.xml,10067,R_IN3_hand_draft,True,acceleration,3.0,8,3,inf,0.0004222393035888672,0.01054835319519043,0.004462718963623047,0.004111766815185547,0.01954507827758789,/data_linux/Lab/commonroad-repairer-vp/examples/output/vp_acceleration_repairs/in3_DEU_AachenFrankenburg-1_28560_T-579_ego_10067_acceleration.png,
in4,DEU_AachenBendplatz-1_151840_T-1859,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_151840_T-1859.xml,10123,R_IN4,True,acceleration,5.0,12,5,inf,0.0013573169708251953,0.023699522018432617,0.008750438690185547,0.019197463989257812,0.05300474166870117,/data_linux/Lab/commonroad-repairer-vp/examples/output/vp_acceleration_repairs/in4_DEU_AachenBendplatz-1_151840_T-1859_ego_10123_acceleration.png,
in4,DEU_AachenBendplatz-1_83420_T-3439,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_83420_T-3439.xml,10259,R_IN4,True,acceleration,10.0,9,10,inf,0.0013911724090576172,0.020601272583007812,0.009015321731567383,0.01892709732055664,0.04993486404418945,/data_linux/Lab/commonroad-repairer-vp/examples/output/vp_acceleration_repairs/in4_DEU_AachenBendplatz-1_83420_T-3439_ego_10259_acceleration.png,
in5,DEU_AachenBendplatz-1_141560_T-1579,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_141560_T-1579.xml,10095,R_IN5,True,acceleration,1.0,11,1,inf,0.0005691051483154297,0.00850534439086914,0.0042972564697265625,0.0048792362213134766,0.01825094223022461,/data_linux/Lab/commonroad-repairer-vp/examples/output/vp_acceleration_repairs/in5_DEU_AachenBendplatz-1_141560_T-1579_ego_10095_acceleration.png,
