row_type,case_index,scenario_id,ego_id,rule,scenario_type,dv,tc_s,selected_target_id,status,selected_tc_target_compliant,repair_success,outcome,monitor_initialization_time_s,preprocessing_time_s,search_time_s,ha_core_time_s,validation_time_s,wall_time_s,expanded_nodes,generated_nodes,rule_evaluations,rule_evaluation_time_s,vp_core_time_s,ha_over_vp,error,total_cases,completed_cases,timeout_cases,error_cases,compliant_cases,compliance_rate_completed,preprocessing_mean_s,search_mean_s,search_median_s,search_p95_s,core_mean_s,core_median_s,core_p95_s,validation_mean_s,wall_mean_s,expanded_nodes_mean,generated_nodes_mean,rule_evaluations_mean,rule_evaluation_time_mean_s,vp_core_mean_s,ha_over_vp_median
case,0,DEU_LocationALower-11_102_T-1,16,R_G1,interstate,1.0,0.0,15,ok,True,true,success,1.2985910789993795,0.0038257470005191863,0.05022150900003908,0.054047256000558264,0.06014608100122132,1.4529983749998792,68,278,1344,0.0015712509648437845,0.00875234603881836,6.175173577558309,,,,,,,,,,,,,,,,,,,,,,
case,1,DEU_LocationALower-11_110_T-1,16,R_G1,interstate,1.0,0.0,15,ok,True,true,success,1.4062566640004661,0.005970411000816966,0.6362839869998425,0.6422543980006594,0.090887678999934,2.17859027600025,2608,4442,52144,0.07612943398271454,0.008953332901000977,71.7335549903272,,,,,,,,,,,,,,,,,,,,,,
case,2,DEU_LocationALower-11_131_T-1,18,R_G1,interstate,1.0,0.0,16,ok,True,true,success,1.4240504099998361,0.006560309000633424,0.4733129519991053,0.4798732609997387,0.08945890799986955,2.0326225360004173,2022,3554,40440,0.05296520489537215,0.00906062126159668,52.962511857070446,,,,,,,,,,,,,,,,,,,,,,
case,3,DEU_LocationALower-11_43_T-1,17,R_G1,interstate,1.0,0.0,16,ok,True,true,success,1.4740029810000124,0.004964602001564344,0.2689570870006719,0.27392168900223623,0.07320277699909639,1.8619678680006473,980,1965,19576,0.03336937017229502,0.009379148483276367,29.205389965907507,,,,,,,,,,,,,,,,,,,,,,
case,4,DEU_LocationALower-11_4_T-1,18,R_G1,interstate,1.0,0.0,16,ok,True,true,success,1.3146069009999337,0.006212870999661391,0.40523795599983714,0.41145082699949853,0.0640995550002117,1.8324433460002183,1766,3160,35304,0.054917201050557196,0.009440183639526367,43.58504481594405,,,,,,,,,,,,,,,,,,,,,,
case,5,DEU_LocationALower-11_56_T-1,15,R_G1,interstate,1.0,0.0,13,ok,True,true,success,1.3105208020006103,0.004446990000360529,0.38552876099856803,0.38997575099892856,0.0708174079991295,1.811520813000243,1579,3013,31564,0.03694382820140163,0.013799667358398438,28.259793578400313,,,,,,,,,,,,,,,,,,,,,,
case,6,DEU_LocationALower-11_64_T-1,18,R_G1,interstate,1.0,0.0,17,ok,True,true,success,1.2986722309997276,0.004460379999727593,0.06434142299985979,0.06880180299958738,0.06811339800151472,1.473917272000108,158,530,3160,0.00435363902397512,0.008419275283813477,8.171938876005475,,,,,,,,,,,,,,,,,,,,,,
case,7,DEU_LocationALower-12_109_T-1,20,R_G1,interstate,1.0,0.0,19,ok,True,true,success,1.419240875999094,0.006213098000444006,0.07593096699929447,0.08214406499973848,0.09019639500002086,1.630875181999727,255,745,5084,0.007847060021958896,0.008487701416015625,9.678010685524244,,,,,,,,,,,,,,,,,,,,,,
case,8,DEU_LocationALower-12_167_T-1,12,R_G1,interstate,1.0,0.0,10,ok,True,true,success,0.9112045930014574,0.004489171000386705,1.3035259139996924,1.3080150850000791,0.07429647300159559,2.312623468000311,3666,5954,73320,0.2867611620658863,0.010073423385620117,129.8481196439415,,,,,,,,,,,,,,,,,,,,,,
case,9,DEU_LocationALower-12_217_T-1,14,R_G1,interstate,1.0,0.0,11,ok,True,true,success,1.0575276379986462,0.0049004669999703765,0.13772615200105065,0.14262661900102103,0.0937032999991061,1.3122769750007137,587,1369,11724,0.015471146029085503,0.008426666259765625,16.925628072161004,,,,,,,,,,,,,,,,,,,,,,
