scenario_id,scenario_path,ego_id,rule,repeat,encoding,rule_semantics,num_steps,solver_feasible,monitor_compliant,success,specification_time,solver_setup_time,solve_time,core_total_time,validation_time,gurobi_runtime,num_variables,num_binary_variables,num_constraints,solver_status,mip_gap,robustness,updated_tv,updated_other_id,updated_diagnostics,candidate_sd_at_tv,error
DEU_AachenBendplatz-1_155320_T-5339,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_155320_T-5339.xml,10335,R_IN1,0,standard,vp_no_crossing_temporal,20,False,False,False,0.0009616300012567081,0.40590007200080436,0.021045690002210904,0.42790739200427197,,0.020576953887939453,1024,220,1580,4,,-inf,,,,,
DEU_AachenBendplatz-1_75140_T-5159,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_75140_T-5159.xml,10203,R_IN1,0,standard,vp_no_crossing_temporal,20,False,False,False,0.0016674630023771897,0.4971742310008267,0.007275406998815015,0.5061171010020189,,0.006783962249755859,1180,272,1749,4,,-inf,,,,,
DEU_AachenBendplatz-1_171600_T-1619,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_171600_T-1619.xml,10125,R_IN1,0,standard,vp_no_crossing_temporal,20,False,False,False,0.0015770890022395179,0.4741860499998438,0.017428446997655556,0.4931915859997389,,0.01691889762878418,1132,256,1697,4,,-inf,,,,,
DEU_AachenBendplatz-1_124700_T-4719,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_124700_T-4719.xml,10320,R_IN1,0,standard,vp_no_crossing_temporal,20,False,False,False,0.0005319949996192008,0.2673428950001835,0.0010479099946678616,0.26892279999447055,,0.0004868507385253906,754,130,1295,4,,-inf,,,,,
DEU_AachenBendplatz-1_12700_T-719,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_12700_T-719.xml,10035,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0003317809969303198,0.21411444800469326,0.003585994003515225,0.2180322230051388,0.415178229995945,0.0030100345611572266,664,100,1205,2,0.0,0.01000000000000073,inf,,,,
DEU_AachenBendplatz-1_162800_T-2819,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_162800_T-2819.xml,10214,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0005360490031307563,0.2685055249967263,0.05536651099828305,0.3244080849981401,0.42019419399730396,0.054788827896118164,763,133,1304,2,0.0,0.01,inf,,,,
DEU_AachenBendplatz-1_134900_T-4919,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_134900_T-4919.xml,10351,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0018986100039910525,0.7196504839957925,0.029339623994019348,0.7508887179938029,0.4189385549980216,0.028681039810180664,1564,400,2165,2,0.0,0.009999166183546734,inf,,,,
DEU_AachenBendplatz-1_172260_T-2279,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_172260_T-2279.xml,10176,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0006577419990208,0.3162309710023692,0.003938993002520874,0.32082770600391086,0.4287359169975389,0.0033349990844726562,847,161,1395,2,0.0,0.010000000000000103,inf,,,,
DEU_AachenBendplatz-1_123940_T-3959,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_123940_T-3959.xml,10258,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0018850650012609549,0.5661420399992494,0.05219474300247384,0.6202218480029842,0.4206357669972931,0.051599979400634766,1300,312,1879,2,3.377487573449569e-09,0.01,inf,,,,
DEU_AachenBendplatz-1_85160_T-5179,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_85160_T-5179.xml,10405,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0005070219995104708,0.2659223459995701,0.0040045759960776195,0.2704339439951582,0.4373810519973631,0.003419160842895508,754,130,1295,2,2.368376381359212e-12,0.010000000000002899,inf,,,,
