scenario_id,scenario_path,ego_id,rule,repeat,encoding,rule_semantics,num_steps,solver_feasible,monitor_compliant,success,specification_time,solver_setup_time,solve_time,core_total_time,validation_time,gurobi_runtime,num_variables,num_binary_variables,num_constraints,solver_status,mip_gap,robustness,updated_tv,updated_other_id,updated_diagnostics,candidate_sd_at_tv,error
DEU_AachenBendplatz-1_155320_T-5339,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_155320_T-5339.xml,10335,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0009996259977924637,0.3977572309959214,0.03735974900337169,0.43611660599708557,0.4124862530006794,0.036592960357666016,931,189,1465,2,0.0,0.01,inf,,,,
DEU_AachenBendplatz-1_75140_T-5159,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_75140_T-5159.xml,10203,R_IN1,0,standard,vp_no_crossing_temporal,20,False,False,False,0.001771433002431877,0.5091524470044533,0.0051365649997023866,0.5160604450065875,,0.0045511722564697266,1099,245,1647,4,,-inf,,,,,
DEU_AachenBendplatz-1_171600_T-1619,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_171600_T-1619.xml,10125,R_IN1,0,standard,vp_no_crossing_temporal,20,False,False,False,0.0017257630024687387,0.48808091200044146,0.020722797999042086,0.5105294730019523,,0.020094871520996094,1039,225,1582,4,,-inf,,,,,
DEU_AachenBendplatz-1_124700_T-4719,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_124700_T-4719.xml,10320,R_IN1,0,standard,vp_no_crossing_temporal,20,False,False,False,0.0006562830021721311,0.2497625660034828,0.0010544589968048967,0.2514733080024598,,0.0004990100860595703,685,107,1206,4,,-inf,,,,,
DEU_AachenBendplatz-1_12700_T-719,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_12700_T-719.xml,10035,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0003655219989013858,0.19685915500303963,0.00323778700112598,0.200462464003067,0.4510145769963856,0.0024919509887695312,604,80,1125,2,0.0,0.010000000000005713,inf,,,,
DEU_AachenBendplatz-1_162800_T-2819,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_162800_T-2819.xml,10214,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0005946649980614893,0.2733660849989974,0.01049717799469363,0.2844579279917525,0.4798267950027366,0.009821891784667969,703,113,1224,2,1.632725638551215e-10,0.01,inf,,,,
DEU_AachenBendplatz-1_134900_T-4919,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_134900_T-4919.xml,10351,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.002042421001533512,0.7755475559970364,0.02618287399673136,0.8037728509953013,0.45818586600216804,0.0254209041595459,1459,365,2037,2,0.0,0.01,inf,,,,
DEU_AachenBendplatz-1_172260_T-2279,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_172260_T-2279.xml,10176,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0008297370004584081,0.3009403870019014,0.0034640829981071874,0.305234207000467,0.4609613499997067,0.002679109573364258,766,134,1293,2,0.0,0.010000000000013439,inf,,,,
DEU_AachenBendplatz-1_123940_T-3959,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_123940_T-3959.xml,10258,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.002443738005240448,0.5966948260029312,0.012170426001830492,0.6113089900100022,0.49046418399666436,0.011415958404541016,1219,285,1777,2,1.5005056079732343e-10,0.01,inf,,,,
DEU_AachenBendplatz-1_85160_T-5179,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_85160_T-5179.xml,10405,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0005600090007646941,0.25646821199916303,0.009279717000026722,0.26630793799995445,0.500284500005364,0.008388996124267578,685,107,1206,2,1.5697616290384049e-10,0.01,inf,,,,
DEU_AachenBendplatz-1_141540_T-1559,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_141540_T-1559.xml,10095,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0018254270034958608,0.44362892899516737,0.01955046900548041,0.46500482500414364,0.4961084699971252,0.018704891204833984,979,205,1517,2,0.0,0.01,inf,,,,
DEU_AachenBendplatz-1_91260_T-1279,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_91260_T-1279.xml,10075,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.002037013000517618,0.66757948200393,0.011856990000524092,0.6814734850049717,0.507969234000484,0.011101961135864258,1315,317,1881,2,6.62176945460582e-13,0.01,inf,,,,
DEU_AachenBendplatz-1_91280_T-1299,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_91280_T-1299.xml,10079,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.002239975998236332,0.7420864150044508,0.02597740799683379,0.770303798999521,0.5036321579973446,0.025197982788085938,1447,361,2024,2,0.0,0.01,inf,,,,
DEU_AachenBendplatz-1_85140_T-5159,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_85140_T-5159.xml,10407,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0012295680062379688,0.3899390099977609,0.0035337290028110147,0.39470230700680986,0.510874669002078,0.0028159618377685547,895,177,1426,2,3.6180811442694807e-12,0.010000000000004651,inf,,,,
DEU_AachenBendplatz-1_13540_T-559,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_13540_T-559.xml,10040,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0021046439942438155,0.8733820730049047,0.005297411997162271,0.8807841289963108,0.5250086180021754,0.0042188167572021484,1411,349,1985,2,0.0,0.010000000000076325,inf,,,,
DEU_AachenBendplatz-1_154520_T-4539,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_154520_T-4539.xml,10285,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.00040969999827211723,0.2083387520033284,0.003299333999166265,0.2120477860007668,0.5338128319999669,0.002473115921020508,604,80,1125,2,2.766804474375415e-13,0.010000000000014355,inf,,,,
DEU_AachenBendplatz-1_93520_T-3539,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_93520_T-3539.xml,10208,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0007762040040688589,0.31757426699914504,0.012304677999054547,0.33065514900226844,0.5309613130011712,0.011552095413208008,775,137,1296,2,0.0,0.01,inf,,,,
DEU_AachenBendplatz-1_143020_T-3039,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_143020_T-3039.xml,10228,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0005457610022858717,0.22757428499608068,0.0036057230026926845,0.23172576900105923,0.528291906004597,0.0028400421142578125,640,92,1161,2,2.411720229366179e-13,0.010000000000008613,inf,,,,
DEU_AachenBendplatz-1_132600_T-2619,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_132600_T-2619.xml,10185,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.001754814999003429,0.6024096399996779,0.0043847580018336885,0.608549213000515,0.5165171430053306,0.0036330223083496094,1231,289,1790,2,0.0,0.010000000003904056,inf,,,,
DEU_AachenBendplatz-1_11500_T-519,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_11500_T-519.xml,10043,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0014025609998498112,0.47130584999831626,0.012702415006060619,0.4854108260042267,0.5375105839993921,0.011932134628295898,1015,217,1556,2,4.812748681238014e-13,0.01,inf,,,,
DEU_AachenBendplatz-1_124040_T-4059,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_124040_T-4059.xml,10264,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0014353820006363094,0.5579887260028045,0.010585791998892091,0.5700099000023329,0.6828501010022592,0.009691953659057617,1099,245,1647,2,0.0,0.01,inf,,,,
DEU_AachenBendplatz-1_113780_T-3799,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_113780_T-3799.xml,10256,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0012049520009895787,0.45184543300274527,0.0035725859997910447,0.4566229710035259,0.5361198109967518,0.0029010772705078125,979,205,1517,2,0.0,0.010000000000753247,inf,,,,
DEU_AachenBendplatz-1_71760_T-1779,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_71760_T-1779.xml,10074,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0004403830025694333,0.19018281900207512,0.0029825739984516986,0.19360577600309625,0.6293233010001131,0.0023000240325927734,604,80,1125,2,0.0,0.010000000000018487,inf,,,,
DEU_AachenBendplatz-1_73920_T-3939,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_73920_T-3939.xml,10153,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0006092159965191968,0.24040068100293865,0.008951793999585789,0.24996169099904364,0.40739263899740763,0.008227825164794922,703,113,1224,2,0.0,0.01,inf,,,,
DEU_AachenBendplatz-1_161380_T-1399,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_161380_T-1399.xml,10106,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0037665929994545877,0.8234105700030341,0.012101225001970306,0.839278388004459,0.4263298760051839,0.01145315170288086,1675,437,2271,2,0.0,0.0099999999965803,inf,,,,
DEU_AachenBendplatz-1_10700_T-719,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_10700_T-719.xml,10051,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0003581339988159016,0.19219022099423455,0.0033568450016900897,0.19590519999474054,0.4378602349970606,0.002694845199584961,604,80,1125,2,2.215698935592982e-12,0.010000000000016445,inf,,,,
DEU_AachenBendplatz-1_83540_T-3559,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_83540_T-3559.xml,10269,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0016171790048247203,0.5756742579978891,0.008336130005773157,0.585627567008487,0.4426535020029405,0.0076580047607421875,1231,289,1790,2,0.0,0.01,inf,,,,
DEU_AachenBendplatz-1_113760_T-3779,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_113760_T-3779.xml,10254,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.001203373001771979,0.41707931300334167,0.010197012998105492,0.42847969900321914,0.4489086169996881,0.009501934051513672,967,201,1504,2,0.0,0.01,inf,,,,
DEU_AachenBendplatz-1_93760_T-3779,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_93760_T-3779.xml,10229,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0005148790005478077,0.2365605000013602,0.003993540005467366,0.24106891900737537,0.47220925799774705,0.003098011016845703,658,98,1179,2,0.0,0.010000000000018543,inf,,,,
DEU_AachenBendplatz-1_141960_T-1979,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_141960_T-1979.xml,10140,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0008022980036912486,0.3119845500041265,0.003399760003958363,0.3161866080117761,0.4767090690002078,0.0027039051055908203,775,137,1296,2,3.4528602681343666e-12,0.010000000000047743,inf,,,,
DEU_AachenBendplatz-1_81000_T-1019,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_81000_T-1019.xml,10078,R_IN1,0,standard,vp_no_crossing_temporal,20,True,True,True,0.0013068379994365387,0.4788560739980312,0.009610339999198914,0.48977325199666666,0.4808672340004705,0.008722066879272461,1039,225,1582,2,0.0,0.01,inf,,,,
