cohort,cases,solver_feasible,success,success_rate,timed_cases,mean_core_time_s,median_core_time_s,fixed_pair_rows,legacy_full_scene_rows
R_G1_highD,100,100,98,0.98,100,0.8519955121599014,0.8770327959982751,0,100
R_G1_MONA,93,93,93,1.0,93,0.7383294725700336,0.7594438479936798,0,93
R_G1_R_G3,87,85,84,0.9655172413793104,85,1.6501761763645095,1.688152627000818,0,87
R_G2,69,49,16,0.2318840579710145,69,0.806653083333267,1.1486193549990276,0,69
R_G3,100,100,100,1.0,100,0.8482325384098658,0.8611726310009544,0,100
R_IN1,91,75,75,0.8241758241758241,87,0.4767569823918333,0.4391827520012157,0,91
R_IN3_hand_draft,68,50,28,0.4117647058823529,67,1.5723360619104185,1.412542953999946,19,49
R_IN4,46,30,12,0.2608695652173913,46,1.4617314603481883,1.3900281605010605,22,24
R_IN5_standard_20step,44,44,22,0.5,44,1.4648863564087728,1.3834783039992544,15,29
R_IN5_150step_variants,6,0,0,0.0,6,11.199799872166295,10.54876469049941,6,0
