cohort,old_solver_feasible,old_monitor_compliant,old_success,old_core_total_time,old_num_binary_variables,scenario_id,scenario_path,ego_id,rule,repeat,encoding,num_steps,solver_feasible,monitor_compliant,success,specification_time,solver_setup_time,solve_time,core_total_time,validation_time,gurobi_runtime,num_variables,num_binary_variables,num_constraints,solver_status,mip_gap,robustness,updated_tv,updated_other_id,updated_diagnostics,candidate_sd_at_tv,error
all_cases,False,False,False,0.3509737550011778,80,DEU_AachenFrankenburg-1_201920_T-1939,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_201920_T-1939.xml,10185,R_IN3,0,kurtz_lin_log_sos1,20,True,False,False,0.0038972450001892867,0.40381496199916,0.012235058000442223,0.4199472649997915,0.17425580199960677,0.011740922927856445,399,4,743,2,0.0,0.01,1.0,"(10183,)",,"{""t"": 5, ""s"": 58.814830751505546, ""d"": 1.847454619518487}",
all_cases,True,True,True,0.45000257500032603,50,DEU_AachenFrankenburg-1_212980_T-2999,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_212980_T-2999.xml,10277,R_IN3,0,kurtz_lin_log_sos1,20,True,True,True,0.0037191359988355543,0.07226613199964049,0.0018274480007676175,0.07781271599924366,0.199873216000924,0.001257181167602539,361,0,681,2,,0.010000000000378616,inf,,,,
all_cases,False,False,False,0.7672205620001478,94,DEU_AachenFrankenburg-1_214320_T-4339,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_214320_T-4339.xml,10381,R_IN3,0,kurtz_lin_log_sos1,20,False,False,False,0.004646892999517149,0.10147351200066623,0.0007832270002836594,0.10690363200046704,,0.00025391578674316406,393,4,731,4,,-inf,,,,,
all_cases,True,True,True,0.6963415850004822,132,DEU_AachenFrankenburg-1_231880_T-1899,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_231880_T-1899.xml,10184,R_IN3,0,kurtz_lin_log_sos1,20,True,True,True,0.003742746001080377,0.09984071400140238,0.00409149100050854,0.10767495100299129,0.19803921499988064,0.003498077392578125,393,4,731,2,0.0,0.01,inf,,,,
all_cases,True,True,True,0.7709981199986942,101,DEU_AachenFrankenburg-1_26540_T-559,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_26540_T-559.xml,10066,R_IN3,0,kurtz_lin_log_sos1,20,True,False,False,0.005411576999904355,0.11159154400047555,0.00867311799993331,0.12567623900031322,0.2253683059989271,0.008064985275268555,398,4,744,2,0.0,0.01,2.4000000000000004,"(10060,)",,"{""t"": 12, ""s"": 56.09882997218889, ""d"": 0.2049604783665221}",
all_cases,True,True,True,0.28189153599851124,58,DEU_AachenFrankenburg-1_281480_T-1499,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_281480_T-1499.xml,10138,R_IN3,0,kurtz_lin_log_sos1,20,True,True,True,0.004086932998689008,0.07973652799955744,0.0014906230007909471,0.0853140839990374,0.2102065910003148,0.0009188652038574219,367,0,693,2,,0.010000000003748429,inf,,,,
all_cases,True,True,True,0.6941836309997598,92,DEU_AachenFrankenburg-1_291080_T-1099,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_291080_T-1099.xml,10131,R_IN3,0,kurtz_lin_log_sos1,20,False,False,False,0.004199743998469785,0.096464965999985,0.001056289000189281,0.10172099899864406,,0.0005171298980712891,387,4,719,4,,-inf,,,,,
all_cases,False,False,False,,,DEU_AachenFrankenburg-1_291980_T-1999,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_291980_T-1999.xml,10203,R_IN3,0,kurtz_lin_log_sos1,20,True,True,True,0.003729169999132864,0.07684865400005947,0.0015197100001387298,0.08209753399933106,0.21923712300122133,0.0009839534759521484,364,0,687,2,,0.010000000004849333,inf,,,,
all_cases,True,True,True,0.31552902999646903,64,DEU_AachenFrankenburg-1_294020_T-4039,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_294020_T-4039.xml,10394,R_IN3,0,kurtz_lin_log_sos1,20,True,True,True,0.0029643989983014762,0.08858013600001868,0.00400712000009662,0.09555165499841678,0.2071362919996318,0.0033729076385498047,373,4,691,2,0.0,0.009999999999138254,inf,,,,
all_cases,True,True,True,0.46231907199944544,54,DEU_AachenFrankenburg-1_183000_T-3019,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenFrankenburg-1_183000_T-3019.xml,10233,R_IN3,0,kurtz_lin_log_sos1,20,True,True,True,0.004431396000654786,0.0852777590007463,0.001538803000585176,0.09124795800198626,0.34486203199958254,0.0009741783142089844,376,0,711,2,,0.010000000012573087,inf,,,,
