cohort,old_solver_feasible,old_monitor_compliant,old_success,old_core_total_time,old_num_binary_variables,scenario_id,scenario_path,ego_id,rule,repeat,encoding,num_steps,solver_feasible,monitor_compliant,success,specification_time,solver_setup_time,solve_time,core_total_time,validation_time,gurobi_runtime,num_variables,num_binary_variables,num_constraints,solver_status,mip_gap,robustness,updated_tv,updated_other_id,updated_diagnostics,candidate_sd_at_tv,error
all_cases,False,False,False,0.3509737550011778,80,DEU_AachenFrankenburg-1_201920_T-1939,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_201920_T-1939.xml,10185,R_IN3,0,kurtz_lin_log_sos1,20,True,False,False,0.003617546999521437,0.09884913800124195,0.015430331999596092,0.11789701700035948,0.22292745399863634,0.014653205871582031,379,4,703,2,0.0,0.01,1.0,"(10183,)",,"{""t"": 5, ""s"": 56.49676222070094, ""d"": 1.3525149978407924}",
all_cases,True,True,True,0.45000257500032603,50,DEU_AachenFrankenburg-1_212980_T-2999,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_212980_T-2999.xml,10277,R_IN3,0,kurtz_lin_log_sos1,20,True,True,True,0.004356302999440231,0.08865119499932916,0.0018079650017170934,0.09481546300048649,0.2582972839991271,0.0011799335479736328,372,0,703,2,,0.010000000000802355,inf,,,,
all_cases,False,False,False,0.7672205620001478,94,DEU_AachenFrankenburg-1_214320_T-4339,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_214320_T-4339.xml,10381,R_IN3,0,kurtz_lin_log_sos1,20,False,False,False,0.005074174998298986,0.10942710800009081,0.0009887920004985062,0.1154900749988883,,0.0003361701965332031,393,4,731,4,,-inf,,,,,
all_cases,True,True,True,0.6963415850004822,132,DEU_AachenFrankenburg-1_231880_T-1899,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_231880_T-1899.xml,10184,R_IN3,0,kurtz_lin_log_sos1,20,True,True,True,0.0041249079986300785,0.11201200599862204,0.005080308999822591,0.12121722299707471,0.2588434259996575,0.004216909408569336,393,4,731,2,0.0,0.01,inf,,,,
all_cases,True,True,True,0.7709981199986942,101,DEU_AachenFrankenburg-1_26540_T-559,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_26540_T-559.xml,10066,R_IN3,0,kurtz_lin_log_sos1,20,False,False,False,0.006189403999087517,0.10140923699873383,0.0010685359993658494,0.1086671769971872,,0.0003528594970703125,383,4,714,4,,-inf,,,,,
all_cases,True,True,True,0.28189153599851124,58,DEU_AachenFrankenburg-1_281480_T-1499,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_281480_T-1499.xml,10138,R_IN3,0,kurtz_lin_log_sos1,20,True,True,True,0.0039020459989842493,0.09403542900145112,0.0016778190001787152,0.09961529400061409,0.27667717799886304,0.0010030269622802734,364,0,687,2,,0.010000000003913028,inf,,,,
all_cases,True,True,True,0.6941836309997598,92,DEU_AachenFrankenburg-1_291080_T-1099,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_291080_T-1099.xml,10131,R_IN3,0,kurtz_lin_log_sos1,20,True,True,True,0.004310582000471186,0.10676406200036581,0.005295997998473467,0.11637064199931046,0.269763263000641,0.0043621063232421875,385,4,715,2,0.0,0.01,inf,,,,
all_cases,False,False,False,,,DEU_AachenFrankenburg-1_291980_T-1999,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_291980_T-1999.xml,10203,R_IN3,0,kurtz_lin_log_sos1,20,False,False,False,,,,,,,,,,,,,,,,,"ValueError: No intersection lanelets available for conflict area
Traceback (most recent call last):
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/runner.py"", line 157, in evaluate
    specification = rule.GetSpecification()
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 517, in GetSpecification
    return None
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 439, in yield_region_formula
    network.find_lanelet_by_id(lanelet_id)
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 416, in conflict_avoidance_formula
    outside_all = []
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 423, in conflict_lanelets
    continue
ValueError: No intersection lanelets available for conflict area
"
all_cases,True,True,True,0.31552902999646903,64,DEU_AachenFrankenburg-1_294020_T-4039,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_294020_T-4039.xml,10394,R_IN3,0,kurtz_lin_log_sos1,20,True,True,True,0.003218206999008544,0.1051825619997544,0.00466467600017495,0.11306544499893789,0.2875689760003297,0.003854036331176758,373,4,691,2,0.0,0.009999999999138254,inf,,,,
all_cases,True,True,True,0.46231907199944544,54,DEU_AachenFrankenburg-1_183000_T-3019,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenFrankenburg-1_183000_T-3019.xml,10233,R_IN3,0,kurtz_lin_log_sos1,20,True,True,True,0.005127749000166659,0.10285864399884304,0.0018683159996726317,0.10985470899868233,0.2940891020007257,0.0011839866638183594,376,0,711,2,,0.010000000012573087,inf,,,,
all_cases,False,False,False,,,DEU_AachenFrankenburg-1_183020_T-3039,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenFrankenburg-1_183020_T-3039.xml,10235,R_IN3,0,kurtz_lin_log_sos1,20,False,False,False,,,,,,,,,,,,,,,,,"ValueError: No intersection lanelets available for conflict area
Traceback (most recent call last):
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/runner.py"", line 157, in evaluate
    specification = rule.GetSpecification()
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 517, in GetSpecification
    return None
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 439, in yield_region_formula
    network.find_lanelet_by_id(lanelet_id)
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 416, in conflict_avoidance_formula
    outside_all = []
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 423, in conflict_lanelets
    continue
ValueError: No intersection lanelets available for conflict area
"
all_cases,True,False,False,0.8221804679997149,117,DEU_AachenFrankenburg-1_183920_T-3939,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenFrankenburg-1_183920_T-3939.xml,10289,R_IN3,0,kurtz_lin_log_sos1,20,True,True,True,0.004642693000278086,0.1201586290007981,0.011454437999418587,0.13625576000049477,0.27275499399911496,0.01041102409362793,381,4,708,2,0.0,0.01,inf,,,,
all_cases,False,False,False,,,DEU_AachenFrankenburg-1_183940_T-3959,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenFrankenburg-1_183940_T-3959.xml,10291,R_IN3,0,kurtz_lin_log_sos1,20,False,False,False,,,,,,,,,,,,,,,,,"ValueError: No intersection lanelets available for conflict area
Traceback (most recent call last):
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/runner.py"", line 157, in evaluate
    specification = rule.GetSpecification()
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 517, in GetSpecification
    return None
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 439, in yield_region_formula
    network.find_lanelet_by_id(lanelet_id)
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 416, in conflict_avoidance_formula
    outside_all = []
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 423, in conflict_lanelets
    continue
ValueError: No intersection lanelets available for conflict area
"
all_cases,True,True,True,0.5216620880000846,64,DEU_AachenFrankenburg-1_184840_T-4859,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenFrankenburg-1_184840_T-4859.xml,10366,R_IN3,0,kurtz_lin_log_sos1,20,True,False,False,0.003674311999930069,0.10750811799880466,0.014699892999487929,0.12588232299822266,0.2908874590011692,0.013818979263305664,376,4,702,2,0.0,0.01,2.8000000000000003,"(10367,)","[{""causes_braking"": true, ""conflict_lanelet_ids"": [108], ""d"": 0.3204061225762331, ""ego_in_conflict"": true, ""ego_on_intersection"": true, ""other_in_conflict"": false, ""s"": 52.41358816751405, ""t"": 13}, {""causes_braking"": true, ""conflict_lanelet_ids"": [108], ""d"": 0.2748591172560206, ""ego_in_conflict"": true, ""ego_on_intersection"": true, ""other_in_conflict"": true, ""s"": 52.41558613497601, ""t"": 14}, {""causes_braking"": true, ""conflict_lanelet_ids"": [108], ""d"": 0.23574613411027948, ""ego_in_conflict"": true, ""ego_on_intersection"": true, ""other_in_conflict"": true, ""s"": 52.417584372983775, ""t"": 15}, {""causes_braking"": true, ""conflict_lanelet_ids"": [108], ""d"": 0.20164334642237242, ""ego_in_conflict"": true, ""ego_on_intersection"": true, ""other_in_conflict"": true, ""s"": 52.41958282283265, ""t"": 16}, {""causes_braking"": true, ""conflict_lanelet_ids"": [108], ""d"": 0.17128941542795606, ""ego_in_conflict"": true, ""ego_on_intersection"": true, ""other_in_conflict"": true, ""s"": 52.4215814308219, ""t"": 17}, {""causes_braking"": false, ""conflict_lanelet_ids"": [108], ""d"": 0.1435405436847381, ""ego_in_conflict"": true, ""ego_on_intersection"": true, ""other_in_conflict"": true, ""s"": 52.423580146748506, ""t"": 18}, {""causes_braking"": false, ""conflict_lanelet_ids"": [108], ""d"": 0.11732962556930558, ""ego_in_conflict"": true, ""ego_on_intersection"": true, ""other_in_conflict"": true, ""s"": 52.425578922378776, ""t"": 19}]","{""t"": 14, ""s"": 52.41557328730711, ""d"": 0.2748584303725869}",
all_cases,False,False,False,0.7603329039993696,128,DEU_AachenFrankenburg-1_193620_T-3639,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenFrankenburg-1_193620_T-3639.xml,10258,R_IN3,0,kurtz_lin_log_sos1,20,False,False,False,,,,,,,,,,,,,,,,,"ValueError: No monitor-equivalent conflict lanelets
Traceback (most recent call last):
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/runner.py"", line 157, in evaluate
    specification = rule.GetSpecification()
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 517, in GetSpecification
    return None
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 439, in yield_region_formula
    network.find_lanelet_by_id(lanelet_id)
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 416, in conflict_avoidance_formula
    outside_all = []
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 434, in conflict_lanelets
    return reduce(lambda left, right: left & right, outside_all)
ValueError: No monitor-equivalent conflict lanelets
"
all_cases,False,False,False,,,DEU_AachenFrankenburg-1_194200_T-4219,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenFrankenburg-1_194200_T-4219.xml,10301,R_IN3,0,kurtz_lin_log_sos1,20,False,False,False,,,,,,,,,,,,,,,,,"ValueError: No intersection lanelets available for conflict area
Traceback (most recent call last):
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/runner.py"", line 157, in evaluate
    specification = rule.GetSpecification()
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 517, in GetSpecification
    return None
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 439, in yield_region_formula
    network.find_lanelet_by_id(lanelet_id)
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 416, in conflict_avoidance_formula
    outside_all = []
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 423, in conflict_lanelets
    continue
ValueError: No intersection lanelets available for conflict area
"
all_cases,False,False,False,0.43604258300001675,104,DEU_AachenFrankenburg-1_194240_T-4259,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenFrankenburg-1_194240_T-4259.xml,10303,R_IN3,0,kurtz_lin_log_sos1,20,False,False,False,,,,,,,,,,,,,,,,,"ValueError: No monitor-equivalent conflict lanelets
Traceback (most recent call last):
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/runner.py"", line 157, in evaluate
    specification = rule.GetSpecification()
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 517, in GetSpecification
    return None
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 439, in yield_region_formula
    network.find_lanelet_by_id(lanelet_id)
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 416, in conflict_avoidance_formula
    outside_all = []
  File ""/data_linux/Lab/commonroad-repairer-vp/micp_comparison/rules.py"", line 434, in conflict_lanelets
    return reduce(lambda left, right: left & right, outside_all)
ValueError: No monitor-equivalent conflict lanelets
"
all_cases,False,False,False,0.39130607699917164,108,DEU_AachenFrankenburg-1_19980_T-999,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenFrankenburg-1_19980_T-999.xml,10083,R_IN3,0,kurtz_lin_log_sos1,20,False,False,False,0.004639403001419851,0.11227897200114967,0.0010003010011132574,0.11791867600368278,,0.00032210350036621094,376,4,702,4,,-inf,,,,,
