scenario_id,scenario_path,ego_id,rule,repeat,encoding,rule_semantics,num_steps,solver_feasible,monitor_compliant,success,specification_time,solver_setup_time,solve_time,core_total_time,validation_time,gurobi_runtime,num_variables,num_binary_variables,num_constraints,solver_status,mip_gap,robustness,updated_tv,updated_other_id,updated_diagnostics,candidate_sd_at_tv,error
DEU_LocationALower-11_119_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-11_119_T-1.xml,10,R_G2,0,standard,vp_witness,21,True,True,True,0.009310219997132663,0.745546573001775,0.1543241709950962,0.9091809639940038,0.08183567800006131,0.15359902381896973,1439,346,2039,2,6.277645733581035e-05,0.01,inf,,,,
DEU_LocationALower-12_123_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-12_123_T-1.xml,16,R_G2,0,standard,vp_witness,21,True,True,True,0.010556157998507842,0.8188668899965705,0.7387740409976686,1.568197088992747,0.11098212800425244,0.7380461692810059,1535,378,2145,2,0.0,0.01,inf,,,,
DEU_LocationALower-12_123_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-12_123_T-1.xml,19,R_G2,0,standard,vp_witness,21,True,True,True,0.010476937000930775,0.9439920889999485,0.6806144289948861,1.6350834549957654,0.11855079100496368,0.6798698902130127,1535,378,2145,2,0.0,0.009999999999990905,inf,,,,
DEU_LocationALower-12_124_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-12_124_T-1.xml,19,R_G2,0,standard,vp_witness,21,True,True,True,0.009766609997313935,0.8223132100029034,0.442396185004327,1.2744760050045443,0.09579941600532038,0.4416041374206543,1535,378,2145,2,0.0,0.01,inf,,,,
DEU_LocationALower-12_37_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-12_37_T-1.xml,28,R_G2,0,standard,vp_witness,21,True,True,True,0.01647855099872686,0.8211881380047998,1.7985979299992323,2.636264619002759,0.42100125100114383,1.7977688312530518,1535,378,2145,2,9.239820606058424e-05,0.01,inf,,,,
DEU_LocationALower-25_149_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-25_149_T-1.xml,9,R_G2,0,standard,vp_witness,14,True,True,True,0.006482865996076725,0.4321267519990215,0.06506798900227295,0.5036776069973712,0.1009229379997123,0.0643317699432373,832,188,1219,2,0.0,0.01,inf,,,,
DEU_LocationALower-25_167_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-25_167_T-1.xml,23,R_G2,0,standard,vp_witness,21,True,True,True,0.013384821999352425,0.8287277170020388,1.7202769619980245,2.5623895009994158,0.15952666999510257,1.7195930480957031,1535,378,2145,2,6.231298407689973e-05,0.01,inf,,,,
DEU_LocationALower-25_257_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-25_257_T-1.xml,25,R_G2,0,standard,vp_witness,21,True,True,True,0.01328703200124437,0.8405269220020273,0.6507063949975418,1.5045203490008134,0.17556047399557428,0.6498317718505859,1535,378,2145,2,8.012866192359645e-05,0.010000000000104592,inf,,,,
DEU_LocationALower-26_141_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-26_141_T-1.xml,16,R_G2,0,standard,vp_witness,21,True,True,True,0.011107755999546498,0.8340720089981914,0.5846848880028119,1.4298646530005499,0.15393516299809562,0.5838549137115479,1535,378,2145,2,6.598302430682669e-05,0.01,inf,,,,
DEU_LocationALower-26_236_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-26_236_T-1.xml,11,R_G2,0,standard,vp_witness,21,True,True,True,0.015268336996086873,0.6757115739965229,0.516637880995404,1.2076177919880138,0.2493754059978528,0.5158939361572266,1295,298,1880,2,3.357796890358721e-05,0.01,inf,,,,
DEU_LocationALower-26_238_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-26_238_T-1.xml,20,R_G2,0,standard,vp_witness,21,True,True,True,0.0164311960033956,0.8285928429977503,0.3856999400013592,1.230723979002505,0.2878885940008331,0.3849639892578125,1535,378,2145,2,7.265484793845877e-05,0.010000000000218279,inf,,,,
DEU_LocationALower-26_241_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-26_241_T-1.xml,24,R_G2,0,standard,vp_witness,21,True,True,True,0.019319744998938404,0.8182397209966439,0.6331845790045918,1.470744045000174,0.338632774000871,0.6325139999389648,1535,378,2145,2,9.334074184264727e-05,0.009999999999990905,inf,,,,
DEU_LocationALower-26_59_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-26_59_T-1.xml,13,R_G2,0,standard,vp_witness,21,True,True,True,0.011049373999412637,0.7984935139975278,0.18949002199951792,0.9990329099964583,0.14826972700393526,0.1888258457183838,1535,378,2145,2,1.685389529468769e-05,0.01,inf,,,,
DEU_LocationALower-27_113_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-27_113_T-1.xml,22,R_G2,0,standard,vp_witness,21,True,True,True,0.011496874001750257,0.850571481998486,0.9525772540000617,1.814645610000298,0.1704176510029356,0.9519531726837158,1535,378,2145,2,8.34635594776647e-05,0.010000000000218279,inf,,,,
DEU_LocationALower-27_115_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-27_115_T-1.xml,23,R_G2,0,standard,vp_witness,21,True,True,True,0.010649155999999493,0.7119616059935652,0.3670042059966363,1.089614967990201,0.15503836000425508,0.3663980960845947,1535,378,2145,2,0.0,0.01,inf,,,,
DEU_LocationALower-27_116_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-27_116_T-1.xml,21,R_G2,0,standard,vp_witness,21,True,True,True,0.010413096002594102,0.7129222220028169,1.5610091240014299,2.284344442006841,0.15173793800204294,1.5603528022766113,1535,378,2145,2,8.972556041108388e-05,0.01,inf,,,,
DEU_LocationALower-27_119_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-27_119_T-1.xml,11,R_G2,0,standard,vp_witness,21,False,False,False,0.009991805003664922,0.7182167480059434,0.0013785690025542863,0.7295871220121626,,0.0008499622344970703,1535,378,2145,4,,-inf,,,,,
DEU_LocationALower-27_119_T-1,/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationALower-27_119_T-1.xml,18,R_G2,0,standard,vp_witness,21,True,True,True,0.010104271001182497,0.7147515849937918,0.49529241300479043,1.2201482689997647,0.1552820960059762,0.49460887908935547,1535,378,2145,2,4.62075873054149e-05,0.010000000000218279,inf,,,,
