scenario_id,scenario_path,ego_id,rule,repeat,num_steps,mode,lin2025_replanable,planner_returned,monitor_compliant,success,setup_time,planning_time,core_total_time,validation_time,fixed_other_id,updated_tv,error,rule_candidates_checked,rule_candidate_limit,in1_strategy
DEU_AachenFrankenburg-1_252340_T-2359,scenarios/experiment_scenarios/ind_13/DEU_AachenFrankenburg-1_252340_T-2359.xml,10218,R_IN5,0,19,rule_filtered,True,True,True,True,4.80350801700115,0.081432811999548,0.081432811999548,0.16710797399719013,10214,inf,,1,0,paper_batch
DEU_AachenFrankenburg-1_263760_T-3779,scenarios/experiment_scenarios/ind_13/DEU_AachenFrankenburg-1_263760_T-3779.xml,10333,R_IN5,0,19,rule_filtered,True,True,True,True,5.061537232002593,0.09425854700020864,0.09425854700020864,0.18383118600104353,10342,inf,,1,0,paper_batch
DEU_AachenFrankenburg-1_295880_T-5899,scenarios/experiment_scenarios/ind_13/DEU_AachenFrankenburg-1_295880_T-5899.xml,10562,R_IN5,0,19,rule_filtered,True,False,False,False,4.752775068001938,1.0720805909986666,1.0720805909986666,,10564,,,13,0,paper_batch
DEU_AachenBendplatz-1_121500_T-1519,scenarios/experiment_scenarios/ind_13/DEU_AachenBendplatz-1_121500_T-1519.xml,10086,R_IN5,0,19,rule_filtered,False,False,False,False,5.645634241998778,0.45273465200079954,0.45273465200079954,,10087,,,0,0,paper_batch
DEU_AachenBendplatz-1_12960_T-979,scenarios/experiment_scenarios/ind_13/DEU_AachenBendplatz-1_12960_T-979.xml,10047,R_IN5,0,19,rule_filtered,True,True,True,True,5.5961524119993555,0.14537271900189808,0.14537271900189808,0.5101582930001314,10048,inf,,6,0,paper_batch
DEU_AachenBendplatz-1_132900_T-2919,scenarios/experiment_scenarios/ind_13/DEU_AachenBendplatz-1_132900_T-2919.xml,10204,R_IN5,0,19,rule_filtered,False,False,False,False,5.813386497000465,0.5359403969996492,0.5359403969996492,,10205,,,0,0,paper_batch
DEU_AachenBendplatz-1_83820_T-3839,scenarios/experiment_scenarios/ind_13/DEU_AachenBendplatz-1_83820_T-3839.xml,10288,R_IN5,0,19,rule_filtered,False,False,False,False,5.613905665999482,0.7014456969991443,0.7014456969991443,,10294,,,0,0,paper_batch
DEU_AachenBendplatz-1_84280_T-4299,scenarios/experiment_scenarios/ind_13/DEU_AachenBendplatz-1_84280_T-4299.xml,10331,R_IN5,0,19,rule_filtered,True,True,True,True,5.473725810999895,0.12191168400022434,0.12191168400022434,0.5048591400009173,10329,inf,,1,0,paper_batch
DEU_AachenFrankenburg-1_206020_T-6039,scenarios/experiment_scenarios/ind_13/DEU_AachenFrankenburg-1_206020_T-6039.xml,10462,R_IN5,0,19,rule_filtered,False,False,False,False,4.618710790000478,0.5209305839998706,0.5209305839998706,,10457,,,0,0,paper_batch
DEU_AachenBendplatz-1_122380_T-2399,scenarios/experiment_scenarios/ind_converter_2026/DEU_AachenBendplatz-1_122380_T-2399.xml,10145,R_IN5,0,19,rule_filtered,False,False,False,False,5.664593819001311,0.7626607569982298,0.7626607569982298,,10137,,,0,0,paper_batch
DEU_AachenBendplatz-1_131400_T-1419,scenarios/experiment_scenarios/ind_converter_2026/DEU_AachenBendplatz-1_131400_T-1419.xml,10108,R_IN5,0,19,rule_filtered,False,False,False,False,5.316062922000128,0.5840921689996321,0.5840921689996321,,10107,,,0,0,paper_batch
DEU_AachenBendplatz-1_13560_T-579,scenarios/experiment_scenarios/ind_converter_2026/DEU_AachenBendplatz-1_13560_T-579.xml,10037,R_IN5,0,19,rule_filtered,False,False,False,False,5.544188355001097,0.5710179470006551,0.5710179470006551,,10046,,,0,0,paper_batch
DEU_AachenBendplatz-1_141560_T-1579,scenarios/experiment_scenarios/ind_converter_2026/DEU_AachenBendplatz-1_141560_T-1579.xml,10095,R_IN5,0,19,rule_filtered,False,False,False,False,5.634915119000652,0.5841319639985159,0.5841319639985159,,10099,,,0,0,paper_batch
DEU_AachenBendplatz-1_161740_T-1759,scenarios/experiment_scenarios/ind_converter_2026/DEU_AachenBendplatz-1_161740_T-1759.xml,10135,R_IN5,0,19,rule_filtered,True,False,False,False,5.549506691000715,0.7557860199995048,0.7557860199995048,,10142,,,25,0,paper_batch
DEU_AachenBendplatz-1_12960_T-979_in5_safe_variant_01,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_12960_T-979_in5_safe_variant_01.xml,10047,R_IN5,0,19,rule_filtered,True,True,True,True,5.480963624999276,0.1936860589994467,0.1936860589994467,0.5399869450011465,10048,inf,,7,0,paper_batch
DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_02,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_02.xml,10204,R_IN5,0,19,rule_filtered,False,False,False,False,6.171641471999465,0.656036270000186,0.656036270000186,,10205,,,0,0,paper_batch
DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_05,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_05.xml,10331,R_IN5,0,19,rule_filtered,True,True,True,True,6.148829592999391,0.15889598699868657,0.15889598699868657,0.5713705950001895,10329,inf,,1,0,paper_batch
DEU_AachenFrankenburg-1_206020_T-6039_in5_safe_variant_06,scenarios/experiment_scenarios/variants/in5/DEU_AachenFrankenburg-1_206020_T-6039_in5_safe_variant_06.xml,10462,R_IN5,0,19,rule_filtered,False,False,False,False,4.809066714999062,0.6293922900003963,0.6293922900003963,,10457,,,0,0,paper_batch
DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_13,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_13.xml,10204,R_IN5,0,19,rule_filtered,True,True,True,True,5.801542058998166,0.2410925119984313,0.2410925119984313,0.5536688969987154,10205,inf,,15,0,paper_batch
DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_15,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_15.xml,10288,R_IN5,0,19,rule_filtered,True,False,False,False,5.543732138998166,1.225662568998814,1.225662568998814,,10294,,,96,0,paper_batch
DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_16,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_16.xml,10331,R_IN5,0,19,rule_filtered,True,True,True,True,5.501101647998439,0.18976525100151775,0.18976525100151775,0.6077908570005093,10329,inf,,1,0,paper_batch
DEU_AachenFrankenburg-1_295880_T-5899_in5_safe_variant_21,scenarios/experiment_scenarios/variants/in5/DEU_AachenFrankenburg-1_295880_T-5899_in5_safe_variant_21.xml,10562,R_IN5,0,19,rule_filtered,True,False,False,False,5.114249679001659,1.6886081949996878,1.6886081949996878,,10564,,,59,0,paper_batch
DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_24,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_24.xml,10204,R_IN5,0,19,rule_filtered,True,True,True,True,6.0545390650004265,0.2413371160000679,0.2413371160000679,0.5877096129988786,10205,inf,,12,0,paper_batch
DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_26,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_26.xml,10288,R_IN5,0,19,rule_filtered,True,False,False,False,5.757943036998768,1.0884803330009163,1.0884803330009163,,10294,,,37,0,paper_batch
DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_27,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_27.xml,10331,R_IN5,0,19,rule_filtered,True,True,True,True,5.7022127069976705,0.21183687300072052,0.21183687300072052,0.6159383699996397,10329,inf,,1,0,paper_batch
DEU_AachenFrankenburg-1_295880_T-5899_in5_safe_variant_32,scenarios/experiment_scenarios/variants/in5/DEU_AachenFrankenburg-1_295880_T-5899_in5_safe_variant_32.xml,10562,R_IN5,0,19,rule_filtered,True,False,False,False,4.926361597001232,1.5809081869992951,1.5809081869992951,,10564,,,43,0,paper_batch
