scenario_id,scenario_path,ego_id,rule,repeat,num_steps,mode,lin2025_replanable,planner_returned,monitor_compliant,success,setup_time,planning_time,core_total_time,validation_time,fixed_other_id,updated_tv,error,rule_candidates_checked,rule_candidate_limit,in1_strategy
DEU_LocationALower-11_102_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-11_102_T-1.xml,16,R_G1_R_G3,0,20,rule_filtered,True,True,True,True,0.5282654340007866,0.07656207399850246,0.07656207399850246,0.029479946999344975,15,inf,,1,0,paper_example
DEU_LocationALower-11_110_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-11_110_T-1.xml,16,R_G1_R_G3,0,20,rule_filtered,True,False,False,False,0.5491934050005511,12.490871776000859,12.490871776000859,,15,,,4826,0,paper_example
DEU_LocationALower-11_131_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-11_131_T-1.xml,18,R_G1_R_G3,0,20,rule_filtered,True,True,True,True,0.6705682499996328,0.12281232999885106,0.12281232999885106,0.050385826998535777,16,inf,,1,0,paper_example
DEU_LocationALower-11_4_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-11_4_T-1.xml,18,R_G1_R_G3,0,20,rule_filtered,True,True,True,True,0.5798957980005071,0.1473006730011548,0.1473006730011548,0.05238221099716611,16,inf,,10,0,paper_example
DEU_LocationALower-11_43_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-11_43_T-1.xml,17,R_G1_R_G3,0,20,rule_filtered,True,True,True,True,0.6220959329984908,0.1209226490027504,0.1209226490027504,0.062207904000388226,16,inf,,1,0,paper_example
DEU_LocationALower-11_56_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-11_56_T-1.xml,15,R_G1_R_G3,0,20,rule_filtered,True,True,True,True,0.6193165309996402,0.2876986080009374,0.2876986080009374,0.06948031800129684,13,inf,,46,0,paper_example
DEU_LocationALower-11_64_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-11_64_T-1.xml,18,R_G1_R_G3,0,20,rule_filtered,True,True,True,True,0.6196882449985424,0.11227746399890748,0.11227746399890748,0.06921631899967906,17,inf,,1,0,paper_example
DEU_LocationALower-12_109_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-12_109_T-1.xml,20,R_G1_R_G3,0,20,rule_filtered,True,True,True,True,0.6458818089995475,0.13811531200190075,0.13811531200190075,0.08092422299887403,19,inf,,1,0,paper_example
DEU_LocationALower-12_167_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-12_167_T-1.xml,12,R_G1_R_G3,0,20,rule_filtered,True,True,True,True,0.6593389059999026,0.5765909949986963,0.5765909949986963,0.08546377900347579,10,inf,,110,0,paper_example
DEU_LocationALower-12_217_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-12_217_T-1.xml,14,R_G1_R_G3,0,20,rule_filtered,True,True,True,True,0.6709273740016215,0.1426674729991646,0.1426674729991646,0.09132052100176224,11,inf,,1,0,paper_example
