scenario_id,relative_path,used_by,source_path,size_bytes,sha256
DEU_AachenFrankenburg-1_223121_T-3140,scenarios/experiment_scenarios/generated_micp/in3/DEU_AachenFrankenburg-1_223121_T-3140.xml,micp,/data_linux/Lab/commonroad-repairer-vp/micp_comparison/results/vp_aligned_2026-09-08/scenarios/in3/DEU_AachenFrankenburg-1_223121_T-3140.xml,446587,223db7f7da1f9cb71777cc03a67b42e8e077beed6b62a639166ddc785d30b033
DEU_AachenFrankenburg-1_223122_T-3141,scenarios/experiment_scenarios/generated_micp/in3/DEU_AachenFrankenburg-1_223122_T-3141.xml,micp,/data_linux/Lab/commonroad-repairer-vp/micp_comparison/results/vp_aligned_2026-09-08/scenarios/in3/DEU_AachenFrankenburg-1_223122_T-3141.xml,445942,948d4f1f73645809a280065fb8e6a12850dea03e19d6c5c0e314d954c9527738
DEU_AachenFrankenburg-1_223123_T-3142,scenarios/experiment_scenarios/generated_micp/in3/DEU_AachenFrankenburg-1_223123_T-3142.xml,micp,/data_linux/Lab/commonroad-repairer-vp/micp_comparison/results/vp_aligned_2026-09-08/scenarios/in3/DEU_AachenFrankenburg-1_223123_T-3142.xml,445295,aa0e06bd7db574151bb8be230049d53ef5908ca30e3ad4945262059373629ff3
DEU_AachenFrankenburg-1_223124_T-3143,scenarios/experiment_scenarios/generated_micp/in3/DEU_AachenFrankenburg-1_223124_T-3143.xml,micp,/data_linux/Lab/commonroad-repairer-vp/micp_comparison/results/vp_aligned_2026-09-08/scenarios/in3/DEU_AachenFrankenburg-1_223124_T-3143.xml,444646,d16d50e6a4c88f9371072669877e5e7fd168cb8f9e25285caab7194cd6c29610
DEU_AachenFrankenburg-1_223125_T-3144,scenarios/experiment_scenarios/generated_micp/in3/DEU_AachenFrankenburg-1_223125_T-3144.xml,micp,/data_linux/Lab/commonroad-repairer-vp/micp_comparison/results/vp_aligned_2026-09-08/scenarios/in3/DEU_AachenFrankenburg-1_223125_T-3144.xml,444000,60dd488332edaef73e278b149fcbc57390be3747c52215ff07e8c4186256cf06
DEU_AachenFrankenburg-1_253058_T-3077,scenarios/experiment_scenarios/generated_micp/in3/DEU_AachenFrankenburg-1_253058_T-3077.xml,micp,/data_linux/Lab/commonroad-repairer-vp/micp_comparison/results/vp_aligned_2026-09-08/scenarios/in3/DEU_AachenFrankenburg-1_253058_T-3077.xml,341278,d7daaef3967d580c009346412e51aac85c01bb89db0ced9cf1ec21e7cdff1a29
DEU_AachenFrankenburg-1_253059_T-3078,scenarios/experiment_scenarios/generated_micp/in3/DEU_AachenFrankenburg-1_253059_T-3078.xml,micp,/data_linux/Lab/commonroad-repairer-vp/micp_comparison/results/vp_aligned_2026-09-08/scenarios/in3/DEU_AachenFrankenburg-1_253059_T-3078.xml,341259,86405d17448eb1c24c7970855f947bf2b85228b4e8bdef0b3bbf615b4c9fec54
DEU_AachenFrankenburg-1_253061_T-3080,scenarios/experiment_scenarios/generated_micp/in3/DEU_AachenFrankenburg-1_253061_T-3080.xml,micp,/data_linux/Lab/commonroad-repairer-vp/micp_comparison/results/vp_aligned_2026-09-08/scenarios/in3/DEU_AachenFrankenburg-1_253061_T-3080.xml,340418,6874a733354accde3afb20c9d7c925fa79f25df0334e3ff7a520d60805291e49
DEU_AachenFrankenburg-1_253062_T-3081,scenarios/experiment_scenarios/generated_micp/in3/DEU_AachenFrankenburg-1_253062_T-3081.xml,micp,/data_linux/Lab/commonroad-repairer-vp/micp_comparison/results/vp_aligned_2026-09-08/scenarios/in3/DEU_AachenFrankenburg-1_253062_T-3081.xml,341029,10e5322a0749abeb81abbcb626178296cf193574c17c06fdbdae7590a9b26a22
DEU_AachenFrankenburg-1_253063_T-3082,scenarios/experiment_scenarios/generated_micp/in3/DEU_AachenFrankenburg-1_253063_T-3082.xml,micp,/data_linux/Lab/commonroad-repairer-vp/micp_comparison/results/vp_aligned_2026-09-08/scenarios/in3/DEU_AachenFrankenburg-1_253063_T-3082.xml,341682,4bac5d825ec16e32fcdf9aaef6dd07c2759aadf861d03deac070a63ea9657258
