scenario_id,scenario_path,ego_id,rule,repeat,rule_semantics,num_steps,smoothing,initialization,seed,solver_feasible,encoded_compliant,monitor_compliant,success,specification_time,decomposition_time,model_setup_time,solver_setup_time,solve_time,core_total_time,validation_time,qp_solver_time,gurobi_runtime,num_variables,num_binary_variables,num_constraints,num_equalities,num_inequalities,num_auxiliary_variables,num_disjunctive_constraints,num_predicate_occurrences,ccp_iterations,ccp_converged,max_final_slack,solver_status,objective,robustness,fixed_other_id,updated_tv,updated_other_id,updated_diagnostics,candidate_sd_at_tv,phase_history,error
DEU_LocationALower-11_102_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-11_102_T-1.xml,16,R_G3,0,lin2025,21,lse_mellowmin,trajectory,20260922,True,True,True,True,0.001996987999518751,0.001518250999652082,0.06504866400064202,0.06504866400064202,0.20215059400106838,0.27071449700088124,0.34476956499929656,0.011810064315795898,0.011810064315795898,211,0,694,168,526,1,0,357,1,True,0.0,optimal,123702.16059293214,0.010000000018668832,,inf,,,,"[{""iteration"": 1, ""max_slack"": 0.0, ""objective"": 123702.16059293214, ""original_change"": null, ""penalized_change"": null, ""penalized_objective"": 123702.16059293214, ""phase"": ""convex"", ""solver_time"": 0.011810064315795898, ""status"": ""optimal"", ""tau"": 0.005}, {""converged"": true, ""phase"": ""convex"", ""summary"": true}]",
DEU_LocationALower-11_110_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-11_110_T-1.xml,16,R_G3,0,lin2025,21,lse_mellowmin,trajectory,20260922,True,True,True,True,0.0020423319983819965,0.0012586330012709368,0.06042926400004944,0.06042926400004944,0.19737807499950577,0.26110830399920815,0.25157267800022964,0.011797189712524414,0.011797189712524414,211,0,694,168,526,1,0,357,1,True,0.0,optimal,211233.715933699,0.010000000000576518,,inf,,,,"[{""iteration"": 1, ""max_slack"": 0.0, ""objective"": 211233.715933699, ""original_change"": null, ""penalized_change"": null, ""penalized_objective"": 211233.715933699, ""phase"": ""convex"", ""solver_time"": 0.011797189712524414, ""status"": ""optimal"", ""tau"": 0.005}, {""converged"": true, ""phase"": ""convex"", ""summary"": true}]",
DEU_LocationALower-11_131_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-11_131_T-1.xml,18,R_G3,0,lin2025,21,lse_mellowmin,trajectory,20260922,True,True,True,True,0.0019761010007641744,0.0017104969992942642,0.06471653500011598,0.06471653500011598,0.21292065200032084,0.28132378500049526,0.2631148119999125,0.011200904846191406,0.011200904846191406,211,0,694,168,526,1,0,357,1,True,0.0,optimal,190853.461118093,0.010000000001147973,,inf,,,,"[{""iteration"": 1, ""max_slack"": 0.0, ""objective"": 190853.461118093, ""original_change"": null, ""penalized_change"": null, ""penalized_objective"": 190853.461118093, ""phase"": ""convex"", ""solver_time"": 0.011200904846191406, ""status"": ""optimal"", ""tau"": 0.005}, {""converged"": true, ""phase"": ""convex"", ""summary"": true}]",
DEU_LocationALower-11_4_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-11_4_T-1.xml,18,R_G3,0,lin2025,21,lse_mellowmin,trajectory,20260922,True,True,True,True,0.004342239000834525,0.004247462000421365,0.06822644200110517,0.06822644200110517,0.29768239999975776,0.3744985430021188,0.31813338299980387,0.01831793785095215,0.01831793785095215,211,0,694,168,526,1,0,357,1,True,0.0,optimal,106211.82380052262,0.010000000000744117,,inf,,,,"[{""iteration"": 1, ""max_slack"": 0.0, ""objective"": 106211.82380052263, ""original_change"": null, ""penalized_change"": null, ""penalized_objective"": 106211.82380052262, ""phase"": ""convex"", ""solver_time"": 0.01831793785095215, ""status"": ""optimal"", ""tau"": 0.005}, {""converged"": true, ""phase"": ""convex"", ""summary"": true}]",
DEU_LocationALower-11_43_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-11_43_T-1.xml,17,R_G3,0,lin2025,21,lse_mellowmin,trajectory,20260922,True,True,True,True,0.0019078419991274131,0.002053249001619406,0.06174868000016431,0.06174868000016431,0.21046331400066265,0.2761730850015738,0.264884209000229,0.013090848922729492,0.013090848922729492,211,0,694,168,526,1,0,357,1,True,0.0,optimal,91362.25365757392,0.010000000002360624,,inf,,,,"[{""iteration"": 1, ""max_slack"": 0.0, ""objective"": 91362.25365757392, ""original_change"": null, ""penalized_change"": null, ""penalized_objective"": 91362.25365757392, ""phase"": ""convex"", ""solver_time"": 0.013090848922729492, ""status"": ""optimal"", ""tau"": 0.005}, {""converged"": true, ""phase"": ""convex"", ""summary"": true}]",
DEU_LocationALower-11_56_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-11_56_T-1.xml,15,R_G3,0,lin2025,21,lse_mellowmin,trajectory,20260922,True,False,True,True,0.004029824000099325,0.0034291599986318033,0.06543462799891131,0.06543462799891131,0.2469446760005667,0.3198382879982091,0.32247070399898803,0.012703895568847656,0.012703895568847656,211,0,694,168,526,1,0,357,1,True,0.0,optimal,123860.28578113769,0.00999999999999801,,inf,,,,"[{""iteration"": 1, ""max_slack"": 0.0, ""objective"": 123860.2857811377, ""original_change"": null, ""penalized_change"": null, ""penalized_objective"": 123860.28578113769, ""phase"": ""convex"", ""solver_time"": 0.012703895568847656, ""status"": ""optimal"", ""tau"": 0.005}, {""converged"": true, ""phase"": ""convex"", ""summary"": true}]",
DEU_LocationALower-11_64_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-11_64_T-1.xml,18,R_G3,0,lin2025,21,lse_mellowmin,trajectory,20260922,True,True,True,True,0.0019632410003396217,0.0013567679998232052,0.06306637300076545,0.06306637300076545,0.20957304299918178,0.27595942500011006,0.2648797129986633,0.012471914291381836,0.012471914291381836,211,0,694,168,526,1,0,357,1,True,0.0,optimal,66545.1724470071,0.010000000000310944,,inf,,,,"[{""iteration"": 1, ""max_slack"": 0.0, ""objective"": 66545.17244700709, ""original_change"": null, ""penalized_change"": null, ""penalized_objective"": 66545.1724470071, ""phase"": ""convex"", ""solver_time"": 0.012471914291381836, ""status"": ""optimal"", ""tau"": 0.005}, {""converged"": true, ""phase"": ""convex"", ""summary"": true}]",
DEU_LocationALower-12_109_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-12_109_T-1.xml,20,R_G3,0,lin2025,21,lse_mellowmin,trajectory,20260922,True,True,True,True,0.0024106100008793874,0.0014900259993737563,0.5725334710004972,0.5725334710004972,0.22407860699968296,0.8005127140004333,0.2971614550006052,0.011534929275512695,0.011534929275512695,211,0,694,168,526,1,0,357,1,True,0.0,optimal,108664.76227514779,0.010000000190712524,,inf,,,,"[{""iteration"": 1, ""max_slack"": 0.0, ""objective"": 108664.7622751478, ""original_change"": null, ""penalized_change"": null, ""penalized_objective"": 108664.76227514779, ""phase"": ""convex"", ""solver_time"": 0.011534929275512695, ""status"": ""optimal"", ""tau"": 0.005}, {""converged"": true, ""phase"": ""convex"", ""summary"": true}]",
DEU_LocationALower-12_167_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-12_167_T-1.xml,12,R_G3,0,lin2025,21,lse_mellowmin,trajectory,20260922,True,True,True,True,0.0029145400003471877,0.0030761670004721964,0.060784019999118755,0.060784019999118755,0.2049221489996853,0.27169687599962344,0.2555461430001742,0.012269973754882812,0.012269973754882812,211,0,694,168,526,1,0,357,1,True,0.0,optimal,123350.1335926966,0.010000000000538158,,inf,,,,"[{""iteration"": 1, ""max_slack"": 0.0, ""objective"": 123350.1335926966, ""original_change"": null, ""penalized_change"": null, ""penalized_objective"": 123350.1335926966, ""phase"": ""convex"", ""solver_time"": 0.012269973754882812, ""status"": ""optimal"", ""tau"": 0.005}, {""converged"": true, ""phase"": ""convex"", ""summary"": true}]",
DEU_LocationALower-12_217_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-12_217_T-1.xml,14,R_G3,0,lin2025,21,lse_mellowmin,trajectory,20260922,True,True,True,True,0.003925738999896566,0.0024282019985548686,0.09354912299932039,0.09354912299932039,0.6577705179988698,0.7576735819966416,0.25542587299969455,0.012502908706665039,0.012502908706665039,211,0,694,168,526,1,0,357,1,True,0.0,optimal,101380.80137234247,0.010000000012376584,,inf,,,,"[{""iteration"": 1, ""max_slack"": 0.0, ""objective"": 101380.80137234247, ""original_change"": null, ""penalized_change"": null, ""penalized_objective"": 101380.80137234247, ""phase"": ""convex"", ""solver_time"": 0.012502908706665039, ""status"": ""optimal"", ""tau"": 0.005}, {""converged"": true, ""phase"": ""convex"", ""summary"": true}]",
